qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

independent    0.5            1                   LO                                                                   19316.78812 +-         0.82940
-----------------------------------------------------------------------------------------------------------------------------------------------------
independent    0.5            1                   LO.22                                                                19316.78812 +-         0.82940

independent    1              1                   LO                                                                   15558.85047 +-         0.66800
-----------------------------------------------------------------------------------------------------------------------------------------------------
independent    1              1                   LO.22                                                                15558.85047 +-         0.66800

independent    2              1                   LO                                                                   12815.79199 +-         0.55035
-----------------------------------------------------------------------------------------------------------------------------------------------------
independent    2              1                   LO.22                                                                12815.79199 +-         0.55035

=====================================================================================================================================================

