# left-edge scale-central central-error scale-min min-error scale-max max-error
-5 50.255791 0.116474 41.348748 0.0956227 62.484736 0.145224
-4.9 62.007972 0.127681 51.019255 0.104837 77.094275 0.159170
-4.8 77.287477 0.141770 63.587880 0.116433 96.096721 0.176687
-4.7 96.293442 0.156768 79.223170 0.128743 119.73103 0.195386
-4.6 119.18680 0.173089 98.053095 0.142160 148.20561 0.215705
-4.5 147.97272 0.192386 121.72949 0.158020 184.00951 0.239730
-4.4 182.79791 0.213765 150.37649 0.175608 227.31866 0.266318
-4.3 224.20413 0.237061 184.42963 0.194763 278.82598 0.295309
-4.2 273.80803 0.263001 225.22531 0.216087 340.52896 0.327597
-4.1 331.26197 0.290635 272.48247 0.238819 411.98643 0.361966
-4 398.25098 0.320885 327.58002 0.263699 495.30796 0.399595
-3.9 472.19479 0.351878 388.39847 0.289182 587.27793 0.438166
-3.8 555.63586 0.384768 457.03678 0.316253 691.04425 0.479044
-3.7 646.92566 0.418746 532.13042 0.344197 804.57229 0.521312
-3.6 745.38007 0.453059 613.12949 0.372432 926.98841 0.563971
-3.5 849.32926 0.487419 698.65945 0.400712 1056.2165 0.606676
-3.4 958.37157 0.521468 788.38785 0.428741 1191.7620 0.648986
-3.3 1069.8874 0.554941 880.17349 0.456318 1330.3406 0.690539
-3.2 1182.6991 0.587148 973.02345 0.482828 1470.5333 0.730561
-3.1 1295.6736 0.618096 1066.0455 0.508352 1610.8564 0.768931
-3 1408.5427 0.648146 1158.9949 0.533139 1751.0237 0.806180
-2.9 1517.5261 0.675794 1248.7615 0.555932 1886.3320 0.840470
-2.8 1623.0045 0.701760 1335.6686 0.577361 2017.2373 0.872634
-2.7 1724.4111 0.725960 1419.2239 0.597330 2143.0827 0.902615
-2.6 1819.5597 0.748374 1497.6759 0.615873 2261.0647 0.930299
-2.5 1909.3263 0.768500 1571.6995 0.632501 2372.3548 0.955194
-2.4 1990.8839 0.786686 1638.9857 0.647562 2473.4093 0.977625
-2.3 2065.5771 0.802592 1700.6296 0.660730 2565.9189 0.997253
-2.2 2134.2250 0.817265 1757.3069 0.672888 2650.8991 1.01534
-2.1 2194.8441 0.829543 1807.3792 0.683067 2725.8965 1.03046
-2 2249.6408 0.841341 1852.6894 0.692925 2793.6035 1.04486
-1.9 2297.7217 0.850233 1892.4452 0.700289 2853.0138 1.05582
-1.8 2341.5175 0.859105 1928.6898 0.707686 2907.0704 1.06667
-1.7 2377.8050 0.865787 1958.7473 0.713269 2951.8112 1.07482
-1.6 2409.3772 0.872043 1984.9294 0.718519 2990.6827 1.08241
-1.5 2437.0649 0.876882 2007.8973 0.722567 3024.7576 1.08831
-1.4 2457.2970 0.880932 2024.7215 0.726020 3049.5828 1.09312
-1.3 2477.7197 0.884225 2041.7080 0.728791 3074.6330 1.09711
-1.2 2494.6120 0.887022 2055.7760 0.731173 3095.3206 1.10044
-1.1 2507.5379 0.888802 2066.5558 0.732687 3111.1233 1.10256
-1 2518.3851 0.890342 2075.6082 0.733999 3124.3735 1.10439
-0.9 2527.9181 0.892593 2083.6037 0.735971 3135.9455 1.10697
-0.8 2533.0284 0.893000 2087.9168 0.736362 3142.0983 1.10738
-0.7 2538.9576 0.893426 2092.9029 0.736728 3149.2714 1.10788
-0.6 2542.8916 0.894561 2096.2230 0.737757 3154.0087 1.10912
-0.5 2543.4787 0.893823 2096.7613 0.737146 3154.6370 1.10821
-0.4 2548.8175 0.897046 2101.2210 0.740007 3161.1513 1.11186
-0.3 2547.3857 0.894930 2100.0891 0.738151 3159.2855 1.10942
-0.2 2548.7644 0.895424 2101.2759 0.738616 3160.9046 1.10993
-0.1 2548.5735 0.895118 2101.1207 0.738362 3160.6628 1.10956
0 2548.5735 0.895118 2101.1207 0.738362 3160.6628 1.10956
0.1 2548.7644 0.895424 2101.2759 0.738616 3160.9046 1.10993
0.2 2547.3857 0.894930 2100.0891 0.738151 3159.2855 1.10942
0.3 2548.8175 0.897046 2101.2210 0.740007 3161.1513 1.11186
0.4 2543.4787 0.893823 2096.7613 0.737146 3154.6370 1.10821
0.5 2542.8916 0.894561 2096.2230 0.737757 3154.0087 1.10912
0.6 2538.9576 0.893426 2092.9029 0.736728 3149.2714 1.10788
0.7 2533.0284 0.893000 2087.9168 0.736362 3142.0983 1.10738
0.8 2527.9181 0.892593 2083.6037 0.735971 3135.9455 1.10697
0.9 2518.3851 0.890342 2075.6082 0.733999 3124.3735 1.10439
1 2507.5379 0.888802 2066.5558 0.732687 3111.1233 1.10256
1.1 2494.6120 0.887022 2055.7760 0.731173 3095.3206 1.10044
1.2 2477.7197 0.884225 2041.7080 0.728791 3074.6330 1.09711
1.3 2457.2970 0.880932 2024.7215 0.726020 3049.5828 1.09312
1.4 2437.0649 0.876882 2007.8973 0.722567 3024.7576 1.08831
1.5 2409.3772 0.872043 1984.9294 0.718519 2990.6827 1.08241
1.6 2377.8050 0.865787 1958.7473 0.713269 2951.8112 1.07482
1.7 2341.5175 0.859105 1928.6898 0.707686 2907.0704 1.06667
1.8 2297.7217 0.850233 1892.4452 0.700289 2853.0138 1.05582
1.9 2249.6408 0.841341 1852.6894 0.692925 2793.6035 1.04486
2 2194.8441 0.829543 1807.3792 0.683067 2725.8965 1.03046
2.1 2134.2250 0.817265 1757.3069 0.672888 2650.8991 1.01534
2.2 2065.5771 0.802592 1700.6296 0.660730 2565.9189 0.997253
2.3 1990.8839 0.786686 1638.9857 0.647562 2473.4093 0.977625
2.4 1909.3263 0.768500 1571.6995 0.632501 2372.3548 0.955194
2.5 1819.5597 0.748374 1497.6759 0.615873 2261.0647 0.930299
2.6 1724.4111 0.725960 1419.2239 0.597330 2143.0827 0.902615
2.7 1623.0045 0.701760 1335.6686 0.577361 2017.2373 0.872634
2.8 1517.5261 0.675794 1248.7615 0.555932 1886.3320 0.840470
2.9 1408.5427 0.648146 1158.9949 0.533139 1751.0237 0.806180
3 1295.6736 0.618096 1066.0455 0.508352 1610.8564 0.768931
3.1 1182.6991 0.587148 973.02345 0.482828 1470.5333 0.730561
3.2 1069.8874 0.554941 880.17349 0.456318 1330.3406 0.690539
3.3 958.37157 0.521468 788.38785 0.428741 1191.7620 0.648986
3.4 849.32926 0.487419 698.65945 0.400712 1056.2165 0.606676
3.5 745.38007 0.453059 613.12949 0.372432 926.98841 0.563971
3.6 646.92566 0.418746 532.13042 0.344197 804.57229 0.521312
3.7 555.63586 0.384768 457.03678 0.316253 691.04425 0.479044
3.8 472.19479 0.351878 388.39847 0.289182 587.27793 0.438166
3.9 398.25098 0.320885 327.58002 0.263699 495.30796 0.399595
4 331.26197 0.290635 272.48247 0.238819 411.98643 0.361966
4.1 273.80803 0.263001 225.22531 0.216087 340.52896 0.327597
4.2 224.20413 0.237061 184.42963 0.194763 278.82598 0.295309
4.3 182.79791 0.213765 150.37649 0.175608 227.31866 0.266318
4.4 147.97272 0.192386 121.72949 0.158020 184.00951 0.239730
4.5 119.18680 0.173089 98.053095 0.142160 148.20561 0.215705
4.6 96.293442 0.156768 79.223170 0.128743 119.73103 0.195386
4.7 77.287477 0.141770 63.587880 0.116433 96.096721 0.176687
4.8 62.007972 0.127681 51.019255 0.104837 77.094275 0.159170
4.9 50.255791 0.116474 41.348748 0.0956227 62.484736 0.145224
