# left-edge scale-central central-error scale-min min-error scale-max max-error
0 603.65203 0.0817727 494.65254 0.0670182 754.29082 0.102169
5 799.74007 0.0925999 656.34318 0.0759943 997.37654 0.115500
10 538.10682 0.0780731 442.55365 0.0642054 669.31478 0.0971273
15 343.50914 0.0636853 283.11178 0.0524830 426.13470 0.0790204
20 224.76519 0.0521998 185.62096 0.0431030 278.12596 0.0646093
25 152.07001 0.0432377 125.82552 0.0357673 187.72657 0.0533957
30 106.16511 0.0363575 88.000313 0.0301334 130.76707 0.0447931
35 76.042305 0.0307920 63.137647 0.0255624 93.468689 0.0378595
40 55.775932 0.0264502 46.383850 0.0219979 68.423925 0.0324487
45 41.716600 0.0228389 34.743655 0.0190220 51.082395 0.0279679
50 31.769572 0.0198964 26.496333 0.0165937 38.835055 0.0243235
55 24.593242 0.0174932 20.538398 0.0146096 30.013640 0.0213493
60 19.234768 0.0154621 16.083648 0.0129311 23.437858 0.0188385
65 15.312440 0.0139180 12.819165 0.0116597 18.631177 0.0169223
70 12.267565 0.0123631 10.281535 0.0103648 14.905988 0.0150176
75 9.9631950 0.0111629 8.3591555 0.00936972 12.090181 0.0135399
80 8.1427862 0.0100882 6.8387865 0.00847635 9.8688442 0.0122210
85 6.7206102 0.00917864 5.6496539 0.00771949 8.1358840 0.0111061
90 5.6046330 0.00841838 4.7158211 0.00708720 6.7773370 0.0101738
95 4.7000981 0.00772635 3.9582856 0.00651113 5.6773349 0.00932609
100 3.9613933 0.00713309 3.3389085 0.00601642 4.7802645 0.00860085
105 3.3542016 0.00656828 2.8294059 0.00554439 4.0436019 0.00791222
110 2.8576030 0.00607983 2.4123296 0.00513637 3.4417694 0.00731642
115 2.4512506 0.00566489 2.0707985 0.00478987 2.9497473 0.00681012
120 2.1098057 0.00525674 1.7836251 0.00444753 2.5366608 0.00631464
125 1.8344621 0.00495697 1.5518589 0.00419798 2.2038739 0.00594770
130 1.5969146 0.00465206 1.3518575 0.00394271 1.9168611 0.00557678
135 1.4010004 0.00468059 1.1867429 0.00397970 1.6804386 0.00559003
140 1.2147227 0.00407006 1.0288065 0.00344808 1.4559866 0.00487223
145 1.0734398 0.00383898 0.90840538 0.00324980 1.2857714 0.00459294
150 0.94843157 0.00361446 0.80193873 0.00305772 1.1354805 0.00432577
155 0.83591630 0.00341233 0.70626074 0.00288492 1.0016218 0.00408666
160 0.73874963 0.00324478 0.62366087 0.00274004 0.88598743 0.00389110
165 0.66551030 0.00306335 0.56144157 0.00258607 0.79876489 0.00367466
170 0.59601099 0.00296870 0.50244027 0.00250323 0.71592816 0.00356572
175 0.53213395 0.00278402 0.44828704 0.00234690 0.63968090 0.00334487
180 0.47286966 0.00262556 0.39807643 0.00221131 0.56888325 0.00315765
185 0.42519399 0.00251433 0.35773168 0.00211641 0.51185811 0.00302575
190 0.38506400 0.00239835 0.32371825 0.00201674 0.46394219 0.00288944
195 0.34876752 0.00231355 0.29305456 0.00194516 0.42044871 0.00278765
200 0.31551463 0.00225911 0.26493099 0.00189632 0.38064677 0.00272688
205 0.28458151 0.00210598 0.23881497 0.00176782 0.34355158 0.00254191
210 0.26048287 0.00205683 0.21848292 0.00172506 0.31463101 0.00248499
215 0.23522547 0.00192172 0.19716881 0.00161154 0.28432297 0.00232204
220 0.21487244 0.00185445 0.18003712 0.00155453 0.25983521 0.00224171
225 0.19654884 0.00178688 0.16456445 0.00149747 0.23786420 0.00216061
230 0.18109288 0.00175163 0.15155191 0.00146536 0.21927055 0.00212202
235 0.16624892 0.00165163 0.13904296 0.00138193 0.20143262 0.00200051
240 0.14939448 0.00157831 0.12487406 0.00131972 0.18112409 0.00191296
245 0.14062929 0.00157089 0.11750057 0.00131329 0.17057000 0.00190427
250 0.13009207 0.00153121 0.10864098 0.00127852 0.15787410 0.00185872
255 0.11685138 0.00145527 0.097501013 0.00121492 0.14193530 0.00176677
260 0.10975109 0.00139184 0.091557327 0.00116163 0.13334038 0.00169030
265 0.10438864 0.00147097 0.087074729 0.00122697 0.12683931 0.00178740
270 0.095037454 0.00141613 0.079195815 0.00117887 0.11559847 0.00172449
275 0.085480691 0.00125751 0.071207723 0.00104788 0.10401152 0.00152967
280 0.083806502 0.00126465 0.069795422 0.00105338 0.10200170 0.00153906
285 0.074019247 0.00118184 0.061593617 0.000983997 0.090168989 0.00143889
290 0.068683695 0.00114963 0.057131961 0.000956867 0.083703652 0.00140020
295 0.065064011 0.00118906 0.054119733 0.000989624 0.079292382 0.00144816
300 0.061152584 0.00112507 0.050821649 0.000935189 0.074596557 0.00137219
305 0.055397368 0.00108633 0.046023248 0.000902380 0.067600840 0.00132588
310 0.052182800 0.00104949 0.043352717 0.000872652 0.063677193 0.00127947
315 0.049635165 0.00105247 0.041195479 0.000873357 0.060632017 0.00128591
320 0.045290430 0.000981518 0.037579193 0.000814202 0.055341652 0.00119971
325 0.044466329 0.00101183 0.036887199 0.000840344 0.054346324 0.00123507
330 0.040878758 0.000936007 0.033904696 0.000777174 0.049973170 0.00114294
335 0.036784762 0.000902404 0.030484760 0.000748122 0.045005430 0.00110362
340 0.035767907 0.000917684 0.029632888 0.000760729 0.043775802 0.00112237
345 0.033244070 0.000884253 0.027537595 0.000733573 0.040694432 0.00108064
350 0.030651518 0.000873165 0.025383690 0.000723681 0.037531373 0.00106816
355 0.030250865 0.000965082 0.025040482 0.000799382 0.037057288 0.00118136
360 0.026755427 0.000809164 0.022132354 0.000669920 0.032799685 0.000991008
365 0.025873210 0.000873711 0.021406632 0.000722410 0.031711678 0.00107161
370 0.024087524 0.000748739 0.019923485 0.000620223 0.029531595 0.000916424
375 0.022493621 0.000715134 0.018588582 0.000591988 0.027603710 0.000876012
380 0.021769209 0.000774284 0.017987702 0.000639710 0.026718763 0.000950477
385 0.019702327 0.000678065 0.016275353 0.000560901 0.024188594 0.000831211
390 0.018435354 0.000692367 0.015216468 0.000572246 0.022652708 0.000849490
395 0.019778621 0.000773811 0.016324825 0.000639552 0.024304190 0.000949460
400 0.017356383 0.000697909 0.014318228 0.000575641 0.021339297 0.000858204
405 0.015976118 0.000661876 0.013176359 0.000546202 0.019647644 0.000813446
410 0.014583553 0.000590601 0.012019607 0.000487290 0.017948618 0.000726000
415 0.013856424 0.000596583 0.011430026 0.000492774 0.017037153 0.000732456
420 0.014223015 0.00120411 0.011708469 0.000989362 0.017526387 0.00148658
425 0.011737566 0.000549366 0.0096756383 0.000453920 0.014443155 0.000674263
430 0.010602516 0.000481448 0.0087343829 0.000397395 0.013055062 0.000591520
435 0.011537698 0.000536013 0.0094994062 0.000441732 0.014215802 0.000659799
440 0.010609905 0.000555766 0.0087378471 0.000458928 0.013068172 0.000682536
445 0.0099327939 0.000586511 0.0081763817 0.000483567 0.012240596 0.000721529
450 0.0094102990 0.000537202 0.0077362190 0.000441721 0.011613257 0.000662761
455 0.0090296735 0.000538727 0.0074277998 0.000444009 0.011135183 0.000662941
460 0.0082830641 0.000474159 0.0068108153 0.000389759 0.010219353 0.000585040
465 0.0084870105 0.000513215 0.0069759216 0.000422905 0.010475283 0.000631684
470 0.0083136166 0.000519375 0.0068326507 0.000428740 0.010262514 0.000638082
475 0.0082610846 0.000551646 0.0067856104 0.000453991 0.010204238 0.000679968
480 0.0067856890 0.000485409 0.0055699781 0.000398944 0.0083874678 0.000599129
485 0.0064282219 0.000426092 0.0052741648 0.000350332 0.0079493652 0.000525741
490 0.0068538453 0.000475686 0.0056295845 0.000391341 0.0084654556 0.000586525
495 0.0057180960 0.000426606 0.0046916917 0.000350563 0.0070705686 0.000526609
