# left-edge scale-central central-error scale-min min-error scale-max max-error
100 234.31431 0.0364879 191.24297 0.0297808 294.21141 0.0458152
110 214.91130 0.0352384 175.89423 0.0288410 268.90864 0.0440922
120 172.93768 0.0319330 141.89649 0.0262013 215.70571 0.0398300
130 135.70336 0.0285558 111.59767 0.0234833 168.78208 0.0355164
140 106.72629 0.0255063 87.949900 0.0210190 132.39942 0.0316419
150 84.731097 0.0227776 69.956624 0.0188059 104.86668 0.0281905
160 68.119050 0.0204666 56.338181 0.0169270 84.125489 0.0252758
170 55.365815 0.0184355 45.863652 0.0152715 68.239486 0.0227222
180 45.534574 0.0167520 37.776042 0.0138977 56.018659 0.0206091
190 37.830538 0.0152703 31.428564 0.0126862 46.461352 0.0187542
200 31.700684 0.0139574 26.370274 0.0116105 38.870888 0.0171144
210 26.795443 0.0128175 22.316839 0.0106752 32.806842 0.0156929
220 22.815786 0.0118270 19.023994 0.00986143 27.894803 0.0144597
230 19.554460 0.0108941 16.322343 0.00909340 23.875487 0.0133014
240 16.831555 0.0100957 14.064013 0.00843571 20.525124 0.0123112
250 14.594176 0.00939732 12.206494 0.00785988 17.775677 0.0114459
260 12.724568 0.00879457 10.652657 0.00736255 15.481000 0.0106997
270 11.143314 0.00822363 9.3370934 0.00689066 13.542596 0.00999427
280 9.7813747 0.00771459 8.2027735 0.00646958 11.875136 0.00936587
290 8.6349751 0.00729410 7.2471687 0.00612179 10.472968 0.00884669
300 7.6593106 0.00680968 6.4332526 0.00571961 9.2808580 0.00825138
310 6.7953820 0.00645363 5.7118473 0.00542457 8.2266316 0.00781291
320 6.0658058 0.00605710 5.1022594 0.00509494 7.3370908 0.00732654
330 5.4333371 0.00563819 4.5734061 0.00474580 6.5666546 0.00681432
340 4.8760415 0.00542175 4.1070290 0.00456669 5.8884267 0.00654740
350 4.3772081 0.00507547 3.6892125 0.00427771 5.2819566 0.00612455
360 3.9528613 0.00482221 3.3335986 0.00406672 4.7663519 0.00581465
370 3.5790216 0.00470447 3.0201038 0.00396980 4.3124613 0.00566855
380 3.2412061 0.00455954 2.7365974 0.00384967 3.9026921 0.00549010
390 2.9424307 0.00432457 2.4856992 0.00365331 3.5405598 0.00520363
400 2.6750013 0.00401493 2.2609839 0.00339350 3.2166819 0.00482797
410 2.4364662 0.00378575 2.0604366 0.00320148 2.9280110 0.00454949
420 2.2273487 0.00369443 1.8845458 0.00312582 2.6750895 0.00443711
430 2.0429140 0.00352692 1.7293481 0.00298559 2.4521485 0.00423342
440 1.8689050 0.00348455 1.5828059 0.00295112 2.2420056 0.00418019
450 1.7222409 0.00332789 1.4592713 0.00281976 2.0649171 0.00399003
460 1.5721458 0.00323673 1.3314231 0.00274601 1.8839381 0.00387864
470 1.4517559 0.00289501 1.2287215 0.00245490 1.7387534 0.00346732
480 1.3434052 0.00276836 1.1363240 0.00234620 1.6081539 0.00331396
490 1.2360768 0.00267387 1.0449294 0.00226501 1.4802680 0.00319529
500 1.1397407 0.00268321 0.96295812 0.00227158 1.3657499 0.00320862
510 1.0539584 0.00256510 0.88993144 0.00216995 1.2638324 0.00306998
520 0.98363667 0.00254534 0.83009705 0.00215242 1.1802372 0.00304770
530 0.91244921 0.00253680 0.76961638 0.00214423 1.0954642 0.00303901
540 0.84154606 0.00238077 0.70936327 0.00201096 1.0110529 0.00285431
550 0.79027973 0.00236391 0.66586636 0.00199620 0.94991152 0.00283496
560 0.73138784 0.00219265 0.61587883 0.00184991 0.87971149 0.00263229
570 0.68377882 0.00211301 0.57550785 0.00178219 0.82288571 0.00253746
580 0.63419351 0.00199371 0.53352070 0.00168104 0.76361132 0.00239502
590 0.59721804 0.00190171 0.50217568 0.00160263 0.71946890 0.00228584
600 0.55591778 0.00187308 0.46718857 0.00157731 0.67012037 0.00225333
610 0.51927914 0.00176794 0.43619700 0.00148829 0.62626344 0.00212749
620 0.48599017 0.00181982 0.40802892 0.00153141 0.58643025 0.00219078
630 0.46056964 0.00180762 0.38653701 0.00152066 0.55598356 0.00217677
640 0.42633406 0.00171966 0.35761971 0.00144542 0.51493295 0.00207279
650 0.40136993 0.00170159 0.33652666 0.00143018 0.48501233 0.00205097
660 0.37765821 0.00163292 0.31652455 0.00137194 0.45653973 0.00196899
670 0.35527559 0.00154312 0.29761616 0.00129502 0.42970640 0.00186296
680 0.33583486 0.00151959 0.28122351 0.00127552 0.40635329 0.00183408
690 0.31478360 0.00142512 0.26346966 0.00119521 0.38107253 0.00172161
700 0.29722764 0.00158877 0.24866549 0.00133168 0.35998555 0.00192049
710 0.27733258 0.00139532 0.23191603 0.00116931 0.33604876 0.00168695
720 0.26438145 0.00149781 0.22100734 0.00125557 0.32047392 0.00181024
730 0.25102107 0.00136932 0.20977753 0.00114745 0.30437067 0.00165554
740 0.23401380 0.00132596 0.19546202 0.00111015 0.28390620 0.00160460
750 0.22286384 0.00130925 0.18607362 0.00109572 0.27049384 0.00158504
760 0.20918440 0.00122023 0.17459537 0.00102113 0.25397798 0.00147739
770 0.20111531 0.00116525 0.16778797 0.000973716 0.24429311 0.00141302
780 0.18711340 0.00117553 0.15604580 0.000982449 0.22737920 0.00142524
790 0.17658266 0.00123413 0.14720435 0.00103058 0.21467475 0.00149756
800 0.16740622 0.00111891 0.13949727 0.000934338 0.20360961 0.00135783
810 0.16059130 0.00105323 0.13378904 0.000879297 0.19536660 0.00127841
820 0.15187776 0.00102204 0.12649515 0.000853060 0.18481988 0.00124084
830 0.14471328 0.000957455 0.12046830 0.000798572 0.17619672 0.00116335
840 0.13838925 0.00111009 0.11515855 0.000925859 0.16856775 0.00134883
850 0.13007539 0.00112431 0.10821652 0.000938268 0.15847754 0.00136519
860 0.12313134 0.000964835 0.10239724 0.000804118 0.15008452 0.00117326
870 0.11759717 0.00113579 0.097766515 0.000947518 0.14338305 0.00137968
880 0.11274413 0.000927876 0.093697687 0.000771951 0.13752025 0.00113056
