qTcut          mu_R/mWbb      mu_F/mWbb           list/contribution                                                    dXS +- err (list/contribution)

independent    0.5            1                   NLO.CS.32                                                             28626.7093 +-          2.6729

independent    1              1                   NLO.CS.32                                                             23911.5703 +-          2.0985

independent    2              1                   NLO.CS.32                                                             20255.2264 +-          1.7254

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb           list/contribution                                                    dXS +- err (list/contribution)

independent    0.5            1                   NLO.CS.32                                                             28626.7093 +-          2.6729
-----------------------------------------------------------------------------------------------------------------------------------------------------
independent    0.5            1                   VA.QCD                                                                 8279.2434 +-          1.1435
independent    0.5            1                   CA.QCD                                                                 1962.7873 +-          0.5859
independent    0.5            1                   RA.QCD                                                                18384.6785 +-          2.3438

independent    1              1                   NLO.CS.32                                                             23911.5703 +-          2.0985
-----------------------------------------------------------------------------------------------------------------------------------------------------
independent    1              1                   VA.QCD                                                                 8996.4974 +-          1.1492
independent    1              1                   CA.QCD                                                                 1429.2383 +-          0.4251
independent    1              1                   RA.QCD                                                                13485.8346 +-          1.7036

independent    2              1                   NLO.CS.32                                                             20255.2264 +-          1.7254
-----------------------------------------------------------------------------------------------------------------------------------------------------
independent    2              1                   VA.QCD                                                                 8974.0381 +-          1.1113
independent    2              1                   CA.QCD                                                                 1074.9234 +-          0.3191
independent    2              1                   RA.QCD                                                                10206.2649 +-          1.2807

=====================================================================================================================================================

