             bin (y_W)   qTcut           contribution/subprocess            dsigma +-            error     chi2_dof   n_run [total]   (removed)   events / bin

        -5        -4.9   0.01            NNLO.QT-CS.42.RRA.QCD         -3.24765692 +-       0.06878854
--------------------------------------------------------------------------------------------------------------------------------------------------------------
        -5        -4.9   0.01            gg_epvebb~du~                 -0.00224074 +-       0.00092554        2.442       0 [    5]      (   0)          12826
        -5        -4.9   0.01            gu_epvebb~gd                  -1.20608197 +-       0.02960751        1.477       0 [   67]      (   0)        3461681
        -5        -4.9   0.01            gd~_epvebb~gu~                -0.30916071 +-       0.05393065        6.830       0 [   28]      (   0)         619508
        -5        -4.9   0.01            du_epvebb~dd                  -0.00563794 +-       0.00113468       0.2630       0 [    3]      (   0)          14236
        -5        -4.9   0.01            dc_epvebb~ds                  -0.00694936 +-       0.00325251        9.418       0 [    3]      (   0)           5602
        -5        -4.9   0.01            dd~_epvebb~du~                -0.00117943 +-       0.00066019       0.3779       0 [    3]      (   0)           1269
        -5        -4.9   0.01            ds~_epvebb~dc~                -0.00152733 +-       0.00051548       0.2261       0 [    3]      (   0)           1210
        -5        -4.9   0.01            uu_epvebb~du                  -0.01824155 +-       0.00837591        10.43       0 [    4]      (   0)          25271
        -5        -4.9   0.01            uc_epvebb~dc                  -0.00278614 +-       0.00079373        4.464       0 [    3]      (   0)          12938
        -5        -4.9   0.01            ud~_epvebb~gg                 -1.58416242 +-       0.02850494        1.474       0 [  503]      (   0)       32910326
        -5        -4.9   0.01            ud~_epvebb~dd~                -0.02075871 +-       0.00205659        1.251       0 [    3]      (   0)         158677
        -5        -4.9   0.01            ud~_epvebb~uu~                -0.02783399 +-       0.00398116       0.4115       0 [    3]      (   0)          53336
        -5        -4.9   0.01            ud~_epvebb~ss~                -0.02221113 +-       0.00256813       0.5248       0 [    3]      (   0)          34570
        -5        -4.9   0.01            ud~_epvebb~cc~                -0.02216970 +-       0.00257035       0.5055       0 [    3]      (   0)          34532
        -5        -4.9   0.01            uu~_epvebb~du~                -0.00401812 +-       0.00102741      0.01596       0 [    3]      (   0)          13902
        -5        -4.9   0.01            us~_epvebb~ds~                -0.00346678 +-       0.00107881     0.007342       0 [    3]      (   0)          20897
        -5        -4.9   0.01            us~_epvebb~uc~                -0.00312419 +-       0.00120786        2.727       0 [    3]      (   0)           2201
        -5        -4.9   0.01            uc~_epvebb~dc~                -0.00363176 +-       0.00102843        3.296       0 [    3]      (   0)          13128
        -5        -4.9   0.01            d~d~_epvebb~d~u~              -0.00256792 +-       0.00079299        3.207       0 [    3]      (   0)           4101
        -5        -4.9   0.01            d~u~_epvebb~u~u~              -0.00199221 +-       0.00109602        14.81       0 [    3]      (   0)           1449
        -5        -4.9   0.01            d~s~_epvebb~d~c~               0.00262963 +-       0.00318276        102.0       0 [    3]      (   0)            891
        -5        -4.9   0.01            d~c~_epvebb~u~c~              -0.00054446 +-       0.00015759       0.6892       0 [    3]      (   0)           8804

        -5        -4.9   0.05            NNLO.QT-CS.42.RRA.QCD         -1.45780755 +-       0.02724151
--------------------------------------------------------------------------------------------------------------------------------------------------------------
        -5        -4.9   0.05            gg_epvebb~du~                 -0.00195759 +-       0.00091283        345.3       0 [    5]      (   0)          11614
        -5        -4.9   0.05            gu_epvebb~gd                  -0.65517712 +-       0.01915927        1.004       0 [   67]      (   0)        2990691
        -5        -4.9   0.05            gd~_epvebb~gu~                -0.12614859 +-       0.01163592        2.036       0 [   28]      (   0)         519480
        -5        -4.9   0.05            du_epvebb~dd                  -0.00418352 +-       0.00094350       0.3515       0 [    3]      (   0)          12777
        -5        -4.9   0.05            dc_epvebb~ds                  -0.00303453 +-       0.00091161        1.340       0 [    3]      (   0)           4846
        -5        -4.9   0.05            dd~_epvebb~du~                -0.00014942 +-       0.00038801       0.6492       0 [    3]      (   0)           1112
        -5        -4.9   0.05            ds~_epvebb~dc~                -0.00117561 +-       0.00044504        11.47       0 [    3]      (   0)           1028
        -5        -4.9   0.05            uu_epvebb~du                  -0.01743252 +-       0.00836204        11.41       0 [    4]      (   0)          22325
        -5        -4.9   0.05            uc_epvebb~dc                  -0.00143962 +-       0.00061753        1.694       0 [    3]      (   0)          12388
        -5        -4.9   0.05            ud~_epvebb~gg                 -0.58641141 +-       0.01144090        1.485       0 [  503]      (   0)       27724486
        -5        -4.9   0.05            ud~_epvebb~dd~                -0.00964529 +-       0.00129314       0.3508       0 [    3]      (   0)         136195
        -5        -4.9   0.05            ud~_epvebb~uu~                -0.01603202 +-       0.00331142        1.583       0 [    3]      (   0)          42435
        -5        -4.9   0.05            ud~_epvebb~ss~                -0.01141203 +-       0.00189846        2.145       0 [    3]      (   0)          24052
        -5        -4.9   0.05            ud~_epvebb~cc~                -0.01136245 +-       0.00189965        2.057       0 [    3]      (   0)          24024
        -5        -4.9   0.05            uu~_epvebb~du~                -0.00284361 +-       0.00090718       0.2892       0 [    3]      (   0)          13245
        -5        -4.9   0.05            us~_epvebb~ds~                -0.00269759 +-       0.00097179      0.06470       0 [    3]      (   0)          20131
        -5        -4.9   0.05            us~_epvebb~uc~                -0.00209922 +-       0.00104406        6.194       0 [    3]      (   0)           1903
        -5        -4.9   0.05            uc~_epvebb~dc~                -0.00322898 +-       0.00100935        4.750       0 [    3]      (   0)          12551
        -5        -4.9   0.05            d~d~_epvebb~d~u~              -0.00189299 +-       0.00069016        1.377       0 [    3]      (   0)           3339
        -5        -4.9   0.05            d~u~_epvebb~u~u~              -0.00168519 +-       0.00108449        24.49       0 [    3]      (   0)           1350
        -5        -4.9   0.05            d~s~_epvebb~d~c~               0.00261963 +-       0.00318198        159.4       0 [    3]      (   0)            750
        -5        -4.9   0.05            d~c~_epvebb~u~c~              -0.00041786 +-       0.00014487       0.2345       0 [    3]      (   0)           8321

        -5        -4.9   0.1             NNLO.QT-CS.42.RRA.QCD         -0.98410041 +-       0.02429225
--------------------------------------------------------------------------------------------------------------------------------------------------------------
        -5        -4.9   0.1             gg_epvebb~du~                 -0.00206594 +-       0.00093602        426.3       0 [    5]      (   0)          10848
        -5        -4.9   0.1             gu_epvebb~gd                  -0.48646773 +-       0.01740346       0.9072       0 [   67]      (   0)        2755647
        -5        -4.9   0.1             gd~_epvebb~gu~                -0.08487074 +-       0.01130189        2.683       0 [   28]      (   0)         469914
        -5        -4.9   0.1             du_epvebb~dd                  -0.00426273 +-       0.00089698       0.4681       0 [    3]      (   0)          12042
        -5        -4.9   0.1             dc_epvebb~ds                  -0.00277691 +-       0.00090332        1.395       0 [    3]      (   0)           4409
        -5        -4.9   0.1             dd~_epvebb~du~                -0.00014128 +-       0.00038724       0.6141       0 [    3]      (   0)            997
        -5        -4.9   0.1             ds~_epvebb~dc~                -0.00093807 +-       0.00042675        30.72       0 [    3]      (   0)            928
        -5        -4.9   0.1             uu_epvebb~du                  -0.01505389 +-       0.00806493        9.581       0 [    4]      (   0)          20527
        -5        -4.9   0.1             uc_epvebb~dc                  -0.00155672 +-       0.00055076        2.135       0 [    3]      (   0)          11920
        -5        -4.9   0.1             ud~_epvebb~gg                 -0.34146914 +-       0.00819077        1.532       0 [  503]      (   0)       24878254
        -5        -4.9   0.1             ud~_epvebb~dd~                -0.00727064 +-       0.00089233      0.09139       0 [    3]      (   0)         123395
        -5        -4.9   0.1             ud~_epvebb~uu~                -0.00840008 +-       0.00159121      0.06331       0 [    3]      (   0)          36637
        -5        -4.9   0.1             ud~_epvebb~ss~                -0.00924922 +-       0.00173551        1.255       0 [    3]      (   0)          18833
        -5        -4.9   0.1             ud~_epvebb~cc~                -0.00919761 +-       0.00173642        1.193       0 [    3]      (   0)          18806
        -5        -4.9   0.1             uu~_epvebb~du~                -0.00283437 +-       0.00076915       0.2338       0 [    3]      (   0)          12728
        -5        -4.9   0.1             us~_epvebb~ds~                -0.00232850 +-       0.00095269      0.05356       0 [    3]      (   0)          19479
        -5        -4.9   0.1             us~_epvebb~uc~                -0.00179050 +-       0.00108618        4.121       0 [    3]      (   0)           1707
        -5        -4.9   0.1             uc~_epvebb~dc~                -0.00313374 +-       0.00099077        4.539       0 [    3]      (   0)          12093
        -5        -4.9   0.1             d~d~_epvebb~d~u~              -0.00168411 +-       0.00067214        1.157       0 [    3]      (   0)           3002
        -5        -4.9   0.1             d~u~_epvebb~u~u~              -0.00084721 +-       0.00079069        17.63       0 [    3]      (   0)           1276
        -5        -4.9   0.1             d~s~_epvebb~d~c~               0.00263641 +-       0.00318163        237.5       0 [    3]      (   0)            672
        -5        -4.9   0.1             d~c~_epvebb~u~c~              -0.00039770 +-       0.00014399       0.1961       0 [    3]      (   0)           7998

        -5        -4.9   0.15            NNLO.QT-CS.42.RRA.QCD         -0.77517403 +-       0.02426811
--------------------------------------------------------------------------------------------------------------------------------------------------------------
        -5        -4.9   0.15            gg_epvebb~du~                 -0.00207867 +-       0.00093621        429.6       0 [    5]      (   0)          10320
        -5        -4.9   0.15            gu_epvebb~gd                  -0.40870571 +-       0.01812908       0.9863       0 [   67]      (   0)        2613558
        -5        -4.9   0.15            gd~_epvebb~gu~                -0.06956291 +-       0.01137201        2.837       0 [   28]      (   0)         439867
        -5        -4.9   0.15            du_epvebb~dd                  -0.00368422 +-       0.00085744       0.4909       0 [    3]      (   0)          11499
        -5        -4.9   0.15            dc_epvebb~ds                  -0.00258093 +-       0.00089047        1.708       0 [    3]      (   0)           4128
        -5        -4.9   0.15            dd~_epvebb~du~                 -8.338e-05 +-       0.00038653       0.5359       0 [    3]      (   0)            920
        -5        -4.9   0.15            ds~_epvebb~dc~                -0.00091211 +-       0.00042498        28.71       0 [    3]      (   0)            879
