      bin (total_rate)   qTcut           list/contribution                                                               dsigma +-            error

         0           1   independent     NLO.CS.32                                                                   23911.5703 +-           2.0985
---------------------------------------------------------------------------------------------------------------------------------------------------
         0           1   independent     VA.QCD                                                                       8996.4974 +-           1.1492
         0           1   independent     CA.QCD                                                                       1429.2383 +-           0.4251
         0           1   independent     RA.QCD                                                                      13485.8346 +-           1.7036

===================================================================================================================================================

