# left-edge scale-central central-error scale-min min-error scale-max max-error
-5 621.28177 8.99667 541.68357 6.39353 719.43079 14.0970
-4.9 754.39094 9.74431 655.71048 6.85787 875.31239 13.7730
-4.8 882.70262 11.7177 772.48478 8.30717 1013.0746 17.4019
-4.7 1038.6866 13.8292 909.08630 9.90199 1192.4990 20.2753
-4.6 1217.1941 15.0058 1064.9262 10.6910 1397.8602 22.1351
-4.5 1430.6310 16.6328 1249.0271 11.7793 1648.2618 24.6954
-4.4 1610.3271 19.0053 1410.7998 13.4852 1848.8210 26.9283
-4.3 1868.4863 19.5129 1634.3461 13.8726 2146.1184 28.7663
-4.2 2060.3283 23.8338 1802.0733 16.5800 2367.0220 35.1192
-4.1 2356.6441 19.4501 2056.7284 13.4398 2717.5320 29.8473
-4 2569.7590 16.5336 2252.7247 11.6776 2942.6905 24.8709
-3.9 2856.9138 33.8836 2496.7286 22.9582 3287.5474 52.7325
-3.8 3122.0042 22.6907 2729.7607 16.2579 3589.7466 33.2684
-3.7 3410.4359 21.4585 2981.2745 15.1662 3921.6293 32.0667
-3.6 3662.6873 22.3546 3210.6391 14.8685 4201.3204 34.0421
-3.5 3958.4783 31.2264 3460.5644 21.9762 4551.7299 46.6123
-3.4 4240.0518 23.5248 3705.0077 16.6481 4877.3233 35.1207
-3.3 4540.4160 22.2431 3963.6833 15.8183 5229.5817 33.1079
-3.2 4864.4706 21.7274 4240.2452 15.3379 5613.6147 32.6757
-3.1 5168.4006 25.4367 4497.3001 17.7855 5978.8984 38.5323
-3 5442.2399 24.3907 4734.4782 17.1488 6296.4629 36.7321
-2.9 5747.9860 22.8960 4991.8658 16.1079 6666.1400 34.5685
-2.8 6006.0795 25.2749 5219.1352 17.7720 6957.1355 38.2134
-2.7 6287.8104 22.8137 5458.1863 16.1278 7293.4436 34.3222
-2.6 6584.8060 26.2175 5705.6492 18.3512 7655.8646 39.7343
-2.5 6870.8661 29.8304 5944.9546 21.0312 8003.2084 44.7130
-2.4 7071.3576 26.7893 6125.3884 18.9694 8221.3491 40.0237
