# left-edge scale-central central-error scale-min min-error scale-max max-error
-5 1.1905169 0.275665 1.0372553 0.191903 1.3529160 0.435408
-4.9 3.2781150 0.488492 2.7163950 0.335546 4.2910861 0.694507
-4.8 8.8752749 0.826720 7.8136225 0.567816 9.9959551 1.29907
-4.7 25.968084 1.54990 22.741752 1.06771 29.694983 2.42202
-4.6 62.546703 2.68189 54.353975 1.87704 73.488028 3.74780
-4.5 139.14028 5.05726 119.93869 3.38974 163.27981 8.07182
-4.4 241.88353 5.50622 212.35120 3.77413 275.97416 8.65972
-4.3 408.57837 7.04602 356.23152 4.84929 469.65480 10.2047
-4.2 615.85223 8.41448 540.88595 5.81351 703.08548 13.0512
-4.1 907.12969 8.69476 797.48096 6.10796 1034.6933 13.2921
-4 1248.8667 11.9870 1098.4749 8.31523 1423.2132 18.4786
-3.9 1684.5170 29.6404 1469.8359 19.9650 1944.6320 46.3973
-3.8 2050.1140 15.0230 1803.9314 10.4037 2337.0162 23.2008
-3.7 2525.2000 18.5405 2223.9654 12.8070 2873.3890 28.6020
-3.6 3033.7560 20.2641 2659.8395 13.9676 3476.5849 31.2294
-3.5 3495.6835 22.6413 3068.6030 15.6879 3997.7610 34.6385
-3.4 4011.2994 21.9364 3510.7390 15.0718 4608.2546 34.0494
-3.3 4566.3394 24.4966 3984.0748 17.1948 5268.6991 37.0927
-3.2 5013.6534 22.4451 4376.9900 15.5384 5778.5769 34.5802
-3.1 5511.1624 23.2150 4799.7434 16.1975 6371.9990 35.4791
-3 5954.6779 27.0336 5179.9222 18.5919 6894.9529 41.7222
-2.9 6350.3430 24.4219 5521.8241 17.1025 7356.1460 37.1562
-2.8 6821.1461 24.0949 5911.3066 17.0637 7937.0622 36.0991
-2.7 7116.7293 30.4063 6180.0780 21.1218 8251.5963 46.3641
-2.6 7449.4976 24.6459 6458.1811 17.4164 8657.8130 37.0519
-2.5 7852.1990 24.4757 6787.9462 17.2815 9160.7093 36.8263
-2.4 8144.6068 24.0771 7031.4840 17.0703 9516.6135 36.2351
-2.3 8462.9518 24.2475 7298.1849 17.2182 9900.0222 36.3431
-2.2 8685.3805 27.6430 7496.1026 17.6042 10152.025 42.3063
-2.1 8974.1653 31.9524 7724.1658 21.9984 10521.113 49.2208
-2 9158.3883 31.1136 7883.7380 21.6103 10731.098 47.3916
-1.9 9388.3664 25.6366 8068.1788 19.5219 11017.491 38.4936
-1.8 9608.2840 28.7300 8251.1435 20.4619 11292.935 42.6203
-1.7 9798.3965 31.9976 8403.6272 22.0303 11536.169 49.3082
-1.6 9887.1947 25.8356 8484.1585 18.3706 11630.511 38.5822
-1.5 10023.692 30.6319 8600.1609 21.3860 11789.869 46.4651
-1.4 10144.817 31.5494 8697.5737 22.2549 11943.800 47.3041
-1.3 10367.235 34.6616 8871.7677 25.0021 12235.983 50.4270
-1.2 10406.063 26.3937 8902.8725 18.7327 12286.284 39.5212
-1.1 10486.883 28.4985 8972.9938 20.4809 12377.603 41.8956
-1 10513.546 30.0745 9001.9053 21.2716 12396.346 45.1565
-0.9 10596.785 31.7475 9067.5285 22.2937 12503.610 47.8618
-0.8 10656.027 27.3110 9110.6339 19.5778 12589.667 40.2990
-0.7 10665.235 31.0539 9127.7641 22.1262 12581.035 45.9370
-0.6 10755.675 34.3523 9188.8625 23.0951 12711.369 51.1455
-0.5 10767.698 30.3360 9206.7140 21.4038 12716.907 45.4197
-0.4 10768.028 29.1784 9210.0854 20.6051 12710.839 43.8078
-0.3 10806.161 36.5149 9243.1631 25.7464 12755.560 54.4320
-0.2 10756.940 33.8058 9200.5705 23.9982 12699.200 50.1100
-0.1 10857.359 34.6334 9273.8313 24.3794 12841.333 51.9363
0 10850.598 32.8774 9268.8886 23.0569 12831.834 49.5660
0.1 10746.548 32.6285 9193.5267 23.2696 12683.161 48.1253
0.2 10812.082 36.6119 9247.1444 25.7898 12764.762 54.6553
0.3 10773.360 29.0723 9213.4913 20.5458 12719.570 43.6407
0.4 10763.698 29.6071 9203.6640 20.9615 12711.458 44.1996
0.5 10762.593 34.8549 9197.1994 24.5664 12722.108 52.0233
0.6 10661.403 32.2114 9124.8558 22.9372 12575.791 47.6198
0.7 10653.516 27.2075 9105.9398 20.9578 12585.865 40.0944
0.8 10586.649 30.6341 9060.6559 21.6570 12487.990 45.8418
0.9 10519.037 31.2839 9005.4551 21.8374 12405.335 47.6857
1 10488.228 28.8852 8973.5116 20.5925 12380.621 42.8808
1.1 10400.603 26.5171 8899.0893 18.8167 12277.963 39.7698
1.2 10363.944 34.7038 8869.5999 25.0333 12230.768 50.4899
1.3 10152.839 29.0971 8703.1803 20.6940 11955.913 43.2360
1.4 10010.739 27.7839 8591.3228 19.5857 11770.213 41.7506
1.5 9883.8426 25.9821 8481.7294 18.4792 11625.607 38.7339
1.6 9793.9479 31.7999 8400.7527 21.9669 11529.018 48.8143
1.7 9613.8592 32.3097 8255.4792 22.7853 11300.207 48.3638
1.8 9392.2435 25.7016 8074.7987 18.1913 11023.632 38.6099
1.9 9158.5275 31.8730 7883.9850 22.0486 10730.995 48.7247
2 8981.2931 31.9704 7728.9497 22.0113 10532.215 49.2462
2.1 8685.2583 27.1549 7492.4292 18.9080 10152.853 41.4968
2.2 8460.3082 24.4742 7299.4489 18.8660 9895.6279 36.6388
2.3 8144.1030 24.4921 7031.2943 17.3988 9515.4151 36.8076
2.4 7850.0327 24.6729 6786.5070 17.4113 9157.2911 37.1378
2.5 7440.4782 24.7879 6451.8571 17.5126 8644.3449 37.2749
2.6 7119.0869 29.4802 6181.7794 20.5756 8255.0620 44.7383
2.7 6825.9252 24.0048 5914.5775 16.9948 7944.4401 35.9846
2.8 6357.1575 24.9357 5526.4515 17.4469 7366.5318 37.9670
2.9 5945.6630 24.0830 5173.7166 16.8313 6881.3167 36.6119
3 5523.2061 23.9089 4807.8378 16.6138 6390.7601 36.6600
3.1 5012.3562 22.8644 4376.2685 15.7880 5776.2028 35.3137
3.2 4563.9565 24.6423 3982.4758 17.3003 5264.9979 37.3050
3.3 4019.4406 21.9802 3516.2638 15.1006 4620.8367 34.1182
3.4 3498.1266 22.3001 3070.4125 15.4227 4001.1789 34.2256
3.5 3022.6534 17.9606 2652.1022 12.4743 3460.1326 27.5728
3.6 2533.2404 19.0956 2229.3749 13.1872 2885.9327 29.4355
3.7 2047.2159 15.1785 1802.0363 10.5043 2332.3887 23.4415
3.8 1686.5230 29.6869 1471.1393 20.0044 1947.8444 46.4522
3.9 1249.2014 12.3201 1098.6436 8.54579 1423.8568 18.9751
4 908.60121 8.78893 798.48655 6.16668 1036.9475 13.4431
4.1 617.01823 8.56329 541.66517 5.90203 704.93042 13.3078
4.2 408.06488 7.04910 355.88347 4.85151 468.98586 10.1991
4.3 241.23361 5.39453 211.93066 3.77231 274.92206 8.33766
4.4 139.35081 5.10974 120.08353 3.42088 163.60070 8.16178
4.5 62.358036 2.68223 54.231423 1.87593 72.225984 4.11493
4.6 25.879670 1.52277 22.677601 1.05209 29.570761 2.37344
4.7 8.9326008 0.816434 7.8524779 0.562051 10.084700 1.27962
4.8 3.2626721 0.490544 2.7066001 0.336995 4.2905616 0.698646
4.9 1.1956192 0.276218 1.0404226 0.192147 1.3618237 0.436657
