# left-edge scale-central central-error scale-min min-error scale-max max-error
-5 875.40466 16.2621 751.31538 11.4915 1031.6784 24.0000
-4.9 1022.1832 22.6999 879.92705 16.7221 1199.1959 31.8563
-4.8 1140.6126 11.8005 987.39760 8.41556 1328.5138 17.4598
-4.7 1309.9851 13.4605 1133.6736 9.51773 1526.8189 20.0752
-4.6 1511.1646 12.1530 1307.5410 8.57398 1761.4709 18.2797
-4.5 1734.5968 29.2185 1496.2150 19.8883 2031.9287 45.1421
-4.4 1883.1386 13.6723 1636.3988 9.76194 2181.8222 20.2930
-4.3 2112.8974 16.5376 1836.0992 11.6373 2456.7843 23.5769
-4.2 2357.6202 22.7240 2047.4053 15.8625 2734.5547 34.2442
-4.1 2587.2775 21.7306 2248.8808 15.4019 2997.5967 32.1907
-4 2830.3772 17.7930 2461.2122 12.6312 3277.5284 26.5494
-3.9 3106.9374 16.9861 2699.3164 12.0771 3601.7834 25.3187
-3.8 3370.5236 26.4416 2927.4757 18.5350 3909.7402 39.7206
-3.7 3622.0101 19.1256 3149.6709 13.4772 4193.2008 28.8334
-3.6 3898.9933 21.3882 3392.3990 15.2366 4509.7211 31.6721
-3.5 4175.1597 29.9151 3627.7360 21.0839 4839.9851 44.6972
-3.4 4477.4868 23.4224 3887.1997 16.2968 5197.3659 33.3661
-3.3 4699.5467 23.1757 4086.4134 16.3835 5440.2896 34.7001
-3.2 5015.0051 20.2038 4355.3571 14.3437 5814.4821 30.2343
-3.1 5313.7364 24.6156 4606.1559 17.2566 6176.5922 37.1690
-3 5516.6209 28.5242 4792.4964 20.2445 6391.6558 42.2390
-2.9 5833.1687 25.6004 5057.9956 17.9102 6787.1534 41.6963
-2.8 6114.1880 24.5050 5296.4889 17.1761 7110.8601 37.1461
-2.7 6375.4329 26.4848 5518.1849 18.5827 7423.1709 39.9702
-2.6 6640.8124 25.3307 5741.5553 17.7636 7743.3818 38.3619
-2.5 6876.8389 24.7624 5945.9846 17.4149 8015.0591 37.4050
-2.4 7108.9420 23.2842 6142.6869 16.4669 8293.2200 35.0097
-2.3 7394.2451 26.0142 6379.3818 18.2011 8643.3480 39.5214
-2.2 7595.0274 26.8250 6555.7013 18.6771 8870.0440 40.9568
-2.1 7850.6620 26.3430 6762.2020 18.8166 9195.3836 39.2922
-2 8032.3104 28.6504 6919.7239 19.9178 9403.7874 43.6965
-1.9 8299.5447 26.2488 7135.1766 18.4871 9754.0174 44.7169
-1.8 8491.2272 30.0975 7299.5180 20.9294 9968.4834 45.8285
-1.7 8667.2047 23.9732 7447.9316 17.0162 10179.147 35.9660
-1.6 8881.4126 26.5347 7621.3075 17.3464 10448.504 40.2334
-1.5 8986.3581 27.4804 7720.7083 19.2448 10552.874 41.6231
-1.4 9166.9377 26.1161 7867.0550 18.3797 10776.289 43.0024
-1.3 9372.3592 29.4802 8032.8584 20.6627 11041.553 44.5642
-1.2 9460.8288 24.2069 8113.7040 17.2906 11133.478 36.0698
-1.1 9589.7018 32.3520 8220.5961 22.5342 11290.947 49.1783
-1 9726.5732 29.7955 8333.4363 20.9007 11460.045 45.0201
-0.9 9784.3427 25.7677 8382.3002 18.1959 11527.814 38.8470
-0.8 9907.4206 24.5925 8483.6172 19.2038 11682.597 36.6450
-0.7 10050.462 29.0771 8586.9111 22.6107 11888.552 44.1612
-0.6 10095.135 29.4407 8633.7382 20.6900 11920.723 44.3631
-0.5 10175.075 26.4983 8699.3892 18.8359 12019.789 39.5729
-0.4 10190.772 25.9130 8716.4543 18.2344 12030.266 39.2032
-0.3 10251.457 30.7493 8762.9871 21.2624 12113.045 47.1499
-0.2 10276.291 28.9634 8780.9969 20.3071 12148.633 43.8928
-0.1 10272.903 26.6450 8782.9286 18.6390 12134.566 40.5959
0 10284.595 26.6885 8790.7568 18.6303 12140.378 44.7252
0.1 10274.588 28.9065 8779.7296 20.2587 12146.280 43.8264
0.2 10242.170 29.2736 8756.8139 20.4076 12098.412 44.5319
0.3 10199.438 25.8790 8722.2439 18.2470 12043.844 39.0651
0.4 10182.385 26.7262 8704.4898 18.9582 12030.707 39.9828
0.5 10087.893 26.5229 8631.9284 20.1675 11910.066 39.6007
0.6 10038.231 28.7481 8578.6714 20.2248 11869.469 40.8925
0.7 9903.4947 27.1429 8480.1392 19.2179 11675.623 41.1293
0.8 9778.4049 25.4961 8378.2927 18.0199 11524.354 42.7496
0.9 9719.7893 29.3102 8328.5964 20.5282 11450.029 44.3824
1 9572.3401 29.1093 8208.9562 20.4210 11263.993 43.9905
1.1 9465.4430 24.0102 8116.9263 17.1151 11140.409 35.8919
1.2 9377.6534 28.7163 8036.5103 20.2073 11049.596 43.2296
1.3 9152.6005 27.6857 7859.4114 18.0114 10757.724 41.9889
1.4 8983.9866 29.9930 7719.3786 20.7454 10548.652 46.0173
1.5 8880.3690 24.4770 7622.1563 17.3681 10449.032 40.1830
1.6 8697.5210 28.9550 7467.7785 19.9527 10227.671 44.7005
1.7 8480.6360 27.4108 7292.4571 19.2171 9952.0068 41.4280
1.8 8293.9147 26.1916 7131.3138 18.3689 9747.0067 44.3514
1.9 8030.8258 28.6742 6918.5401 19.9235 9401.9238 43.7597
2 7839.6012 28.9158 6759.4639 18.8369 9176.1361 44.3194
2.1 7597.4320 26.6401 6557.5452 18.5871 8873.2316 40.5807
2.2 7386.0135 25.9786 6373.6685 18.1601 8630.9656 39.5134
2.3 7107.4309 23.3666 6141.8212 16.5342 8290.4532 35.1059
2.4 6880.6717 25.6086 5948.4274 17.9865 8021.3539 38.7207
2.5 6628.6571 25.7370 5733.2752 18.0144 7724.7292 39.0504
2.6 6385.4564 27.3675 5525.2607 19.1488 7438.0139 41.3705
2.7 6117.3168 24.5879 5298.5883 17.2270 7115.7046 37.2872
2.8 5826.3176 25.0038 5053.2465 17.5307 6765.2139 37.7987
2.9 5518.8063 28.7074 4793.8728 20.3691 6395.2330 42.5188
3 5314.2564 24.7679 4606.4961 17.3460 6177.4379 37.4407
3.1 5015.3585 20.3257 4355.6272 14.4287 5814.9204 30.4174
3.2 4701.5737 23.7795 4087.5316 16.7973 5443.9466 35.6009
3.3 4479.3674 23.6626 3888.2362 16.4581 5199.5052 36.1025
3.4 4179.4514 29.9411 3630.7277 21.1219 4846.4120 44.6830
3.5 3905.9801 21.4620 3397.3092 15.2968 4520.0838 31.7521
3.6 3619.5254 19.2263 3147.9537 13.5533 4189.4400 28.9723
3.7 3363.9382 25.6916 2923.1490 18.0591 3902.4813 39.8825
3.8 3102.1500 18.2099 2695.9244 12.8557 3594.7665 27.3459
3.9 2825.7147 18.4956 2457.9562 13.1356 3270.5232 27.5477
4 2594.2715 20.9254 2253.8061 14.8924 3007.9360 30.8373
4.1 2357.6084 22.6166 2047.3768 15.7993 2734.5966 34.0530
4.2 2109.7096 16.7264 1833.8707 11.7748 2443.9402 25.1548
4.3 1881.6554 13.7963 1635.3753 9.83975 2179.5914 20.4954
4.4 1737.3476 29.2478 1498.2276 19.9099 2035.7827 45.1833
4.5 1512.8054 12.1766 1308.7136 8.59381 1763.8764 18.3027
4.6 1307.0936 13.3147 1131.5877 9.43013 1522.6706 19.8197
4.7 1139.8273 11.7380 986.83398 8.36921 1327.3837 17.3767
4.8 1022.9440 22.7007 880.44916 16.7238 1200.3620 31.8540
4.9 876.26343 16.2567 751.87461 11.4880 1033.0762 23.9904
