#     m_bb-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
             10      4344.2845      9.2933906      3742.2499      8.4871391      5199.3668      10.680545
             15      2599.7045       7.214235       2235.875      6.5067676      3107.5468      8.3402749
             20      1442.4975      5.3865557      1240.7609      4.8402665       1721.387      6.2393529
             25      871.88576      4.3561154       750.0518      3.9233738      1037.7872      4.9322888
             30      571.32106      3.4397003      492.16251      3.1056708      679.01069      3.9169528
             35      390.46544      2.8972421      336.37914      2.6204949      463.63061       3.262678
             40      283.92437      2.3451577       245.2537      2.1166482      335.56128      2.6667513
             45      208.84992      1.9173682      179.97234      1.7289033      247.61795      2.1933219
             50      161.14454      1.6441481      139.29082      1.4754812      189.93928      1.8889334
             55      125.58361      1.5806415      108.51732      1.4088801      148.33837      1.8079161
             60      101.19984       1.361993      87.820409      1.2300205       118.9694      1.5639607
             65      83.257767      1.4746442      72.137415      1.3437149      98.030411      1.6579911
             70      68.281339     0.99785667      59.138051     0.89792416      80.200689      1.1287512
             75      57.297614      1.5105234      49.610966      1.3961905      67.295263      1.6241336
             80      49.313357     0.93352914      42.828096     0.83405133      57.708218      1.0616794
             85      40.814202     0.97929691      35.421904      0.8989898        47.7725       1.062481
             90      34.470177     0.75217605      29.842047     0.67282279      40.465264     0.85351599
             95      30.254941      1.0420555      26.210529     0.90422176      35.510947      1.2113884
            100      30.254941      1.0420555      26.210529     0.90422176      35.510947      1.2113884
