# A_Zbb-CMS-2bj        central        num_err    min (scale)        num_err    max (scale)        num_err
# et
              0      2792.9246      43.364042      2413.1169      39.209754      3286.5328      48.662876
            0.1      1354.2055      31.570352      1172.2845       28.60368       1593.978      35.555033
            0.2      720.08148       37.62055      634.77375      35.056808      824.82971      39.384045
            0.3      409.78743       17.30413      363.83811      16.034141      466.63132      18.959416
            0.4      248.58551      12.848906      219.62306      11.716366      283.80081      14.143226
            0.5      154.45862      10.019145      136.86591      9.0862113      175.92872      11.134258
            0.6      97.282118      8.2875597      87.067694      7.6378889      109.54023      9.0597368
            0.7      47.438525      5.2654327      42.172325      4.7561325      54.132059      5.9344418
            0.8      19.903412      2.6563845      17.825011      2.4308589      22.276763      2.9125665
              1      19.903412      2.6563845      17.825011      2.4308589      22.276763      2.9125665
