#    pt_j1-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
              0       231.9092      4.5900749        201.962      3.9431349      359.09396      7.9225916
              1      1409.5366      13.693382      1161.0367      11.613713      2189.6158      22.260152
              2       2086.763      18.584665      1803.7732      16.596375      2715.5747      24.641778
              3       2215.941      19.574783      1952.0705      17.384593      2703.0369      23.761603
              4      2172.7827       19.50265      1909.0363      17.498926      2577.6941      22.660618
              5      2009.1966      17.916213      1763.1107      16.076239      2345.5908      20.448535
              6      1907.5198        16.7321      1670.2152      15.139577       2212.607      18.685189
              7       1780.452      15.846099      1557.0254      14.476677      2057.5731       17.29597
              8       1689.037      15.412335      1478.6304      14.096652      1938.1591      16.648988
              9      1581.9324      14.260168      1381.4314      12.884529      1816.8238       15.69947
             10      1480.2606      12.823776      1291.0126      11.603166      1699.4265      14.056311
             11      1408.1786      12.639172      1228.2416       11.76032      1613.7131      13.192569
             12      1315.6429      12.410848      1145.2774      11.262209      1511.0329      13.511435
             13       1259.842       12.36661      1097.1175      11.376814      1443.9224      13.127321
             14      1213.2767      12.053813      1054.6217      11.048674      1393.9514      12.867513
             15      1124.8892      11.159037      977.48599      10.178795      1291.9083      12.103222
             16      1087.0522      12.005953      944.42911      11.015021      1248.3066       12.78676
             17      1031.0411      9.9784061      894.33484      9.1808552      1186.5597      10.670031
             18      976.02468      9.6482109      845.29927      8.9204516      1125.7339      10.238233
             19      942.20568      9.5772884      817.08316      8.8895013      1084.3142      10.140649
             20      897.74505      8.9821922      777.20914      8.2453945      1035.5281      9.6385764
             21      873.62304      9.5794456      756.29189      8.7202386      1008.1526      10.401201
             22      830.79166      7.5914259      717.82798      6.9283966      961.31397       8.293005
             23      816.53487      8.4801751      706.09503      7.8465426      943.53447      8.9865243
             24      764.23728      7.6685362      659.91949      7.0543411       884.9221      8.2443573
             25      734.31844      7.3461516      633.67008      6.6867667      851.11886      8.0419828
             26      719.81371      8.4347842      620.54131      7.7767736       835.9402      9.0211933
             27      696.44026      7.3054031      600.82855      6.6933965      807.92512      8.1755741
             28      675.76759       8.895505      581.57255       8.106557       786.5466      9.6299054
             29      641.88263      6.7386283      553.66731      6.1222246      745.89017      7.7009118
             30      636.25024      7.8380706      548.48816      7.3662527      740.58902      8.6026521
             31      608.96291      7.1039372      524.01236      6.5033393       710.0806      7.9605351
             32      579.71166      6.2375135      497.95987      5.5347531       677.9338      7.0707795
             33      570.09449      5.6170881      489.43239      4.9538902      667.01196      6.4631145
             34      546.02857      6.5025498      468.48058      5.7726527      639.32053      7.3694444
             35      537.96527      7.4459975      460.95254      6.5867778      631.00876      8.5443722
             36      529.06869        8.41512      455.08347       7.932576      617.11817      8.9354523
             37      498.16776       5.747446      426.89101      5.2531121       583.8819      6.3993423
             38      482.43116      5.7950284      411.96055      5.1135049      567.74706      6.6206213
             39       465.6959      5.4531925      397.49784      4.8375292      548.50236      6.1869766
             40      447.60415      6.1652188      382.07022      5.5135705      526.54051      6.9185147
             41      438.79156      6.0476502      374.44382      5.4179649      516.46293      6.7316221
             42      418.63324      5.3745879      356.43554      4.7818336      494.32196      6.1031845
             43      403.19326      5.6174011      342.72704      4.9979832      476.91351      6.3841692
             44      388.03137      5.4172668      328.61567      4.7676319      461.42355      6.1992183
             45      379.98957      5.1210169      323.10451      4.5684627      449.31363      5.7878387
             46      370.10402      5.7305725      313.67981      5.0133153      439.18267       6.830428
             47      360.82904      4.9319902      306.10484      4.4569486      427.67972      5.4994232
             48      338.31376      4.3095199      286.26372      3.7987011       402.5105      4.9942646
             49      333.00572      4.3877508      281.17345      3.8081037      397.38126      5.1526874
             50      333.00572      4.3877508      281.17345      3.8081037      397.38126      5.1526874
