#pt_Z-CMS-1bjet        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      21.647245    0.065473246      18.774456    0.060578455      25.088685    0.072002498
             20      49.523412     0.14111122      43.122208     0.12873446      57.407494     0.15733372
             30      56.588165     0.16095405      49.625089     0.14877523      65.438007     0.17993453
             40      48.351062     0.14373596      42.447541     0.13275346      55.794981     0.15937983
             50      37.799099      0.1091362      33.081576     0.10027514      43.674922     0.12106828
             65      28.247431    0.088954467      24.577217    0.081754532      32.797946    0.098575503
             80      20.739388    0.078106738      17.962863    0.071194119      24.176428    0.087549051
             95      15.303541    0.071972853      13.197218    0.065206808       17.92212    0.080395278
            110       10.72786    0.043441903      9.2150016    0.039433341      12.645409    0.049243101
            130      6.5297366     0.02796319      5.5672767    0.025767879      7.7524615    0.031263081
            165      3.5347366    0.021475552      2.9875021    0.019323716      4.2345691    0.024373286
            200      1.9577509    0.013803033      1.6420806    0.012389618      2.3648672    0.015917292
            240     0.96270185   0.0072623222     0.80323154   0.0063953519      1.1685361   0.0085710815
            300     0.17708709   0.0016323464     0.14595906   0.0013442318     0.21725198   0.0020716974
            600     0.17708709   0.0016323464     0.14595906   0.0013442318     0.21725198   0.0020716974
