# dR_Zbb-CMS-2b        central        num_err    min (scale)        num_err    max (scale)        num_err
# jet
              0      23.326534      1.4751332        20.2741      1.3255881      27.296091       1.670165
            0.6      82.184607      2.8562575      71.579583      2.5929713      95.965753       3.190091
            1.2      159.74933      5.6545927      140.73116       5.081726      183.32917      6.2621692
            1.8      245.82994      6.5653636      216.20789      6.2166056      282.56925      6.8656816
            2.4        273.364       8.261611      237.10271      7.4408754      319.56612      9.2344536
            2.7      284.39459      7.8828907      246.64261       7.083313       332.8815      8.8743736
              3      184.20062      6.3787227      160.24941      5.8269748      215.34659      7.1215847
            3.3       59.70096      2.3072651      50.045164      2.0494731      73.042194      2.6824995
              4      13.324642     0.98974076      10.867731     0.85909468      16.784818      1.1720873
              5      13.324642     0.98974076      10.867731     0.85909468      16.784818      1.1720873
