# dphi_bbZ-j1-p        central        num_err    min (scale)        num_err    max (scale)        num_err
# tj30
              0      3607.3566      23.836604       3012.004      21.217744      4366.8862      27.279605
     0.31415927       3870.491      28.735391       3237.874       26.50855      4673.3385       31.18834
     0.62831853      4100.1764      23.939208      3432.1499      21.178793      4947.7842      27.642613
      0.9424778      4450.3178      29.049587      3719.8482      25.839565      5384.1356      33.166676
      1.2566371      5000.8924      27.970945      4186.7069      24.604377      6036.0856      32.888018
      1.5707963      5913.7505      31.439368      4946.9309       27.72563      7142.2391      36.587724
      1.8849556      7370.7185      44.493936      6177.9735      40.266404      8877.0991      49.686385
      2.1991149       9229.348      46.663571      7719.8555      41.276799      11140.671      53.433964
      2.5132741      11508.368      53.755451      9614.4352      47.015627      13901.801      62.573313
      2.8274334      13503.997      69.302353      11282.031      60.241423      16295.136      80.787333
      3.1415927      13503.997      69.302353      11282.031      60.241423      16295.136      80.787333
