# pt_bbZ-zoom-p        central        num_err    min (scale)        num_err    max (scale)        num_err
# tj60
              0     0.26098213    0.079025198      0.2030581    0.061900665     0.34588436     0.10564556
              1      1.2372207     0.19175744     0.97399889     0.15160709      1.6240648     0.25656963
              2      1.7906665     0.24652534      1.4413464     0.20318753      2.2714469     0.31140008
              3      3.3288693     0.37520721      2.6791251     0.32301199      4.2482793     0.45162864
              4        3.77769     0.39674278      3.1429698     0.34085311      4.5927725     0.47695486
              5      5.3079749     0.47317023      4.2643346     0.38596857      6.7570537     0.62967255
              6      5.6466866     0.66094593      4.5694698     0.55874517       7.128957     0.79683577
              7      6.2553185     0.44371509      5.0127262     0.36558972       7.997812     0.56200967
              8      7.5827375     0.54129428      6.1319165     0.45199218      9.5989022     0.68502902
              9      9.9511267      0.6163162      8.2186868     0.53708938      12.216804     0.77255307
             10      11.163426     0.90584767      9.0986143     0.79417504      13.966299      1.0538737
             11      11.001307     0.69546101      8.9651443     0.59438382      13.743878     0.84124762
             12       12.29771     0.74047517      9.9332852     0.63435946      15.575708     0.89098349
             13      14.838945     0.71216651      11.867223     0.59232274      19.033492     0.88944644
             14      15.437838     0.78224831      12.513627     0.66468441      19.484035     0.95119756
             15      17.239209     0.84374653        13.9677     0.71186757      21.741702      1.0311618
             16      16.847857     0.76723021      13.598469     0.63795303      21.329036     0.95713746
             17      18.383418      1.0484134       14.96702     0.92009103      23.037545      1.2099869
             18      17.939182     0.76217943      14.400408     0.63160423       22.88691     0.96120835
             19       21.86251     0.99561312      17.708646     0.84294527      27.591676       1.221105
             20      22.594431     0.97320261      18.240427      0.8173208      28.600355        1.20727
             21      23.329586      1.0119294      18.846482     0.84090148      29.493483      1.2899262
             22      25.517048      1.0161513      20.860804     0.88057794      31.758988      1.2295753
             23      29.104735      2.0957764      23.697961      1.7682151      36.435633      2.5289928
             24       28.30912       1.208788      22.870704      1.0180713      35.826047      1.4774015
             25      28.943616      1.1045113      23.569006     0.95192433      36.220576      1.3509968
             26      29.675399      1.1032077      23.994784     0.94238166      37.538992      1.3433997
             27      32.530163      1.1813565      26.375438     0.99281986      40.909678      1.4728249
             28      31.990715      1.1099805      25.889522     0.93929005      40.344573      1.3620507
             29      33.084152      1.1213952      26.841479     0.93906846      41.602906      1.3869719
             30      35.081974      1.4143096      28.413766      1.1968618      44.221961      1.7114984
             31      37.196726      1.5554277      30.441366      1.3832743      46.234075       1.785743
             32      37.476026      1.2737663      30.367534      1.0696802      47.226905      1.5623922
             33      41.331131      2.1670509      33.418516      1.8525088      52.162361      2.5543125
             34      41.110223      1.8311849      33.637067      1.6766738      51.118938      1.9932091
             35      46.013225       3.128947       37.84799      2.8384653      56.935464      3.4062174
             36      43.521408      1.3551653      35.051104      1.1549545      55.248233      1.6407575
             37      47.084839      1.5754558        38.5096      1.3583845      58.577276      1.8663078
             38      49.105302      1.4373546      39.859153      1.2103573      61.671201      1.7638493
             39      48.618669      1.3874672      40.056903      1.2433524      59.950218      1.7678762
             40      53.547795      2.8659468      43.392767      2.3533706      67.393025      3.5588388
             41      51.605308      1.5516647      41.911563      1.3682369      64.721909      1.7980692
             42      54.124251      1.8215118      44.644004       1.573566      66.564072      2.1511915
             43      54.577515      1.6915943      44.744645       1.457087      67.688014      2.0283708
             44      54.921723      1.5700746      44.724556      1.3277279      68.652444      1.9184008
             45      56.292694      1.4463667       45.53674       1.208744      70.995331      1.7882791
             46      68.034317      2.8357919      56.465566      2.6608716      83.089865      3.0674145
             47      63.861797      1.7514147      51.839719      1.4840615      80.169732       2.115964
             48      65.347813       1.671135      53.453059      1.4260081      81.201769      2.0444328
             49      66.854936       1.679575       55.13233      1.4437715      82.183197      2.0249674
             50      66.854936       1.679575       55.13233      1.4437715      82.183197      2.0249674
