#         eta_b        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5      1155.6297      31.421355      995.58467      27.943121      1395.7456      37.778189
           -4.9       1372.889      32.321656      1195.4467      29.593129      1620.8452      45.325085
           -4.8      1506.7793      41.022337      1296.6461      35.661892      1833.3596      50.067895
           -4.7      1607.7007      36.800084      1389.7031      32.770713      1927.1528      43.642375
           -4.6      1877.2973      50.660532      1623.8291      45.051715      2248.4147      59.350033
           -4.5      1994.8051      42.807297      1726.2092      37.547116      2404.0177      54.659538
           -4.4      2149.4126       41.09147      1857.8064      36.528391      2585.3368      49.848801
           -4.3      2414.2815      47.252015      2082.7365      41.273071      2930.3607      59.481346
           -4.2      2643.3872      50.661604      2287.9847       44.76654      3169.6892      60.736978
           -4.1      2973.4618       48.29074      2569.8032       42.38949      3572.9413      59.678371
             -4      3109.7415      66.992696      2700.0134      60.054808      3703.2789      77.058829
           -3.9      3379.7409      54.228511      2935.1854      48.563051      4051.0132      65.868328
           -3.8      3653.6009      64.178695      3172.0434       57.39254      4341.6808      75.471567
           -3.7      3935.4983      64.525702      3412.9947      57.115353      4683.1738       78.02378
           -3.6      4216.3124      69.127167      3656.2666      61.292995      5009.0688      81.817472
           -3.5      4529.7388      85.772526      3930.0852      77.991624      5379.3625      96.243859
           -3.4      4676.6183      68.570757      4058.7809      61.623855      5538.0253      78.689034
           -3.3       4876.108      73.556763      4235.0625       66.55225      5766.9623      84.593064
           -3.2      5096.1147      75.191103      4420.0848      70.140099      6030.6277      81.479164
           -3.1      5383.6776      74.211914      4648.5634      65.385685      6421.5153      88.670066
             -3      5715.5873      84.530285      4955.8694      76.531412      6789.0693      96.885146
           -2.9      5791.0957      73.831358      5017.5164      66.349033      6872.1593      85.573636
           -2.8      6079.7098       86.79556      5261.7011      77.649964      7208.3305      99.508631
           -2.7      6274.1982      73.803819      5426.3091      66.545796      7445.3118      85.632079
           -2.6      6644.5256      95.330634      5753.1848      85.526959      7876.3876      113.00225
           -2.5      6621.7373      75.697071      5723.1429      68.237514      7868.5147       88.65418
           -2.4      6777.4976      74.873681      5843.8459      67.418082      8057.8428      86.593582
           -2.3      6952.0219      83.801211        5996.16      74.759115      8274.2761      100.36217
           -2.2      7171.1496      86.949764      6186.8404      78.628495      8542.0694      99.897795
           -2.1      7417.9091      102.80031      6409.0163      95.245228      8793.7164      112.41087
             -2      7565.2203       93.46353      6526.3014      85.305167      9002.8385      104.57198
           -1.9      7602.2687      85.422326      6559.9747      77.713001      9028.6347      98.569436
           -1.8      7745.8992      94.547211      6671.5306      84.805902      9227.0849      108.96336
           -1.7      7744.0589       95.61656      6660.8602      86.755143      9241.9465      107.98953
           -1.6      7864.4587      88.105337      6758.5654      79.183719       9376.713      101.14976
           -1.5      7997.5761      87.455325      6866.9215      77.881925      9533.8797       101.5651
           -1.4      7870.2084      87.737846      6748.2728      80.039509      9409.0239      100.12087
           -1.3      8138.3741      100.51263      7009.6487      92.871304      9647.6356       109.5083
           -1.2       8123.625      101.43741       6985.749      91.560072      9659.3092      114.97266
           -1.1      8223.4485      92.829713      7054.7184      83.318878      9804.0328      107.24277
             -1      8131.2665      102.56977      6980.0085      92.653735      9681.1504      116.55687
           -0.9      8045.6281      85.618704      6885.5562      77.639864      9612.3122      96.995846
           -0.8      8114.5165      87.952094      6962.7636      79.999575      9666.3854      98.747529
           -0.7      8240.4896      101.79239       7072.793       92.62643      9818.9422      114.17805
           -0.6      8108.4275      89.373519      6962.8602      81.067135      9646.2282      101.83599
           -0.5      8197.2671      110.81404      7042.9961      101.67985       9752.611      121.76971
           -0.4      8100.6592      99.617762      6957.4133      90.278364       9641.078      113.52316
           -0.3      8016.1197      81.948304      6877.4377      73.820102      9553.5495      96.552281
           -0.2      7999.1804      89.784984      6864.9773       81.13656      9539.1966      103.59169
           -0.1      8005.1113      96.813237      6870.4961      88.474203      9527.6602      107.27059
              0      8016.5986      95.539691      6859.4506      84.839553      9594.6452      111.99473
            0.1      8034.9723      88.855928      6888.2623      80.605641      9588.8967      100.66257
            0.2      7890.9414        78.2765        6751.37      70.029024      9443.9461      91.107315
            0.3      8109.9588      86.827718      6954.5876      78.439365      9662.1184      99.471364
            0.4       8098.295      81.478663      6948.7296      75.070897      9667.3342      92.058239
            0.5      8111.4992      88.853579      6951.1302      80.351208      9696.2367      100.97619
            0.6      8084.6467       88.37002      6926.6413      79.377718      9657.4431      102.54617
            0.7      8197.4435      114.15559      7045.5191      105.66427      9742.1645      123.92453
            0.8      8057.7169       89.94883      6916.8426      82.237363      9625.4914      102.02194
            0.9      8170.4625      100.75662      7010.9131      94.534432      9773.4874       110.6411
              1      8076.6361      91.064095      6919.1952      82.343819      9660.6837      103.21371
            1.1      8080.8372      87.318848      6933.5749      79.178982       9656.332      99.544284
            1.2      8015.8257      90.023644      6877.3449      80.997677      9571.6875       103.6408
            1.3      8249.8601        109.212      7104.7832       99.53724      9793.7102       121.2446
            1.4      8008.9509      95.009811      6892.3305      86.371028      9526.4411      107.17021
            1.5      7873.9182      93.946652      6779.3876      85.098302      9350.1625      105.71913
            1.6      7822.5103      93.988135      6736.6283      85.661702       9300.266      106.11079
            1.7       7618.631      80.949964      6552.1572      73.198275      9066.7933      92.097082
            1.8       7489.965       91.70309      6456.7785      84.943717      8887.3506      99.598969
            1.9      7697.3425      103.06202      6637.6167       92.07624      9150.6544       118.6421
              2      7309.4812      76.738864        6294.55      68.665909      8713.0775      90.553814
            2.1      7170.5021      78.363329      6177.4659      70.256091      8533.0551      92.218382
            2.2      6954.2586      81.812891       5998.226      73.745458      8292.2566       94.79426
            2.3      6798.8932      83.456576      5869.1297      75.323758      8088.8269      98.067023
            2.4      6717.6297      91.597916      5801.7209      81.814764      7986.7687      105.22867
            2.5      6500.4593      83.443782      5622.4625      76.387995      7713.2752      94.800157
            2.6      6197.7493      72.251046      5360.2282      65.903631      7365.6427      83.103435
            2.7       6060.879      73.649255      5238.5178      66.127168      7218.7096      86.619482
            2.8      5815.1357      77.865463       5034.706      69.833675      6913.0376      91.211047
            2.9      5846.7861      90.542134      5078.1619      85.605004      6907.0107      95.402302
              3      5316.2599      71.326191      4605.2666      64.479499      6324.3202      82.278293
            3.1      5073.4612      66.077833      4390.1423      59.089435      6032.8642      77.080221
            3.2      4825.8868      65.486622      4182.6478      59.102258      5733.0587      76.077632
            3.3       4694.971      81.260156      4070.1431      71.770652       5568.822      95.339204
            3.4       4447.506      73.672035      3843.6464      65.123075      5315.2544      87.662081
            3.5      4222.1661      62.108499      3660.1833       55.39937      5006.4737      73.722225
            3.6      3834.9128      68.948123      3322.0071      61.747055      4569.6917      80.437572
            3.7      3657.6018      61.568525      3171.5777      54.977944      4359.8188      72.561121
            3.8      3421.5215      64.604488      2962.0356      56.361441      4092.4444      78.386983
            3.9      3181.0371       59.20875      2750.0212      53.028562       3820.365      69.763601
              4      2914.6768      51.696511      2521.0271      45.885888      3488.4234      61.301877
            4.1      2637.0517      48.314134      2282.1153      42.789087      3154.3763      58.213404
            4.2      2429.4399        44.1518       2097.961      39.037487      2928.5379      54.012476
            4.3      2243.7233      43.904222      1936.9403      38.804943      2716.8026      53.397401
