#          y_em        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5      236.59265      20.831187      200.77532      18.691305      288.06003      23.602592
           -4.9      296.42853      29.772049      251.20849      26.682726      357.25504      32.008554
           -4.8      341.03452      17.000136      287.97708      15.486456      415.98604      19.042819
           -4.7      426.63065      17.919031      360.49891      16.036359      527.99858      21.960448
           -4.6      556.17488      31.826459      471.95224       28.53723      679.72672      37.287628
           -4.5      669.44595      25.991498      568.95399      23.598839      817.73778      29.506667
           -4.4      847.17339      46.753024      726.96108      41.764849      1017.3792      54.966652
           -4.3       1072.779      46.495638      912.59678      41.572615      1310.0222      54.141041
           -4.2      1216.1182      53.857423      1035.2559      47.728451      1473.2958      61.917696
           -4.1       1378.927      33.967819      1170.5264      29.824833      1680.2994      40.861627
             -4      1690.0969      46.324163      1440.3568      41.316868       2049.026      53.553285
           -3.9      1997.0163      42.238241      1702.2303      37.481985       2426.266      50.269614
           -3.8      2261.1267      45.125194       1934.029      40.323539      2736.0969      54.297586
           -3.7      2753.3909      53.957308      2358.9029      48.390216       3323.804       63.77148
           -3.6      3133.4355      67.822257       2691.397      61.297886      3776.9295      79.393929
           -3.5      3410.4639      51.703518      2912.8696      45.712006      4139.9556      64.035282
           -3.4      3944.1572      74.894956      3376.9794      68.820436      4754.3837       81.62865
           -3.3      4333.1781      69.943601      3714.1621      65.686704      5204.4236      75.781997
           -3.2      4721.0541      69.945853      4046.4621      63.813849      5681.4657      78.168731
           -3.1      5140.6844      83.452558      4408.0375      74.137755      6181.3711      97.359629
             -3      5526.7699      66.172756      4731.1041      58.241879      6652.2316      79.624192
           -2.9      6078.0669       74.53095      5225.8513      67.161964      7285.5007      90.287773
           -2.8      6349.9281      87.822851      5460.7337      79.260996      7609.9208      100.17858
           -2.7      6816.3074      75.909052      5869.6153      68.394339      8145.6273      88.920286
           -2.6      7121.4306      89.748724      6136.1406      81.409813      8517.5645      103.30345
           -2.5      7503.4398      87.448584      6461.7087      79.832801      8962.0032      99.031444
           -2.4      7811.7157      81.900086      6727.8636      74.365474      9335.8134      95.074677
           -2.3      7883.5127      79.523094      6788.7244      71.530841      9423.0818      94.185732
           -2.2      8202.8097      81.288427      7052.4104      72.293958      9822.9199      96.603262
           -2.1      8454.6698      90.577181      7283.3361      80.822512      10107.166      107.33094
             -2      8642.0089      106.34035      7432.1111      95.889602      10330.893      120.98096
           -1.9      8576.2358       79.51833      7397.9722      71.498562      10224.105      94.466135
           -1.8      8910.2176       92.33449      7686.2457      84.793317      10615.901      104.71551
           -1.7      8965.2315      87.209467      7726.6496      77.156124      10671.808      108.27645
           -1.6      9079.1841      101.12563       7844.009      91.812384        10800.5      117.27758
           -1.5      9344.0004      100.48606      8078.6087      91.964342      11090.274      114.00433
           -1.4       9106.161      96.057162      7863.7872      86.665686       10799.08      111.95883
           -1.3      9063.4693      103.96088       7825.508      93.513174      10742.852      118.28581
