#          y_bb        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5       599.0274      6.0670547      514.95584      5.2663687      731.35667       7.507509
           -4.9      713.78075       6.273495      614.47765      5.4625065       867.3296      7.7340111
           -4.8      872.79792      8.0266277      754.20108      7.0752793      1056.4936       9.811389
           -4.7      1021.0359      7.8574472      882.18334      6.9544408      1232.5425      9.5021804
           -4.6      1200.4352      8.6479648      1037.2106      7.6220906      1451.0582      10.482764
           -4.5       1388.011       8.571237      1201.0989      7.5347445      1672.2557      10.516089
           -4.4      1593.8033      9.6392887      1380.3843      8.4593773      1913.3128      11.749653
           -4.3      1808.4093      10.342956      1568.8667      9.2135568      2166.8353      12.374823
           -4.2      2065.9725      12.276028      1793.7518      10.836545      2467.9186      14.616719
           -4.1      2284.2778      11.939276      1985.1717      10.608919      2725.4821      14.219146
             -4      2549.0182      12.518304      2213.5994      11.084895      3045.2858      15.012532
           -3.9      2789.2644      12.685831      2425.0586      11.376306      3323.6107      15.016352
           -3.8      3055.6372       13.79168      2656.8988       12.35348      3633.4739      16.269342
           -3.7      3327.4342      14.299583      2893.9468      12.926099       3954.074      16.608253
           -3.6      3598.8193      14.734992      3130.0965      13.237646      4273.7332      17.238842
           -3.5      3878.9436      15.654232       3375.205      14.228889      4597.7499      17.927971
           -3.4      4173.0962      16.162754      3629.3099       14.48309      4946.3643      18.894894
           -3.3      4422.8429      16.660765      3846.9163      14.990462       5236.199      19.488851
           -3.2      4737.4354      17.736212      4117.1751       15.93733      5616.7346       20.62513
           -3.1      4977.7271      17.689452      4325.8439      15.945957      5897.6567      20.736575
             -3      5261.2985      18.717644      4571.7952      16.864102       6231.265      21.632658
           -2.9      5480.0562      17.992888      4757.2852      16.189998      6492.1607       20.88636
           -2.8      5763.9572      18.206648       4999.839      16.402095      6834.2959      21.183414
           -2.7      6019.6896      19.377887      5217.7085      17.428326      7138.7049      22.461158
           -2.6      6260.7898      19.911498      5424.5042      17.958681      7424.4003      23.063733
           -2.5      6496.6484      19.632121      5618.1686      17.619646      7727.0928      22.936326
           -2.4      6768.8583      20.206849      5857.1944       18.24739      8041.1198       23.34312
           -2.3       6973.978      20.972694      6029.2775      19.034093      8283.8233      23.883359
           -2.2      7146.8815      21.319107      6175.2828      19.291708      8497.3344      24.492838
           -2.1      7397.3975      22.327109       6388.924       20.26781      8785.6652       25.36957
             -2      7596.2234      21.462729      6550.9686      19.446543      9041.5238       24.62753
           -1.9      7804.3074      22.828384      6730.5325      20.781944      9280.9471       25.78967
           -1.8      8001.6012      22.496864      6898.4038      20.489661      9518.8317      25.554679
           -1.7      8151.4383      23.032601      7019.6559      21.066079       9704.917       25.85128
           -1.6      8277.9116      21.384944      7121.7604      19.476423        9865.46        24.3017
           -1.5      8487.5555      23.017212      7298.6312      20.965761      10120.396      26.103229
           -1.4      8593.0279       22.39407      7381.5061      20.286367      10257.339      25.716242
           -1.3      8748.2438      22.405676      7511.5191      20.436296      10449.937      25.469586
           -1.2      8916.1008       24.04107      7655.9598      21.880852       10643.88      27.438796
           -1.1      9078.8046      23.945181      7789.6273      21.640924      10852.128      27.412133
             -1      9160.1685      23.947252       7852.897      21.741666        10956.1      27.258247
           -0.9       9225.018       22.52287      7906.0084      20.367175      11032.566      25.817992
           -0.8      9283.6332      23.371206      7956.9786      21.396639      11100.777      26.312094
           -0.7      9398.1348      23.492882      8049.9611      21.300641      11249.018       26.80991
           -0.6      9475.0449      23.599629      8116.2476      21.488433      11342.307      26.889142
           -0.5      9559.5898      24.269429      8186.4334      22.098348      11442.281      27.482447
           -0.4       9608.834      24.305878      8227.0671      22.100866      11499.089      27.519798
           -0.3      9595.2587      24.462149      8214.5596      22.245056      11488.793      27.791831
           -0.2      9656.2921      24.273415      8264.2505      21.904969       11563.77      27.876203
           -0.1      9650.0999       24.48773      8263.3019      22.323216      11548.999      27.776662
              0       9637.361       24.33653      8248.8046      22.264732      11541.874      27.379905
            0.1      9633.0633      24.146196      8250.0054      21.981925      11522.152      27.445598
            0.2      9609.6703      23.675491      8225.7515      21.557418      11504.903      26.931479
            0.3      9569.4576      23.507039      8189.2229       21.25522      11462.384      26.978901
            0.4      9547.1659      24.004534      8177.6963      21.901323      11421.754      27.328562
            0.5      9530.6218      24.417736      8160.6713      22.119994      11410.078      27.808585
            0.6      9378.5949      23.685721      8033.7642      21.546851      11227.139      27.000001
            0.7      9326.8723      23.349703       7992.806      21.305496       11157.34      26.579597
            0.8      9241.6721      23.862164      7924.2983      21.760042       11046.09       27.04881
            0.9      9139.8144      22.847818      7837.9441      20.650113      10929.392      26.303417
              1      9005.2722      23.158519      7724.4223      21.100198      10756.063      26.109784
            1.1      8923.2602      23.583864       7661.111       21.49772      10658.725      26.725499
            1.2      8782.2666      23.368455       7542.067      21.192796      10489.887      26.673332
            1.3      8656.6794      23.747565      7437.7148      21.685422       10335.67      26.806654
            1.4      8434.7903      22.515543      7253.9915      20.524747        10056.6      25.812562
            1.5      8298.7646      22.251575      7137.8788       20.22907      9900.1288      25.418292
            1.6      8126.9432      21.308489      6997.0057      19.376123      9685.8672      24.297554
            1.7      7979.5782      21.804903      6874.2011      19.748138      9502.4658      25.118419
            1.8      7791.9134      22.483938      6715.0186      20.366244      9282.0965      25.725955
            1.9      7582.6256      21.743406      6538.8152      19.667907      9024.9035      24.876136
              2       7396.589      21.966714      6389.0709      19.937177      8784.6826      24.976631
            2.1      7183.1856      20.907075      6204.6508        18.9222      8536.1854      23.941844
            2.2      6984.5576      21.093277      6038.0711      19.053542      8301.5253      24.328784
            2.3      6752.2256      20.757448      5846.4439      18.974666       8009.188      23.541195
            2.4       6501.229      20.301573      5630.4188       18.40516      7709.8286      23.185151
            2.5      6274.9848      19.711158      5438.4147       17.93005      7437.2163      22.548618
            2.6      6003.4301      19.366633       5204.583      17.524052      7116.0928       22.32145
            2.7      5740.9532      18.935429      4977.4382      17.117566      6809.7579      21.817027
            2.8      5475.3016      18.054837      4751.2944      16.252794      6491.3654      20.992921
            2.9      5223.6624      17.753592      4534.6506      15.976981      6190.4646      20.665511
              3       4960.336      17.518653      4312.6322       15.81476      5873.3911      20.312284
            3.1      4694.7486      16.822376      4082.5976      15.131249      5560.0311      19.617606
            3.2      4439.6609      17.370138      3858.6111      15.676115      5265.0066      20.051768
            3.3      4138.8769      16.520442      3598.2224      14.870571      4910.6116      19.082717
            3.4      3893.4913      15.963501      3388.5374      14.406427      4615.4172      18.539908
            3.5      3632.3637      15.639666      3157.6637      13.903039      4314.9118      18.454687
            3.6      3339.3054      14.837667      2902.6071      13.255736      3973.4926      17.547087
            3.7      3030.2783      13.018101      2634.5387      11.646016       3604.728      15.536097
            3.8      2799.0507      13.377724       2432.529      11.919362      3332.7552      15.967053
            3.9      2533.7054      12.904838      2201.9959      11.477316      3019.9051      15.351942
              4       2278.248      11.618772      1977.0474      10.358854      2726.2434       13.85201
            4.1      2029.7132      11.296889      1761.2033      10.018786      2429.3181      13.561936
            4.2      1797.5802      10.227186      1560.0339      9.1093169      2152.4393        12.2469
            4.3       1594.686      10.182549      1383.7992      9.1360873      1910.5398      12.054369
            4.4      1375.3456      9.3055336      1191.9979      8.3054511      1652.4494      11.116961
            4.5      1201.1177      9.4620721      1037.6125      8.3541361      1451.5539      11.320201
            4.6      1015.5112      7.6794309      876.32331       6.776133      1233.1368      9.3993127
            4.7      852.63291      7.6845734      734.55446      6.7111115      1037.8979      9.3736357
            4.8      714.38698      6.4314589      614.48953      5.6406857      872.84905      7.9140076
            4.9      597.91059      6.4717272       514.4324      5.7468853      729.53285      7.8009495
              5      597.91059      6.4717272       514.4324      5.7468853      729.53285      7.8009495
