#       pt_lep2        central        num_err    min (scale)        num_err    max (scale)        num_err
            350    0.006711116   0.0027689467     0.00565593   0.0024426361   0.0080117139   0.0031407488
            355   0.0080194086    0.002111829   0.0069051192   0.0018579838   0.0092491828   0.0024245276
            360   0.0046475613   0.0015784223   0.0040700019   0.0013630574    0.005166227   0.0019375107
            365   0.0042269762    0.001294038    0.003381399   0.0010137139   0.0053527376    0.001736931
            370   0.0028782322   0.0021136718   0.0022697297   0.0016609791   0.0040677202    0.003088389
            375   0.0042102131   0.0015951163   0.0034932273   0.0012706237   0.0050241208   0.0021228142
            380   0.0041870652   0.0015758299   0.0035166805   0.0013880336   0.0050069317   0.0017994257
            385   0.0028856217   0.0010109796   0.0023023466  0.00073783644   0.0036193895   0.0014920053
            390   0.0015309253  0.00069299928   0.0011831415  0.00053988835   0.0020295899  0.00091626305
            395   0.0046173928   0.0021655168   0.0040053482   0.0019719766   0.0054128649   0.0023929172
            400   0.0030180223   0.0012583874   0.0024027727   0.0010619523   0.0039800509   0.0015756225
            405   0.0041084262   0.0017942814   0.0034484839   0.0014786059   0.0048609475   0.0023456927
            410   0.0065911861   0.0024103123   0.0052849476   0.0020073639   0.0084243815   0.0029673905
            415   0.0028609794    0.001013141   0.0022454372  0.00077097616   0.0036833704   0.0014067933
            420   0.0024878983   0.0013526899   0.0019642607   0.0011136243   0.0032159301   0.0016678982
            425  0.00099904614  0.00070639698  0.00076250557  0.00047965807   0.0013191542    0.001090108
            430   0.0052176535   0.0022308574   0.0042842671   0.0019265575   0.0065117265   0.0026244606
            435   0.0027761399    0.001615529   0.0023712687   0.0014733602   0.0032620731   0.0017691948
            440    0.001583097   0.0010851605   0.0013278283  0.00093049507   0.0019354658   0.0013197381
            445    0.007120725   0.0035485224   0.0061612591   0.0030640759   0.0083802608   0.0041739737
            450    0.004778849    0.001759708    0.004136337    0.001667166   0.0056710843   0.0019104317
            455   0.0013438347  0.00060386979   0.0010502258  0.00047915031   0.0017803943  0.00079882134
            460   0.0013633641  0.00061535995   0.0010281017  0.00046688352   0.0018548362  0.00083322585
            465  0.00024362479  0.00055297406 -0.00070063596   0.0014364655  0.00056590146  0.00043869757
            470   0.0013754532  0.00094441833   0.0011076439  0.00079733869   0.0017985119   0.0011791161
            475   0.0032920509   0.0018626194   0.0028142004   0.0016479543   0.0038669253   0.0021011626
            480              0  0.00035319849 -0.00011503976   0.0005159217  4.5583459e-05  0.00025162737
            485   0.0015685597   0.0012899236   0.0013419205   0.0011152964   0.0018915294   0.0015447284
            490   0.0020660223   0.0011249251   0.0016919555  0.00096230293   0.0026548744   0.0014192261
            495  0.00049952307  0.00035319849  0.00032864228   0.0002324481  0.00078989507   0.0005586979
            500  0.00049952307  0.00035319849  0.00032864228   0.0002324481  0.00078989507   0.0005586979
