# dphi_bbZ-j1-p        central        num_err    min (scale)        num_err    max (scale)        num_err
# tj120
              0      377.82115      7.4403105      301.26754      6.4801214      482.25219      9.0978296
     0.31415927       393.8288      6.2342337        313.204      5.0828648      503.92171      8.0680952
     0.62831853      413.16037      6.2817699      327.06141      5.1397981      532.37001       8.123113
      0.9424778      458.11248      14.703052      365.99121      13.610039      584.05386       15.86857
      1.2566371      484.96061      7.1680288      384.11835      5.9419488      624.24116      9.4850503
      1.5707963      596.74258      9.8501047      473.04653       8.377558      767.50864      12.035416
      1.8849556      782.83249      12.211417      620.84151      10.348809      1006.7156      14.902572
      2.1991149       1081.119       19.87455      856.73847      16.935331      1391.6485      23.797764
      2.5132741      1514.8862      15.816643      1199.6604      13.276032      1948.6817      19.617329
      2.8274334      2180.9827      27.373085      1746.6065      23.041787      2761.2246      33.417355
      3.1415927      2180.9827      27.373085      1746.6065      23.041787      2761.2246      33.417355
