# pt_bjet1_2-CM        central        num_err    min (scale)        num_err    max (scale)        num_err
# S-2bjet
             30      6.8390206    0.039631644      5.9515008    0.036177246      7.9797002    0.043944954
             50      7.1905006    0.041001263      6.2703688    0.037740519      8.3674582    0.044756586
             70      4.8380073    0.034276576      4.2276016    0.031721753      5.6122234     0.03722548
             90      3.1892476    0.030423321      2.7948523    0.028633573      3.6950656    0.033000948
            110      1.7558293    0.014860999      1.5272574     0.01358723      2.0528649    0.016456572
            150     0.79572195   0.0091228454     0.68687117   0.0083416735     0.93810979    0.010141067
            200     0.79572195   0.0091228454     0.68687117   0.0083416735     0.93810979    0.010141067
