#      n_b_jets        central        num_err    min (scale)        num_err    max (scale)        num_err
           -0.5      1326.4417      12.672855      1141.6991      11.192367      1617.3539      15.171937
            0.5      9174.0352      30.825374      7993.5735      28.205555      10723.605       35.10415
            1.5      48467.496      62.430028      41666.043       57.15632      57965.043      70.856105
            2.5              0              0              0              0              0              0
            3.5              0              0              0              0              0              0
            4.5              0              0              0              0              0              0
            5.5              0              0              0              0              0              0
            6.5              0              0              0              0              0              0
