#    pt_bx-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      637.55623      8.3922677      546.91411      7.3487451      768.79934      10.638124
              1      1846.2521      14.971362      1585.4191      13.763115      2228.8587      17.249558
              2      2676.0137      15.986868      2289.1177       14.33211      3254.3324      19.252521
              3      3214.3211      18.248738      2750.5146      16.357348      3907.0927      21.886454
              4      3397.2767      18.875303      2904.5056      16.917653      4134.2383       22.37908
              5      3406.7785      18.303614      2916.6472      16.518556      4122.3996      21.424713
              6      3284.2588      18.150157      2811.2758       16.20893      3972.1439      21.387091
              7      3109.2567      18.724826      2667.2035      16.868217      3746.8809      21.804699
              8       2908.941      17.561441      2498.9933      15.755762      3495.1205      20.680021
              9      2628.3784      17.200965      2257.8784       15.42907      3153.1609       19.88515
             10      2417.3413       17.13035      2078.4875      15.370052      2889.1733      19.741706
             11      2188.9295      16.556451       1885.533      15.016267      2610.0296      18.739326
             12      1988.8982      13.444368      1712.1474      12.192131      2371.8277      15.446369
             13       1829.574       14.31273      1577.2251       12.93989      2174.4188       16.18563
             14      1663.0609      14.218598      1435.0673      12.920711      1970.7739      15.888449
             15      1493.5645      12.473494      1288.6201      11.265859      1770.4088      14.125867
             16      1369.9574      12.558877      1183.6653      11.383095      1618.6269      14.089096
             17      1247.6315      11.195714      1078.8658      10.072919      1473.9531      12.814052
             18      1147.3305      11.224231      993.38103      10.195402      1350.1766      12.571293
             19      1047.2108      9.5036921      904.92662      8.5727725      1235.2636      10.927814
             20      957.70844      9.9237975      829.08603      9.0311162      1126.5407      11.193519
             21      894.67856      10.085704      774.76032      9.1171811      1053.4143      11.309178
             22      820.74556      10.406461        711.444      9.4249256       964.1895      11.729142
             23      749.75869      7.8821353      649.38737      7.1037792      881.79639      9.0251482
             24      680.26557      8.4144779      589.19306      7.6803229      799.74618      9.3280644
             25      643.25259      8.1363274      558.69251      7.4090082      751.74892      9.0777226
             26      598.38838      9.0422254      520.35884      8.3712665      698.27359      9.8090203
             27      546.09099      7.3858084      474.88706      6.7077971      638.23481      8.3089531
             28      510.02623      7.4092941      443.98019      6.7289858      595.14312      8.2759512
             29      479.95242      6.9466311      417.25514      6.4436021      559.28759      7.4698035
             30      430.44049      5.6247508      373.50377      5.0926088      503.88716      6.4219171
             31      414.30871      6.6173939      359.79659      6.0191003      484.29227      7.3876578
             32      373.85255      7.2976826      324.54225      6.6119697       436.7857      8.0380077
             33      367.37411      6.0750774       319.0887      5.4765388      428.72569      6.8018155
             34      333.07522      5.2144954      289.31037      4.6970874      389.28865      5.9302193
             35       320.1789      6.6924357      278.66878      6.2166399      372.35336      7.2167875
             36        295.661      4.8345804       256.8787      4.3502742      344.33162      5.4545211
             37      274.45835      4.7870008      239.69916       4.471591      317.45155      5.1834681
             38      271.72959      8.6619601       237.8184      8.2869975      313.48463      8.8253059
             39      248.89498      4.2297361      216.44641      3.8419759      289.97728      4.7179161
             40      234.55512      5.9583626      203.77518      5.2637125      273.40818       6.819126
             41      212.27054      4.2502937      184.52727      3.8718763       247.1511      4.8447928
             42       197.6273      3.9172921      171.17313      3.5513934      231.82313      4.3786367
             43      197.82115      4.1306697      172.63013      3.7325047      229.33888      4.6244192
             44      182.34348      4.4126583      158.58503      4.0110537      211.86106       4.868543
             45      179.47073       5.306634      157.22259      4.7769359      206.39387      5.9300152
             46      161.86749      3.1755044      140.73098      2.8848052         188.83      3.5759304
             47       154.4286      4.5772924      134.12581      4.1970326      179.53031      4.9280526
             48      147.27371      3.3026469       128.3448      3.0046438      170.46072      3.6600934
             49      136.50239       3.550582      118.87863      3.3022104      158.53614      3.8328181
             50      136.50239       3.550582      118.87863      3.3022104      158.53614      3.8328181
