# total-mbbZ500        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      56954.016       15.75884      49084.682      14.570809      67928.307      17.791019
              1      56954.016       15.75884      49084.682      14.570809      67928.307      17.791019
