#  y_bbZ-ptj200        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5              0              0              0              0              0              0
           -4.9              0              0              0              0              0              0
           -4.8              0              0              0              0              0              0
           -4.7              0              0              0              0              0              0
           -4.6              0              0              0              0              0              0
           -4.5              0              0              0              0              0              0
           -4.4    0.012488077    0.012487452   0.0070108108   0.0070104601    0.023765979     0.02376479
           -4.3    0.024976154    0.017659925    0.014700477    0.010394292    0.044708106    0.031611858
           -4.2    0.062440385    0.027922793    0.039270907    0.017830044     0.10598951    0.048227956
           -4.1    0.024976154    0.024974905    0.015390143    0.014933219    0.044020032    0.044835264
             -4     0.14985692    0.046723769     0.10290843    0.031923396     0.22839586     0.07367633
           -3.9     0.13740541    0.041427233    0.087362798    0.026574406      0.2299469     0.07001272
           -3.8        0.33499    0.069598557     0.22547071    0.045947315     0.52417489     0.11515196
           -3.7     0.66996029    0.095111341     0.42571097    0.061779593      1.1226741     0.15890023
           -3.6      1.3139167     0.29161918     0.92343084     0.23854817      1.9711005     0.36266331
           -3.5      1.8320732     0.17024486       1.273358     0.12151227      2.7886728     0.26033724
           -3.4      3.3410469     0.32216341      2.3637475     0.21898182      4.9404744     0.50522381
           -3.3       4.638307     0.29942642      3.3112553     0.21544938      6.8149492     0.45083254
           -3.2      6.7957128     0.33432505      4.8386298     0.23951103      9.9902035     0.50396964
           -3.1      9.5372624     0.43626243      7.0134082     0.32759762      13.484629     0.62706742
             -3      13.753863     0.93247936        10.0982     0.73187583      19.511024       1.293714
           -2.9      16.861811     0.55729347      12.320324     0.41289967      24.023613      0.8097602
           -2.8      21.913786     0.62446041      16.371698      0.4886302      30.357599     0.87099537
           -2.7      29.876743      0.7159027      22.241217     0.55078654      41.566692      1.0021074
           -2.6      36.864248     0.81946717      27.664357     0.64720677      50.833648      1.1247816
           -2.5      44.827429      1.1110128      33.936505      0.9167845      61.100563      1.4241312
           -2.4      52.844134      1.0038213       39.91683     0.79020251      72.198576      1.3786225
           -2.3      62.979107      1.1063562      47.945697     0.87348364      85.122614      1.4958659
           -2.2       74.68427      1.2599964      57.360106      1.0276117      99.926488      1.6794693
           -2.1      80.643076      1.2830976      61.816737      1.0057831      107.93875      1.7656006
             -2      92.425199      1.9559928      71.009109      1.4543707      123.47122      2.8002943
           -1.9      103.09465      1.7900329      79.757708       1.473784       136.4793      2.3011107
           -1.8       115.6943      2.9393535       89.51494      2.4222238      153.22269       3.642791
           -1.7      124.90851      2.4729658      96.805539      2.0414967      165.07497      3.1516922
           -1.6      133.28169      1.8756187      103.20921      1.5476787      176.19994      2.3973554
           -1.5      144.16824      3.0305038      113.06103      2.5871776      187.56752      3.6477423
           -1.4      148.41623      2.1413878      115.61002       1.770089      194.62199      2.7361843
           -1.3      160.11344      2.5702246      125.72963      2.2027992      207.96602      3.1187165
           -1.2       166.8288      3.5496183      131.36994      2.9977445      215.81368      4.3573881
           -1.1      166.58566      2.2257744      130.43143      1.8235505      216.97042      2.8663512
             -1        176.951      3.7475434      139.16419      3.1042065      229.07893      4.5944433
           -0.9      174.37594      3.0551383      136.63768       2.311466      226.66896      4.2875088
           -0.8      177.12575      2.8634507      139.69341      2.4216563      228.58553      3.5637493
           -0.7      183.93626      2.5612322      144.74745      2.1365264      237.81365      3.2311832
           -0.6      183.05844       2.924706      143.76736      2.2899342      237.15283      3.8934334
           -0.5      190.96613      3.6062101      149.59824      2.9189746      248.36972      4.5848841
           -0.4      185.90508      2.4803333      145.97638      2.0423478      240.96798      3.1452151
           -0.3      189.02035      2.5799019      148.96673      2.1755931      243.92576      3.1939136
           -0.2      192.78376      3.4012693      152.54853      2.9164005      247.51338      4.1052258
           -0.1      190.67764      3.1030996      149.74645      2.6424771      247.27212      3.7502121
              0      190.13492      3.0760498      150.02607      2.6206902      245.03536      3.7446122
            0.1      189.98698      2.5325913      149.16834      2.0901271      246.21815      3.2639952
            0.2      189.23796      3.0845896      149.44704      2.6460106      243.38323      3.7225477
            0.3      187.19765      3.0917685      147.12816      2.5782776      242.37533      3.8210537
            0.4      187.90517      3.4245639      147.45467      2.9407135      243.87168      4.0822939
            0.5      183.29843       2.701929      144.53243      2.2888643      236.24328      3.3298766
            0.6      182.68728      4.1616173      143.45775      3.5539603      236.94955      4.9487633
