# dphi_bbZ-j1-p        central        num_err    min (scale)        num_err    max (scale)        num_err
# tj200
              0      104.91026      4.5132416      82.246271      3.8779528      136.53688      5.4509191
     0.31415927      107.55906      3.0534255      83.965619         2.4087      140.60011      4.1585495
     0.62831853       108.3501      3.0296027      83.479628      2.3836565      144.18487      4.1181887
      0.9424778       122.4542      6.4503351      94.935422      5.2147133      161.74424      8.1471646
      1.2566371      125.07824      3.4999873      97.871475      2.8340436      162.92496       4.981916
      1.5707963      152.12029       4.175262      117.81525      3.4858246      200.91385      5.3535122
      1.8849556      207.56042      7.0938246      160.74175       5.883663      274.68196      8.8140152
      2.1991149      291.39061      8.8962491      225.88607      7.3113211      385.24136      11.337385
      2.5132741       425.5287      7.3104566      328.81855       5.874304      563.67309      9.6310253
      2.8274334      680.26845      15.352301      535.05797      12.828816      879.78574      19.053773
      3.1415927      680.26845      15.352301      535.05797      12.828816      879.78574      19.053773
