# n_light_jets-        central        num_err    min (scale)        num_err    max (scale)        num_err
# CMS
           -0.5      178.62119     0.90604467      157.53314     0.80985282      227.66633      1.2555998
            0.5      2697.9647      3.4516905      2347.7623      3.1110557      3249.3538      4.2405952
            1.5      14312.134      7.5730376      12337.173      6.8464125      16939.264      8.7536297
            2.5              0              0              0              0              0              0
            3.5              0              0              0              0              0              0
            4.5              0              0              0              0              0              0
            5.5              0              0              0              0              0              0
            6.5              0              0              0              0              0              0
