# dy_bbZ-j1-ptj        central        num_err    min (scale)        num_err    max (scale)        num_err
# 20
            0.3      5587.7551      73.731408      4768.1305      66.130804      6569.3989      84.087513
            0.4      5433.0864      66.238341      4635.8652      60.359675      6380.1296      72.306187
            0.5      5450.4975      64.430165      4644.3294      59.400578      6419.0621      71.561731
            0.6      5375.9597      56.148481      4580.0939      51.725599      6328.4933      61.087338
            0.7      5363.6666      56.074779       4569.948      51.055759      6312.1263      62.343508
            0.8      5273.0341      66.098098      4489.5242      60.619302      6213.2594      70.972789
            0.9       5094.029       59.93157      4331.9861      54.244912      6015.3206       67.26011
              1      5110.4098      71.490169      4347.6882      69.481853      6031.3705      70.566892
            1.1      4768.4374      56.358217      4044.1912      50.417852       5652.569      63.437243
            1.2      4822.8326      72.089962      4098.3593      66.517969      5707.0696      80.086292
            1.3      4662.7214      59.761318      3954.9771      54.398972      5525.9093      66.057809
            1.4      4515.4019      67.546034       3824.189      59.627619      5368.1513      76.604843
            1.5      4333.1396      54.749246      3669.7122       49.00693      5150.6093      62.074311
            1.6      4079.0509      48.658289      3437.7475      43.049521      4883.9898       55.84974
            1.7      3889.9241      50.170746      3276.7388      43.796793      4658.3556      58.243808
            1.8      3801.3733      50.260361      3203.8951      44.072217      4548.3744      58.193667
            1.9      3602.0383      51.283931       3040.786      45.751135      4301.8602      58.048761
              2       3435.114      51.741374      2892.3173      45.410413       4113.841      59.723996
            2.1       3273.417        54.1795      2747.2775      46.966839       3937.678      63.543301
            2.2      3089.3514      61.073834      2595.6883      54.145544      3709.7453      69.104055
            2.3      2921.2678      49.555977      2452.8764       43.92796       3511.414      56.313697
            2.4      2737.8162      42.307546      2297.5222      37.414604      3291.2441      48.648684
            2.5      2713.4401      66.130447      2271.1063      56.979989      3276.6751      78.280207
            2.6      2430.3228      35.835806      2026.8807      30.914109      2945.7768      42.447113
            2.7      2277.3016      40.074498      1908.7967      35.071368      2742.2073        47.4724
            2.8      2126.8803      36.370842      1777.5403      32.207483      2572.2935      41.905207
            2.9      1996.7766      34.636191      1667.2842      30.247379      2416.2407       40.52275
              3      1861.0349      31.878694      1546.6346      27.278987      2266.3742      38.060382
            3.1      1697.1028      48.814127      1409.0537      41.007855       2068.336      58.753795
            3.2      1659.4966       43.78446      1378.0949      38.108972      2021.1269        50.6949
            3.3      1445.0193      30.424208      1195.7512       25.92588      1768.9445      36.437249
            3.4      1370.6483      25.421039      1131.5894      21.624957      1684.0031      30.670854
            3.5      1229.8866      23.705003      1009.6958      19.861913      1521.2687      29.116492
            3.6      1145.1302      25.202748      951.56932      21.503991      1393.6398      30.305533
            3.7      1086.8931      37.792652      894.60128      31.862917      1339.7867      45.525728
            3.8      1013.7443       26.77123      834.37383       24.11564       1250.718      30.168338
            3.9      906.02932      24.052983      745.51644      20.801326      1117.1034      28.303733
              4      864.23181       27.70951      712.49361      23.588634      1062.2849      33.030498
            4.1      741.57896      19.885257      608.45104      16.803319      918.37629      24.180899
            4.2      696.67371       21.99391      571.42025      18.975743       863.2583      26.012909
            4.3      601.48687       20.83598      494.13797      17.741602      744.30136      25.201876
            4.4      553.49937      17.318625      452.01622      14.224789      689.53313      21.810234
            4.5      542.87885      34.891753      442.97015      28.489686      678.01874      43.322547
            4.6      499.36418      31.836795      410.97661      27.510385      615.20982      36.495872
            4.7      399.80092      14.742848      328.96711      12.918727      493.81505      17.297467
            4.8      372.83686      14.270167      303.13207      11.952867      468.16178      17.603119
            4.9      351.12864      13.140343      283.67582      10.889068      444.98805      16.372297
              5      304.49674      11.267473      246.98909      9.3352789      383.64433      14.155933
            5.1      252.22483      10.432875       206.3844      8.6473582      314.05141      13.077053
            5.2      261.01147      14.021514       212.8219      11.683645      327.02655      17.532254
            5.3      222.77065      9.7508039      183.22581      8.1908044      275.85884      12.135005
            5.4      237.01701        29.8299      192.58327      24.612584      297.49385      36.599845
            5.5      167.86268      9.7454406      137.94122       8.232272      208.41629      12.086819
            5.6       172.4831      21.881595      140.95495      19.759929      215.76934      23.697188
            5.7      130.60123      14.177224      105.67085      10.855305      165.68009      19.687755
            5.8       124.7723       14.26089       100.4393      11.894562      159.04321      17.269636
            5.9      117.15601      8.7586357      95.960402      7.7658721      145.95956      10.079013
              6      103.06142      7.3311577      85.212194      6.4151508      127.42046      8.8587933
            6.1      83.874392      6.5307505      69.324988      5.5525455      103.44648      8.0946708
            6.2       77.65366       5.550282       62.78571      4.5460117      98.570691      7.0988569
            6.3      66.338756      5.6375788      54.148531      4.7774718      83.536425      6.9426386
            6.4      55.904982      6.0797726      46.991169      5.2951922      67.336063      7.1719635
            6.5      53.493372       5.556875      44.035191      4.5972156      66.301084      6.9638913
            6.6      39.834302       4.061477      32.158471      3.2311061      50.754616      5.3787199
            6.7      45.739079      4.7303594      37.409497       3.961209      57.344296      5.8959479
            6.8      34.765272      3.8367212      28.221805      3.2016042      44.325967      4.8515146
            6.9      28.811207      3.9859379      23.449369      3.2708541      36.497715      5.0603323
              7      25.365945      3.4437359      21.295803      2.9486041      30.898592      4.1970781
            7.1      23.350749      3.2687318      19.340127      2.7561155      29.000816      4.0296989
            7.2      20.856844      2.9613629       17.14962      2.4816173      25.998056      3.6986043
            7.3       19.21624      3.2606337      15.181475      2.6447509      25.080402      4.1553408
            7.4      15.720933      2.7069493      12.946922       2.297084       19.54686      3.2919736
            7.5      11.547006      3.6418801      9.6305082      3.3164178      13.633938      3.6639325
            7.6      7.7007487      2.0646649      6.5969386      1.7533224      9.0895419      2.5375368
            7.7      10.640981      2.7909054      9.2692625      2.6993991      12.343547      2.9111731
            7.8      10.599704      2.4003688        8.91219      2.0572731      12.671156      2.8149414
            7.9      3.9612626      1.1906936      3.0422234     0.93399184      5.4374692      1.6511651
              8      3.9612626      1.1906936      3.0422234     0.93399184      5.4374692      1.6511651
