#y_bbZ-mbbZ1000        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5      1.1279665     0.58219804     0.74728492     0.40861933      2.3701397      1.2307763
           -4.9      1.1961955     0.78770392     0.88726814      0.6092305      1.6903464       1.321213
           -4.8      6.2035084      1.8524898      4.7581397      1.5114666       8.822257       2.464012
           -4.7      14.831035      3.4170637      12.391559      2.8267626      22.418704      6.8192036
           -4.6      71.396215      9.8195006      61.171173      8.4034736      91.726234       12.59559
           -4.5      118.79018      9.5046098      100.48034      8.0942369      158.04756       14.08716
           -4.4      220.85592      13.548622      188.94161      11.711506      282.30366      18.837265
           -4.3      403.69195      21.077147      346.54512       18.45485      497.42194      25.922161
           -4.2      642.99874      21.819394      556.17069      18.948872       789.6915      28.976279
           -4.1      924.98249      28.753478      797.51363      25.239706      1146.0922      37.046114
             -4      1307.6155      32.976382      1130.0034      29.156047      1588.3204      40.493151
           -3.9      1685.8612      43.546766      1461.3323       38.71307      2036.7768       51.73754
           -3.8      2234.2046      59.832648      1934.0908      54.957768       2708.618      67.037955
           -3.7      2729.7028       46.90136       2362.624      41.481432       3293.608      58.013091
           -3.6      3123.3024       49.00039      2708.2987      43.387635      3726.6845      60.932589
           -3.5      3739.1931      57.360139      3239.3229      50.992016      4482.3239      68.970776
           -3.4       4055.938      55.047865      3519.3031       49.09406      4884.2917      67.980492
           -3.3      4646.3222      63.767762      4031.8398       57.21496      5561.1923      76.715133
           -3.2      5125.5023      66.937924      4439.6405      59.353959      6147.8146      82.718605
           -3.1      5437.8599      64.972836      4717.5656      58.402418       6453.655      80.682657
             -3      5992.9979      72.069013      5180.6119        64.3861      7178.4267       86.12456
           -2.9       6250.925      64.607382      5414.2384      57.528161      7427.6659      78.312227
           -2.8      6663.6114      77.851007      5758.7982      70.313557       7964.941      91.038241
           -2.7       7078.577      82.826281      6122.5246      73.892835      8423.1402      99.894521
           -2.6      7262.9208      91.812714      6285.5965       83.09739      8628.7813      104.40614
           -2.5      7573.4439      87.932061       6527.336      78.876638      9038.1905       102.9784
           -2.4      7786.5467      86.028435      6717.6542      77.309151      9269.5349      100.43725
           -2.3       8135.501      100.64208      7004.9736      89.696226      9706.9816       116.6948
           -2.2      8158.5799      87.687272      7034.7072      79.632792      9711.8858      102.18319
