# dR_Z_bjet1-CM        central        num_err    min (scale)        num_err    max (scale)        num_err
# S-1bjet
              0      90.916766      1.9058762      74.664092      1.6425063      112.31265      2.3103888
              1      292.48132      4.7130495      242.49235      4.0880126      357.01841      5.6527235
            1.6      524.14632      8.0226207      439.08183      7.1482644      632.75685      9.2730134
              2      882.60633      11.388669      755.51472      10.293696      1039.3611      12.824868
            2.4       1417.832      21.449019      1233.4775      19.690131      1638.9593      23.730567
            2.6      1922.3494       24.31592      1676.6402      22.655166      2212.6075      26.293077
            2.8      2848.7198      37.477527      2502.6152      33.750503      3261.1097      42.108865
              3      3925.0196      43.008607       3475.601      40.181326      4476.1403      46.083145
            3.2      2121.2225      32.283209      1863.9889      28.672035      2448.3175      37.260578
            3.4      1390.8627      28.647512      1215.0296      26.686427      1612.1382      30.661849
            3.6      838.20019      13.309624      724.78566      11.932264      985.93056      15.103329
              4      448.28197      9.4395672      382.90995      8.3153871      534.93651      11.012313
            4.4      208.45342      4.4600102      176.64833      3.9052451      250.87271      5.2627433
              5      70.796678      2.7468099      59.690442      2.4192012      85.466035      3.2361227
            5.6      70.796678      2.7468099      59.690442      2.4192012      85.466035      3.2361227
