#         pt_bb        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      873.62594      4.5206714      741.33974      3.9782558      1084.3085      5.6510026
              5      1842.1653      6.1381985       1573.261      5.4911411       2250.754       7.324651
             10      1844.7385      6.3043008      1583.8415       5.706551      2222.5618       7.258508
             15      1516.8033      5.6498385      1307.5258      5.1078081      1805.9024      6.4792795
             20      1181.4219       4.800281      1021.2365      4.3521423      1397.4695      5.4561481
             25      904.62231      4.5071417      783.99107       4.119649      1063.3812      5.0134782
             30      692.30876      3.8206165      600.27857      3.4540356       811.6966      4.3078901
             35      534.91948      3.4659933      464.48777      3.1697103      625.18527      3.8231107
             40       420.2001      2.8757259      365.06346      2.6094176      489.86055      3.2078648
             45      325.41638      2.6942426      283.05437      2.4790842      378.35638      2.9544379
             50      265.29395      2.5237749      230.91876      2.3547614      308.23965      2.7172979
             55      208.81572      2.0868325      181.31986       1.909235       243.0691      2.2971805
             60      173.38362      1.9269373      151.01092      1.7824701      200.92936      2.0740372
             65      139.63302       1.518185      121.21522      1.3814463      162.23238      1.7005097
             70      113.98055      1.5651768      98.669039       1.419728      133.13947      1.7205578
             75      97.883203       1.402395      84.649702      1.2512199      114.50581      1.6058504
             80      83.169655      1.4206529      72.225039      1.2613282      96.850675      1.6143222
             85      69.852631     0.98992434       60.56976     0.90636508      81.549219      1.1195438
             90      59.572275      1.1125438      51.616518      1.0233746      69.473962      1.2395699
             95      51.496215     0.92138228      44.427772     0.84720377      60.413651      1.0067501
            100      43.166784     0.67899002      37.042979      0.6078636      50.924511     0.78056504
            105      37.355408     0.70967475      31.988519     0.63809848      44.137188     0.80523602
            110      32.769922     0.68416498      28.073332     0.62007165      38.712557     0.76808982
            115      28.125163     0.53901802       24.02833      0.4801112      33.286983     0.62536329
            120      25.354715     0.64783811      21.690999     0.60395211      29.978957     0.70815798
            125      23.283777     0.73978505      19.904746     0.67274872      27.536792     0.82128994
            130      19.631355     0.46758432      16.762471     0.41943965      23.269367     0.53950065
            135       17.21885     0.50317949      14.783194     0.46527935      20.254376     0.55579123
            140      15.212852     0.48617273      12.974574     0.44267207      17.981787     0.54308358
            145      13.677014     0.69268437      11.646229     0.61329822      16.225207     0.78612387
            150      13.088249     0.49071262      11.099941      0.4455013      15.610187     0.54879815
            155       10.47807     0.32355529      8.8525108     0.28722869      12.549928     0.37752031
            160      9.2527754     0.29527503      7.8158578     0.26240806      11.065296     0.34486551
            165      9.2544526     0.39425896      7.8678347     0.35815123      10.978336     0.44369554
            170      8.0557926     0.31044743      6.8108742     0.27840198      9.6118679     0.35431247
            175      6.4858148     0.24991953       5.443229     0.22076914      7.8172001      0.2920091
            180      6.4859158     0.25502272      5.4777933     0.22496429      7.7490112     0.29819512
            185      5.9669299     0.25048628      5.0369512     0.22110145      7.1348911     0.29486711
            190      5.1707813     0.22835496      4.3254731     0.19893679      6.2721424     0.27161871
            195      4.6599898     0.25243351      3.9433755     0.22200468      5.5409079     0.29811699
            200      4.2302425     0.18683775      3.5173624     0.16313662      5.1554839     0.22224092
            205      4.2406038     0.22867333      3.5683628     0.20506173      5.0960039     0.26007547
            210      3.3166595     0.17477543      2.8279932     0.14710382      3.9262066     0.26104549
            215      3.2934317     0.19339631      2.7545057     0.17250859      3.9867373      0.2223454
            220      3.2123902       0.253932      2.6993648     0.24022857      3.8632806     0.26487014
            225      2.7353785     0.18677168      2.3073053     0.17297619       3.272478     0.20510052
            230      2.6357199     0.16158785      2.1774813     0.13857253      3.2337292     0.19425968
            235      2.5000749     0.15229287      2.0792842     0.12971512      3.0377668     0.18644949
            240      2.8537812     0.51986827      2.4717052     0.49180173      3.2903692      0.5347791
            245      1.9876018     0.13536406      1.6329983     0.11603234      2.4557693      0.1641875
            250      1.7687145     0.12174969      1.4562247     0.10557133      2.1761578     0.14606155
            255      1.8211147     0.21532057       1.541275      0.1971505      2.1607257     0.23411002
            260      1.4650695     0.10702363      1.2185401    0.090410678      1.7800172      0.1347917
            265      1.4434386     0.10844847      1.1983868    0.093435259       1.752813     0.13113031
            270       1.348738     0.10398989      1.1069428    0.088599848      1.6665267     0.12823477
            275       1.155415    0.093437807     0.96836414     0.08067555      1.3802189     0.11457416
            280      1.1885436    0.099077932     0.98988084    0.086595761      1.4414175     0.11759237
            285      1.0672418    0.099936385     0.88694022    0.087458528      1.2962453     0.12196862
