#    pt_bb-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      195.19476      1.2037125      164.71548      1.0380354      246.31168      1.5868975
              1      572.38499      2.0047352       484.7848      1.7533878      715.05499      2.5724685
              2      915.50141      2.4250595      776.61933       2.138064      1139.2892      3.0443283
              3      1215.0968       2.823182      1032.4023      2.4936879      1506.2378      3.4893243
              4       1466.603      3.0922516      1248.2445      2.7546501      1810.4214      3.7745857
              5      1653.8363      3.2810205      1409.7745      2.9323736      2033.4015      3.9408281
              6      1789.7325      3.3320248      1526.7949      2.9765595       2194.317      4.0022361
              7      1882.5983      3.4826961      1608.4087      3.1167154      2299.3278      4.1472424
              8      1931.2537      3.4941996      1651.2763      3.1322526      2352.7853      4.1337504
              9      1948.7471      3.5754127      1668.2056      3.2159708      2367.3382      4.2022112
             10      1939.9697      3.5343431      1662.4652      3.1893241      2349.2408      4.1331916
             11      1913.1311      3.5678997      1641.6016      3.2200504      2309.4043      4.1478025
             12       1860.451      3.4781687      1597.3239      3.1458034      2241.3265      4.0220492
             13      1799.5913      3.3279296      1546.5698      3.0015061      2163.7045      3.8686077
             14      1740.2365      3.3843128       1496.881      3.0538926      2086.4011      3.9008562
             15      1666.1967      3.2402579      1434.0388      2.9257006       1994.243       3.732261
             16      1596.2532      3.1856809      1375.6493      2.8959573      1904.7002      3.6303069
             17      1519.4988      3.0656909      1310.1549      2.7873076      1810.1409      3.4806851
             18      1439.2224       2.934232      1241.0495      2.6627731      1713.4492      3.3492987
             19      1375.2887      2.9442988      1187.0846      2.6767494      1633.8108      3.3321789
             20       1306.219      2.8772498      1128.5161      2.6132141      1547.7803      3.2525644
             21       1240.496      2.7617544      1072.0332      2.5215659      1469.0613      3.1100968
             22      1180.0533      2.7205315      1020.2447      2.4786978       1395.775      3.0516131
             23      1114.4819      2.6823018      963.83285       2.446897       1317.348      3.0058582
             24      1061.9062      2.6898018      919.61928      2.4547488      1251.1761      3.0048667
             25      1002.8134      2.5648376      868.39319      2.3529476      1181.8404      2.8435347
             26      946.47694      2.3427081      819.40279       2.129152      1115.2821      2.6404841
             27      896.56785      2.3483581      776.71513      2.1424986      1054.4632      2.6227263
             28      848.63643      2.2078692      735.61165      2.0270119      997.38195      2.4532094
             29      804.17776      2.1676129      696.92341      1.9704331      944.73269      2.4334545
             30      762.87608      2.1659397      661.36555      1.9824206      895.80222      2.4038858
             31       726.0181      2.0898257      629.96604      1.9099563      851.16987      2.3324095
             32      687.80001      2.0549552      596.38795      1.8722031      806.58977      2.2907332
             33      657.61235      2.0616066       571.0931      1.8876832      769.60151      2.2822704
             34      616.99958      1.8720055      535.55883      1.7068957      722.01212      2.0932061
             35      586.04762      1.7569315      508.76568      1.6046995      685.33501      1.9559903
             36      558.95302      1.7884062      485.66586      1.6411324      652.91549      1.9849001
             37      533.63565      1.7850096      463.85738      1.6366418      622.87096      1.9753314
             38      507.45177      1.8394875      440.98708      1.6884505      592.31703      2.0206887
             39      484.61151      1.7588433      421.40639      1.6149614      564.80674      1.9314511
             40      460.35174      1.6580357      399.94849       1.515882      537.33526      1.8352214
             41      436.77457      1.6042457      379.56306      1.4714754      509.64112      1.7759983
             42      414.49525      1.5515526      360.34315      1.4244826      483.13919      1.7146647
             43      396.58396       1.513696      344.83763      1.3923592      461.93741      1.6666131
             44      376.16352      1.4540505      327.00493      1.3415378      438.33468      1.6001354
             45      358.93734      1.4820245      311.84825      1.3548678      418.42716      1.6296968
             46      343.70864      1.3894985      298.73056      1.2744189      400.44824      1.5291234
             47      326.56046      1.3416465      283.75089       1.220692      380.49499      1.4927137
             48      313.01463      1.4090685       272.3771      1.3094822      363.95627      1.5515096
             49      298.19185      1.2925377      259.08192      1.1826493      347.36634      1.4280705
             50      298.19185      1.2925377      259.08192      1.1826493      347.36634      1.4280705
