#     pt_b-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
              0        633.784      8.1159843      544.24329      7.1551638      765.29352      10.416272
              1      1836.4206       15.04795      1575.8088      13.496172      2222.6961      17.899578
              2      2677.0074      15.995573      2291.4023      14.215269       3255.227      19.705902
              3      3186.2767      17.777436      2725.7278      15.968494      3872.7776      21.221902
              4       3415.742      18.645165      2920.9789      16.821988      4149.2552      21.886919
              5      3405.5036      18.766538      2911.6847      16.887573      4133.5558      21.915687
              6        3275.83      17.582125      2803.8928      15.747284      3960.6947      20.865726
              7      3058.1122      17.137101      2621.4616      15.323265       3682.592      20.089815
              8      2895.0214      18.184629      2485.4231      16.356557      3478.8577      21.139192
              9      2649.1912      18.446376       2276.374      16.663057      3177.3927      21.015014
             10      2408.1767      15.766703      2069.2799      14.124624      2883.0222      18.369903
             11      2168.8751      13.147048      1864.3111      11.778766      2592.4891      15.386815
             12      1990.3257      15.130828      1714.9703      13.783395       2369.688      17.059132
             13      1810.0511      13.952199      1560.2864      12.431568      2154.0596      16.202048
             14      1689.5214      15.300184      1458.4788      14.085393      1999.5134      16.719501
             15      1509.7942      12.899451      1302.6564      11.566529      1788.8368      14.711993
             16      1351.3405      11.301185      1167.8543      10.250115      1598.1777      12.808568
             17      1268.0774      13.400157      1097.2791      12.137635      1495.6598      14.990083
             18      1158.0098      11.983434      1001.7085       10.69106      1365.1588      13.758725
             19      1047.3181      10.018891      906.14585      9.0879422      1235.0581      11.338958
             20      966.52442      11.016003      837.41135      10.098014       1136.788      12.245368
             21       895.2752      10.413827      776.39994      9.4705299      1049.7835      11.638918
             22      819.50818      9.7798428      709.50706      8.8684829      965.01356      10.974775
             23      739.95747      8.3887965      643.45938      7.6887633      865.10283      9.3134503
             24      688.77927      8.5589209      598.03549       7.924312      807.11091      9.3654914
             25      655.76228      8.7775206      570.76635      7.9746909      764.92594      9.8612371
             26      596.72242      9.8029067      517.68403      8.9527583      699.22441      10.797117
             27      559.29629      7.7136761      486.20601      7.0357209      653.19623      8.5468965
             28      516.26698       8.666294      449.27348      7.9380326      602.44402      9.5038597
             29      471.07514      6.0342076      409.42535      5.4589851      551.43734      6.9994451
             30      447.17739      6.6270085      388.93077      6.1025453      522.07277      7.2831367
             31      411.14401      6.6109809      356.74928      6.1204768      480.98592      7.1985771
             32      391.32146      6.6735671      340.78553      6.0967899      455.59109      7.3521284
             33      367.45628      6.7564777      319.02032      6.0677328      429.33677      7.6449045
             34       336.5562      5.6975379      293.09573      5.1962647      391.24159      6.3530244
             35      308.55885      4.9779417      267.85182      4.5567101      360.37337      5.5761991
             36       294.1367      5.2263711       256.4946      4.7789927      341.65562       5.785142
             37       287.1125      5.3349144      250.25451      4.8772526      334.23771      5.9910944
             38      256.25795      4.5462536      223.57128      4.1755867      297.48114      5.0951881
             39       251.9217      5.3357308      219.03088      4.8292671      293.62709      5.9751149
             40      230.26323      4.6185926      200.54771      4.2268614      267.63936      5.1750654
             41      222.47298      7.3721606      193.21202      6.5202631      259.69489      8.3215014
             42       203.5167      3.9603016      176.85962      3.5943728      237.19347      4.4182299
             43      199.05568      5.7038197      173.91923      5.4175464      230.05201      5.8485427
             44      184.90098      4.9982148      160.64342      4.6314881      215.14132      5.3412894
             45      170.84528      4.1829788      148.61404      3.8085842      198.57141      4.5950501
             46      159.72079      3.1018169      138.68954      2.8009336      186.80358      3.5295737
             47       159.9243      4.3636257      139.56519      4.0269214      185.07071      4.7628978
             48      149.96284      4.2424926      130.67872      4.0063917      174.21411      4.3937425
             49      141.55029      3.4552493      122.93096      3.1059048      164.97697      3.8873659
             50      141.55029      3.4552493      122.93096      3.1059048      164.97697      3.8873659
