# total-CMS-2bj        central        num_err    min (scale)        num_err    max (scale)        num_err
# et
              0      593.60404      1.7313368      517.87601      1.5912965      690.30103      1.9058608
              1      593.60404      1.7313368      517.87601      1.5912965      690.30103      1.9058608
