#           y_Z        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5      7.7699218      2.3887859      6.6898156      2.0437103      9.4484191      2.9903749
           -4.9      23.094468      5.7088206      19.113676      4.9270642       28.49224      6.5154806
           -4.8      57.772841       7.304291      48.733871      6.0590328      71.140083      9.1918423
           -4.7      129.68566      9.8845894      108.28556        8.36385      168.97846      14.059514
           -4.6      236.51026      16.041337       200.3902      13.567452      295.61088      20.498791
           -4.5      408.16344      17.352427      346.00961      14.752664      515.76229       23.26268
           -4.4      670.92451      27.290715      571.84494      24.172955       838.9868      33.577555
           -4.3      991.14527      26.166594       849.5666      22.864336      1203.7584       32.69661
           -4.2      1414.9816       33.54107      1210.7347       29.62153      1725.2346      41.044221
           -4.1      1864.6565      35.434601      1597.3584      30.846077      2261.7175      44.717531
             -4      2382.8563       48.47042      2039.8682      42.504166      2905.9059      58.472095
           -3.9      2941.7524      50.237948      2519.9611      44.499557      3590.6601      60.840881
           -3.8      3446.9718      52.925641      2953.9985      46.535008      4190.0893      65.490217
           -3.7      3975.7624      61.805684      3404.9077      53.846612      4827.4496      75.750296
           -3.6      4463.9266      79.493336      3828.1943      71.774366       5388.236       89.15832
           -3.5      4862.8885      65.159305      4167.7635      57.844441      5875.4394      79.112963
           -3.4      5411.9383      62.747884      4652.5817      56.269974      6515.8447      74.093978
           -3.3      5764.3249      68.110373      4942.9742      59.963586      6970.2988      84.335772
           -3.2      6255.8334       69.56596      5377.3394      61.869426      7523.9514      84.485762
           -3.1      6362.4629      72.616946      5479.9614      64.900288      7591.0856      89.722035
             -3      6840.2265       81.50845      5878.9606      72.784101      8211.5592      95.308092
           -2.9      7153.3992      86.350074      6144.0258      77.506262      8575.7381      100.15885
           -2.8      7220.1041      79.481199      6220.8253      72.150909      8616.9644      91.058787
           -2.7      7656.9275      82.669835      6603.3182      75.083962      9135.6739      96.243187
           -2.6      7659.3148      93.574077      6580.0858      83.081812      9181.2894      109.03965
           -2.5      7768.2016      77.108212      6689.9559      68.868313      9266.1581      91.417276
           -2.4        7803.42      89.806726      6714.7125      80.955299      9318.0439      105.82186
           -2.3      8067.7102      110.16483      6940.9036       97.53094      9638.2815      130.38293
           -2.2      8091.4264      87.044167       6956.533      76.920408      9677.8453      103.96783
           -2.1       8156.589      84.724635      7030.5949      76.303527       9713.882      98.087136
             -2      8190.3897      87.507344      7065.4875      79.008937      9731.3652      101.88831
           -1.9      8196.2515      93.694828      7050.1517      85.309935        9789.16      107.32348
           -1.8      8337.7777       91.14927      7187.2857      82.539583      9914.0014      103.39968
           -1.7      8227.1932      90.377706      7104.2264      81.918453      9744.3098      102.39024
           -1.6      8083.4524      82.938573      6964.1397      76.199492      9610.6345      92.747302
           -1.5      8500.8912       110.1217      7338.4015      102.08282      10073.224      120.75641
           -1.4      8342.6021      95.621835       7198.217      86.733782      9901.2575      109.60069
