# pt_bbZ-mbbZ10        central        num_err    min (scale)        num_err    max (scale)        num_err
# 00
            415     0.41971801    0.044749114     0.32662816    0.034055745     0.54522883    0.064336881
            420     0.26778224    0.038964811     0.21242559    0.030026265     0.34012279    0.052951163
            425     0.15628202    0.031128072     0.13345835    0.023113928     0.17690257    0.047298842
            430     0.21515979    0.034348643     0.16085587    0.024999106     0.29494615     0.04951775
            435     0.24474694    0.067489775        0.20412     0.06266238     0.29283899    0.071222446
            440     0.24694671    0.071746396     0.19665184    0.060529951     0.31314984    0.085456017
            445     0.21944504    0.033417387     0.16788603    0.025801431     0.29238458    0.044927847
            450     0.17672615    0.029302621     0.13682994    0.022205556     0.23141888    0.040868104
            455     0.22907073    0.033470938     0.17913363    0.026287482     0.29583994    0.044775179
            460     0.13632257    0.026009304      0.1068248    0.019251459     0.17500022    0.038589399
            465     0.22539643    0.034125499     0.17257631    0.025811251     0.29976156      0.0470738
            470     0.19784939    0.034471086     0.15962838    0.027940809     0.24708742    0.045274063
            475     0.17119911     0.04015153     0.13691341    0.032372369     0.21588011    0.052882874
            480     0.20963565    0.031915289     0.16343654    0.024411402     0.27087799    0.043887787
            485     0.13000637    0.033830767     0.11770939    0.033622133      0.1355581    0.033837843
            490     0.14823397     0.02668414     0.11527453    0.020587646     0.19367721    0.036355472
            495     0.11703174    0.030095333    0.085703799    0.020985625     0.16527497    0.045391688
            500     0.11195352    0.028030075    0.092962682    0.021948413     0.13435285    0.038294961
            505    0.087909835    0.021526865    0.068043464    0.016141437     0.11529207    0.030300095
            510     0.11463822    0.026237815    0.096070726    0.020941114     0.13291391    0.035110712
            515     0.07028626    0.017570713    0.050729609     0.01277657     0.10065888    0.025414723
            520    0.097144249    0.021622564    0.075763241    0.016552422     0.12509117    0.029197221
            525    0.084223914     0.01933458    0.063088938    0.014741173     0.11441344    0.027294491
            530    0.098521568    0.021959822    0.073835642    0.016069807     0.13525966     0.03174685
            535    0.065824025    0.018092283    0.051317654    0.013623107    0.085399553    0.025276837
            540    0.085664473    0.022439406    0.066235642     0.01613551     0.11198972     0.03324423
            545    0.066714527      0.0183286    0.051125028    0.013746323     0.08906324    0.026153332
            550    0.088602796    0.024503008    0.067039888    0.017496706     0.11891754    0.035899718
            555    0.028358883    0.020279898    0.021371844    0.029630122    0.029071174    0.015637171
            560    0.079526371    0.024088325    0.060371061    0.017607445     0.10636346    0.034424001
            565    0.023067151    0.015994938    0.016313072    0.010847727    0.033705698    0.024589571
            570    0.070531399    0.017634566    0.052462905    0.013219781     0.09661743    0.024472383
            575    0.061460449    0.016425183    0.043218659    0.011586394    0.090398883    0.024261657
            580    0.063770504    0.020707025    0.049010279    0.015094087    0.084517879    0.030285635
            585    0.057928382    0.016077337    0.043227151    0.012036398    0.079467933    0.022286802
            590              0   0.0062056382  -0.0042102794    0.009607883    0.001722011   0.0044720467
            595    0.035109722     0.01387736    0.030097319     0.01071109    0.039637208    0.017965321
            600    0.038589945    0.014026691    0.030418324    0.011258823    0.049254189    0.017988866
            605    0.021941342    0.011609686    0.016513408   0.0081173326    0.029807374    0.017532147
            610    0.026966034    0.015396669    0.024203017    0.011778809    0.027815754    0.019929227
            615   0.0043882683   0.0098119756  0.00053474799    0.018049729   0.0056696314   0.0059137103
            620    0.035851398    0.016633116     0.03081173    0.025297488    0.036842681    0.015695549
            625    0.035106147    0.013876229    0.028789273    0.010929296    0.041652514    0.018067372
            630    0.048132181    0.015744393    0.035512849     0.01155614    0.066715307    0.022894698
            635     0.03546961    0.013994697    0.031754961    0.010456066    0.036942793     0.02069253
            640    0.018033632   0.0090259638    0.012958547   0.0064984124    0.025978436    0.013136474
            645    0.030717878    0.014553512    0.024944693    0.010588664    0.037298771    0.021155617
            650    0.013737654   0.0079448204    0.010038547   0.0057968628    0.019353854    0.011238264
            655    0.017553073   0.0087760978    0.014339442   0.0071823692    0.020948268    0.010528742
            660     0.02632961    0.010748481    0.021456871   0.0089959339    0.031566146    0.013162645
            665   0.0088006707    0.010758355   0.0022770951    0.022751244     0.01075676   0.0067270546
            670    0.035106147    0.012411276    0.027244134    0.010177605    0.046273967    0.018164902
            675    0.033565252     0.01279052     0.02760648    0.010663517    0.039695344    0.016812321
            680    0.039494415    0.013164147    0.029848268    0.010058149    0.052653854    0.017954409
            685    0.017553073   0.0087760978    0.012874302   0.0064561983    0.024478212    0.012302564
            690    0.021941342   0.0098117793    0.015177542   0.0067932717    0.032868156    0.014715145
            695    0.022602123    0.010124735    0.016948603   0.0076614055    0.030975978    0.013973656
            700    0.035107822     0.01387662    0.031555307    0.012049983    0.036264134    0.014698336
            705     0.02214961   0.0099068625    0.016754972   0.0075430184    0.029766928    0.013507339
            710   0.0087919553   0.0087838169   0.0069164246   0.0061535064     0.01110838    0.013198082
            715    0.013164805   0.0076003236   0.0086740782   0.0050084646    0.020796872    0.012009471
            720    0.018817878   0.0094720089    0.012904246   0.0065058278    0.028587934    0.014500863
            725    0.017553073   0.0087760978    0.013615866   0.0068541539    0.022726034     0.01151421
            730    0.017553073   0.0087760978    0.011878547   0.0059733994    0.027060112    0.013623534
            735   0.0087765366   0.0062056382   0.0058193297   0.0041194609    0.013782458   0.0097603858
            740   0.0087765366   0.0062056382   0.0061962011   0.0043859544     0.01278581   0.0090543583
            745              0   0.0062056382  -0.0099881563    0.012093645   0.0039911285   0.0051215896
            750   0.0043882683   0.0076003236   0.0037569832    0.014609053   0.0044689387   0.0090427654
            755   0.0043882683   0.0043880489   0.0038883797   0.0038881853   0.0047406705   0.0047404335
            760              0              0              0              0              0              0
            765   0.0043882683   0.0043880489   0.0029675977   0.0029674493    0.006757095   0.0067567575
            770    0.017553073   0.0087760978    0.013485252   0.0068308376     0.02316838    0.011857412
            775    0.017669386   0.0088348255    0.014114637   0.0070663803    0.021988045    0.011035135
            780   0.0087765366   0.0087760978   0.0073878211   0.0065561436   0.0099947487    0.012306814
            785              0              0              0              0              0              0
            790   0.0087765366   0.0062056382   0.0065251397   0.0046241854        0.01206   0.0085593584
            795   0.0043882683   0.0043880489   0.0028253632    0.002825222   0.0071136313   0.0071132754
            800    0.013164805   0.0076003236    0.010044581   0.0058236679    0.017364581    0.010110023
            805  -0.0043882683   0.0076003236   -0.012531061    0.013453195  -0.0006993295    0.004828678
            810   0.0043882683   0.0043880489   0.0027988826   0.0027987426   0.0071663687   0.0071660106
            815   0.0087765366   0.0062056382   0.0066960894   0.0048006465    0.011624134   0.0084566615
            820   0.0043882683   0.0043880489   0.0028818994   0.0028817553   0.0069607821   0.0069604341
            825   0.0087765366   0.0062056382   0.0067163128   0.0047533428    0.011499218   0.0081483513
            830    0.017557542    0.008778333    0.013953632   0.0071664627    0.021928156    0.011654944
            835   0.0043882683   0.0043880489   0.0032293855    0.003229224   0.0060939665    0.006093662
            840    0.023175196    0.012568327    0.017390056   0.0092244815    0.031693966    0.018697319
            845   0.0043882683   0.0076003236   0.0031956427   0.0050020709    0.006216648    0.011991149
            850              0              0              0              0              0              0
            855   0.0043882683   0.0043880489   0.0036576536   0.0036574707   0.0051309498   0.0051306932
            860              0              0              0              0              0              0
            865    0.013164805   0.0076003236   0.0097179891   0.0057075566     0.01814905    0.010802957
            870              0              0              0              0              0              0
            875              0   0.0062056382  -0.0041703911    0.011404308   0.0015852514   0.0038208641
            880    0.013164805   0.0076003236   0.0097051394   0.0056208287    0.018231062    0.010579708
            885   0.0043882683   0.0043880489   0.0025943017    0.002594172   0.0078751955   0.0078748017
            890   0.0043882683   0.0043880489   0.0030269273    0.003026776   0.0065678212   0.0065674927
            895              0   0.0062056382 -0.00061072626     0.00987858  0.00026402246   0.0040474131
            900   0.0043882683   0.0043880489   0.0029744135   0.0029742647   0.0067187709   0.0067184352
            905   0.0087765366   0.0062056382   0.0067045811    0.004756384    0.011560447   0.0082241876
            910              0              0              0              0              0              0
            915  -0.0043882683   0.0043880489  -0.0078574296   0.0078570369  -0.0025393296   0.0025392026
            920  -0.0043882683   0.0043880489  -0.0076026816   0.0076023011  -0.0026079329   0.0026078025
            925              0              0              0              0              0              0
            930              0              0              0              0              0              0
            935              0              0              0              0              0              0
            940              0              0              0              0              0              0
            945   0.0043882683   0.0043880489   0.0033374303   0.0033372634   0.0046311734   0.0046309418
            950   0.0043882683   0.0043880489   0.0034309498   0.0034307783   0.0056030168   0.0056027363
            955   0.0043882683   0.0043880489   0.0027709496   0.0027708111   0.0072660335   0.0072656698
            960   0.0043882683   0.0043880489    0.003772514   0.0037723253   0.0047113966   0.0047111611
            965              0   0.0062056382 -0.00044167542    0.010713564  0.00017296073   0.0037460783
            970              0              0              0              0              0              0
            975              0              0              0              0              0              0
            980              0              0              0              0              0              0
            985   0.0043882683   0.0043880489   0.0030743016   0.0030741479   0.0064813408   0.0064810168
            990              0              0              0              0              0              0
            995              0              0              0              0              0              0
           1000              0              0              0              0              0              0
