#    y_j1-ptj60        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5    0.013447377    0.013446704    0.010313831    0.010313316    0.018139269    0.018138362
           -4.9    0.012488077    0.012487452   0.0077427663    0.007742379    0.021135135    0.021134079
           -4.8    0.064507156    0.028860542    0.050139586    0.022482393    0.085540222    0.039056432
           -4.7     0.30401145    0.081388843     0.24548776    0.067428776     0.38260891     0.10083616
           -4.6     0.71086327     0.16418863     0.58700471     0.13457924     0.86419205     0.20621429
           -4.5      10.476115     0.50783425      8.5533764     0.42712109      12.997109     0.63725229
           -4.4      17.342538     0.62752715      13.900124     0.51311985      22.007658     0.80703894
           -4.3      27.732209     0.94370306      22.687004     0.80553187      34.231103      1.1500886
           -4.2      40.212913      1.0241831      32.576952     0.85471485      50.293491      1.2916989
           -4.1      59.081872      1.5392069      47.977373      1.2790963      73.690471      1.9112071
             -4      80.556184      1.7460615      65.821986      1.4897958       99.65773      2.1030915
           -3.9      104.24227      1.9742212      84.675691      1.6360345      129.93644      2.4530291
           -3.8      133.41912      2.9140212      108.74493      2.5158103      165.48561      3.4130327
           -3.7      171.45631      2.2159085      139.24897      1.8757137      214.03955       2.716167
           -3.6      217.26169      2.7694764      176.07015       2.328324      272.05905      3.3771211
           -3.5       265.3513      2.7235758      216.09756      2.3189559      330.08912      3.3124084
           -3.4      316.57167      3.0098022      257.77162      2.5507328      393.83767      3.6964318
           -3.3      381.11263      3.4097958      311.49503      2.9436963      471.80216      4.1005163
           -3.2      443.15126      3.8139838      361.09786      3.2351389      550.98662       4.670711
           -3.1      515.73706      4.0964282      420.74756      3.5036282      640.54035      4.9483711
             -3      582.06492      4.3740998      474.94409      3.7703057      722.73928      5.2223704
           -2.9      658.96529      4.6684054      537.98113      4.0267697      817.77482      5.5908952
           -2.8      739.75817      5.5127154      604.84288      4.6968496      916.33555      6.6295938
           -2.7      817.01392      5.3545744      667.43451      4.5639799      1013.3813       6.471682
           -2.6      882.61036      5.0238534      721.91462      4.3124837      1093.0739      6.0981741
           -2.5        962.619      5.8621568      785.89177      4.9458034      1195.2345      7.1894771
           -2.4      1044.4503      7.0585055      853.87248      6.1082233      1294.6282      8.3311679
           -2.3      1118.6396      6.0978379      913.75211      5.1731108        1388.24       7.456581
           -2.2      1186.3441      6.9206852      970.17881      5.9184182      1470.3469      8.3116684
           -2.1       1262.098      7.2231265      1030.6682      6.1538849      1566.7952      8.6605771
             -2      1329.9688      7.9717459      1088.3059      6.9040723      1647.1569      9.4112973
           -1.9      1388.0453      7.7384809      1134.0965      6.7052756      1722.0547      9.0831972
           -1.8      1456.5304       7.916327      1191.0648      6.7364342      1805.2728      9.6131948
           -1.7      1506.9719      7.6522286      1231.9058      6.5641948      1868.5314      9.1874373
           -1.6      1587.8619      8.8789549      1300.4227       7.607792       1964.164      10.598756
           -1.5      1624.4927      8.0842546      1327.6532      6.9499742      2014.6762      9.6107059
           -1.4      1661.9284      8.3078849       1358.072       7.147989      2061.5794      9.8773884
           -1.3      1704.8125      8.0845528      1391.4376      6.9147716      2118.2568      9.7059723
           -1.2      1747.8342      8.6780394      1426.8545      7.4213232      2171.0122      10.371061
           -1.1       1805.126      9.2985339      1474.9038      8.0278477      2239.6833      10.967283
             -1      1815.8772      8.7513688       1482.092      7.5039809      2256.1401       10.42551
           -0.9      1859.9235      9.4493964      1519.0676      8.1573639      2308.8878      11.136578
           -0.8      1869.6244      8.1114761      1527.9682      6.9718167      2318.5044      9.7255385
           -0.7      1900.2124      9.2232253      1550.8197      7.9030269       2360.944      11.058401
           -0.6      1915.2355       8.696934      1563.5066      7.5450066      2378.7839      10.420748
           -0.5      1943.9933      9.7086301      1587.4973      8.3845954      2413.4717      11.478335
           -0.4      1953.8449      8.9653331      1596.3409      7.8875219      2424.3748      10.458176
           -0.3      1961.7295      8.9929291      1601.4836      7.7640943      2437.1398      10.706437
           -0.2      1972.3388      9.3250465      1610.2086      8.0513804      2449.6729      11.049302
           -0.1      1980.4421      9.4153227      1616.6775      8.1437563      2459.8318      11.109939
              0      1966.2839      8.7544552      1603.2613      7.5422784      2445.3435      10.402617
            0.1      1962.5256      8.3910086      1601.7151      7.2557461      2437.7921      10.143015
            0.2      1965.8995      9.2422488      1603.9901      8.0076431      2444.8168      10.992662
            0.3      1961.4136      9.1868612      1600.6921      7.8991456      2436.6354      10.935898
            0.4      1942.8659      9.7953797      1587.9021      8.4139584       2409.148      11.608301
            0.5      1922.8388      9.2559999      1570.4342      8.0409678      2386.7273      10.876462
            0.6      1898.0156      9.4535384      1550.5451      8.1811271      2355.0424      11.151547
            0.7      1866.6017      8.6122193      1522.7796      7.4134831       2320.131      10.215197
            0.8      1869.7218      9.8882671      1527.0855      8.4786888      2320.5668      11.730654
            0.9      1836.5933      9.9097745      1501.0035      8.6093722      2277.8878      11.661557
              1      1777.5316      8.1970112      1450.3921      7.1044595      2209.0968      9.6927189
            1.1      1752.7794      8.1456537      1432.5108      7.0225097      2174.2728      9.7080549
            1.2      1710.7231      8.1172857      1399.7218      7.2063048      2118.9159      9.6524381
            1.3      1660.2961      8.3243386      1356.4897      7.2876379      2060.5127      10.140619
            1.4      1603.5506      7.6700873      1309.3373      6.5689523      1991.1427       9.171739
            1.5      1574.9052      8.6379015      1288.0958      7.4695817      1951.9437      10.257905
            1.6      1512.0529      7.9880528      1235.9857      6.8352708      1874.9663       9.560432
            1.7      1447.6755      7.9192928      1182.6524      6.8474083      1796.8593      9.3665824
            1.8      1397.7254      7.4944639       1143.275      6.4578439      1731.9477      8.9401297
            1.9      1335.6464      8.2006669      1092.4894      7.1296779      1655.2023      9.7321051
              2      1259.5378      7.0551184      1028.2924       6.040246      1564.5171      8.4219842
            2.1      1181.0087      6.2257501      967.26042      5.3679887      1460.8662      7.5270316
            2.2      1104.4877       6.063759      903.59076      5.2497861      1368.0647      7.2616215
            2.3      1033.1252      6.2569825      846.07755      5.4062907      1277.2671      7.5738396
            2.4      964.26021      5.1971445      787.68038      4.4271057      1196.2268      6.3070945
            2.5      881.74152      5.1176074      720.01359      4.4265007      1094.3493      6.1111222
            2.6       813.1222       5.210597      665.45433      4.5475306        1006.04      6.5351203
            2.7      740.16654      5.3755342      604.16678      4.5789137      919.07439       6.445523
            2.8      660.15834      4.8849253      540.01759      4.2959057      817.12018      5.7341222
            2.9      583.16546      4.3288452      475.58577      3.7144462      724.61539      5.2252788
              3      516.45342      3.9807778      421.77405      3.4281694      640.40701       4.777436
            3.1      445.80838       4.447966      363.27501      3.7373594      554.43802      5.4151465
            3.2      383.64802      3.5400602      312.78372      3.0159167      476.65961      4.3089486
            3.3      330.75837      3.3944743      269.78259      2.9223254      410.55019      4.0555955
            3.4      265.07615      2.8324856      216.46375      2.4267835      328.30255      3.4963891
            3.5      215.36947      2.5674806      175.43313      2.1899625      267.52309      3.1168815
            3.6      175.78727      2.3649508      142.70221      1.9657617      219.44566      2.9403779
            3.7      138.76806      2.1365212      112.69958      1.8030373      173.08865      2.6039108
            3.8      106.04339      1.8146727      86.297549      1.5208423       131.9127      2.2515663
            3.9      77.967635      1.3696415      63.215271      1.1406307      97.496225      1.7254173
              4      57.508348      1.8293781      46.807987      1.5291271      71.470117      2.2440466
            4.1      42.215568      1.1225288      34.203406     0.93335824      52.750726      1.3915443
            4.2      26.271761     0.88795174      21.379983     0.71843486      32.671664      1.1809539
            4.3       18.81438     0.70571108      15.211821     0.58838517        23.6388     0.87256753
            4.4      11.012344      0.5600711       8.904741     0.45978827       13.87121     0.70718759
            4.5     0.76647409     0.13588872     0.62157774     0.11101991     0.96327918     0.17274446
            4.6      0.5026194    0.097023099     0.41522321    0.080682205     0.61328626     0.11959528
            4.7     0.17371113    0.055673042      0.1515186    0.047093584     0.19587281     0.06896068
            4.8    0.051825438    0.025940447    0.040924325    0.020713949    0.068102384    0.034528647
            4.9     0.05259237    0.026328231    0.040707154    0.020571133    0.070401272    0.035559141
              5     0.05259237    0.026328231    0.040707154    0.020571133    0.070401272    0.035559141
