#         pt_b1        central        num_err    min (scale)        num_err    max (scale)        num_err
            415     0.13916672    0.010318839     0.11585284   0.0089475963     0.16868577    0.012429039
            420     0.12349132    0.013099282      0.1042496    0.012011412     0.14662128    0.014649201
            425     0.10170716   0.0081182519    0.087606477   0.0071230809     0.11709961    0.010100966
            430       0.140128    0.017416737     0.11761847    0.015057522     0.16807709    0.020555411
            435     0.11666242    0.015215102    0.096637895     0.01165222     0.14214764    0.021272543
            440      0.1123766    0.017131826    0.093979535    0.013496524      0.1354943    0.023071532
            445    0.088583692   0.0097977419    0.074800481   0.0085445167     0.10568378    0.011932943
            450    0.081087111   0.0069479078    0.067363199   0.0060944984    0.098850537   0.0084733707
            455    0.082861451   0.0060548067     0.06724103   0.0050129631     0.10418623   0.0077773946
            460    0.082560754   0.0062798133    0.068174639   0.0054610154     0.10154063   0.0076463664
            465    0.082691632    0.012536051    0.066007758    0.008841971     0.10645341    0.018943667
            470    0.069267053   0.0081292696    0.059053193   0.0074147416    0.081317462   0.0090649038
            475    0.055382535   0.0055513477    0.045900636   0.0048429543    0.067335355   0.0066443546
            480    0.070880016   0.0076678509    0.060718855   0.0068860519    0.082757532   0.0087238113
            485    0.071234487     0.01125474    0.058817091   0.0086636966    0.087234766     0.01552794
            490    0.053210882   0.0053327822    0.044485819   0.0045315277    0.064272636   0.0066716884
            495    0.058843053   0.0064902268    0.049098518   0.0055212093      0.0708526    0.007981547
            500    0.058843053   0.0064902268    0.049098518   0.0055212093      0.0708526    0.007981547
