#          y_bx        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5       748.2126      43.843062      648.49435      40.932842       901.9963      44.770598
           -4.9      859.39108      28.511756      743.47613      24.774252      1027.2956      34.780574
           -4.8       1006.633      33.219657      871.21732      29.983714      1205.9311      38.740051
           -4.7      1219.4164       40.68874      1055.3328      35.819772      1468.5224      49.171493
           -4.6      1355.0042       34.92498      1176.2743      30.809901      1617.3574      41.889813
           -4.5      1528.4602      37.596781       1319.875      32.756685      1833.0816      45.438213
           -4.4      1781.5148      59.477672      1542.8983      55.441821      2127.7771       62.79597
           -4.3      1984.4248      39.926685      1727.8571      35.127756      2360.8386      49.545861
           -4.2      2223.7617       51.43335      1926.7208      45.865736      2655.7316      58.943928
           -4.1      2457.0196       44.61574      2133.1633      39.458891      2925.0994      54.207264
             -4      2663.9041      54.337083      2315.3601      48.908656      3167.1145      64.094257
           -3.9      2871.1524      51.782491      2495.9122      45.855855       3415.101         63.707
           -3.8       3235.967      64.408846      2807.8373      57.643661      3870.5913       75.11984
           -3.7      3401.0974      53.609104      2952.9805      47.366031      4044.4607      66.187874
           -3.6      3746.2706      59.266663        3259.14      52.529631      4410.8358      69.877276
           -3.5      4017.3548      81.136248      3490.2966      72.403314      4746.6687      93.602902
           -3.4      4304.9304      78.340152      3744.0531      72.547428      5118.7497      87.503696
           -3.3      4431.4538      62.786227      3850.4752      56.717554      5250.2941      73.028143
           -3.2      4773.4779      67.915249      4142.3614      60.783855      5675.6294      80.313641
           -3.1      5013.8394       72.21234      4347.9987      64.543706       5967.316      85.923357
             -3      5238.3292      79.951234      4543.4628      72.158067      6206.4325       91.26989
           -2.9      5701.7991      81.119234      4946.9045      73.236779      6766.5403       93.43115
           -2.8      5871.3677      78.271987      5093.1304      68.233156      6960.1572      97.489132
           -2.7      6020.4949      79.775319      5226.9782       72.11359       7106.797      95.476122
           -2.6      6223.5523      77.477087      5383.8983       69.79668      7406.8022      90.362552
           -2.5      6512.5873      79.539736      5635.7134      72.421228      7712.4724      91.371251
           -2.4      6793.3452      82.985594      5868.7537      73.770217      8101.6925      99.214943
           -2.3      6912.3343      98.268422      5968.0678      87.487264      8214.2997      113.74925
           -2.2      7148.8359      97.775651      6166.6728      86.711506      8520.5387      114.54261
           -2.1      7255.5353      83.768724      6252.1527       75.40344      8645.5863      98.275094
             -2      7575.1459       93.09357      6539.5674       84.56769      9001.6685       106.1427
           -1.9      7628.9131      92.112211      6578.2256      83.449818      9079.6527      105.75706
           -1.8      7840.5941      97.170089      6749.7689      87.420483      9336.3875      111.45948
