#     pt_Z-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
              0       115.4433      5.7681515      99.129898       5.179752      144.50807      6.6084211
              1      313.71776      7.9674278      268.91176      6.8394598      398.12498      10.534672
              2       497.5308      9.0839533      425.68377      7.8586147      631.61469      11.987333
              3      681.66145      10.458359      585.19006      9.2404021      860.19185      12.920983
              4      853.30929      12.530397      733.08818      10.974685      1071.0092      15.356765
              5      995.46429      13.592787      856.91212       12.11357      1242.5285      16.272063
              6      1091.5976      12.182926      940.62159      10.736983      1348.8152      15.048823
              7      1187.6251      12.912175      1025.3467      11.688433      1462.4751      15.169551
              8      1251.5856      11.948883      1079.2003      10.579622      1540.7716       14.79462
              9      1315.8039      12.878435      1137.0041       11.52932      1606.6538      15.364836
             10      1351.2469      13.873425       1168.314      12.442464      1642.0149      16.348328
             11      1352.0655      12.019093      1167.9462      10.742362      1640.7329       14.39075
             12       1376.245      13.326265      1192.1229      12.182549      1654.6706      15.061243
             13      1378.1836       13.09131      1193.5033      11.802764      1656.9482      15.284394
             14      1370.0632      13.030346      1188.3855       11.75619      1635.1837      14.969613
             15      1372.3511      14.157041      1192.2599       12.80098      1633.9366       16.21866
             16      1345.8097      13.392524       1166.135      11.961104      1600.6282      15.611161
             17      1316.9564      12.056951      1141.0368      10.960058      1564.4759      13.604962
             18      1282.6186      12.823242      1113.8454      11.676959      1515.1219      14.509119
             19      1244.2004      11.809215      1080.4513      10.708447      1469.5093      13.556572
             20      1204.1921      11.343801      1045.2455      10.428912      1420.2633      12.608396
             21      1183.2727      11.342244      1027.5903      10.291686      1394.9606      12.850408
             22      1182.6378      12.597239      1029.4828      11.555244      1385.8597      13.894027
             23      1113.3102      10.363873      967.95701       9.382523      1304.3147      11.766315
             24      1092.0563      10.565335        948.224       9.606243      1283.5911      11.925458
             25      1040.1334      9.5135398      901.97748      8.6182697      1221.2037      10.711903
             26      1012.7566      10.067787      878.69098      9.0410312      1189.6843      11.513428
             27      1006.7382      12.858326      876.00821      12.123548       1177.387      13.687689
             28      948.08322      9.6773606      823.17947      8.7842083      1109.7927      10.971235
             29       942.4015      11.573904      817.72388      10.514274      1101.8515      12.805009
             30      881.62638      8.5654853      764.00124      7.8668601      1031.9821      9.5424616
             31      847.66128       8.551666      733.62131      7.8336737      994.50275      9.5193038
             32       836.4433      9.3397214      724.66991      8.4143344      979.01754      10.465635
             33      798.27058      8.3951134      691.77304      7.6055868      935.26344      9.5567618
             34      759.71236      7.5254517       657.8886      6.8965846      889.33803      8.3561361
             35      750.75888       9.451539      650.82665      8.8245498      878.60373      10.171311
             36      726.51747        8.97404      629.38795       8.181957      849.83774      9.9276467
             37      681.85863      7.4014016      588.98593      6.7137545      800.05806       8.337552
             38      675.29154      8.2134259      585.12075      7.4962999      786.98365      9.0559678
             39      655.49011      8.7455821      567.60866       8.042297      765.73352      9.6576237
             40        611.163      7.1633918      527.59948      6.4849892      717.29422      8.0499441
             41      593.20992      6.5251213      511.82318         5.9716      695.85336      7.1982966
             42        588.291      8.1466951      507.79074      7.4476244      690.10377      9.0283383
             43      554.85529      7.1553882      478.88199      6.4949684      650.04202      7.9754959
             44      531.22847      6.5800859      457.88762      5.9977017      623.38964      7.3069017
             45      514.59376      6.9741012      442.62265      6.2570864      604.91367      7.8419685
             46      494.60799      6.7455806      424.94405      6.1242999      582.48703      7.4701727
             47      471.84346      5.9940975      405.27096      5.5028225      555.61211      6.5634698
             48      455.73292      5.5530655      391.19693      4.9759141      537.11966      6.3374322
             49      456.34387      7.3394299      392.69432      6.7723835        536.888      8.0535036
             50      456.34387      7.3394299      392.69432      6.7723835        536.888      8.0535036
