# dy_Z_bjet1-CM        central        num_err    min (scale)        num_err    max (scale)        num_err
# S-1bjet
              0      1238.6162      3.4037243      1089.1337      3.2004177      1419.5522      3.7327572
            0.4      1076.3372      2.6454554       942.6616      2.4560867      1239.2599      2.8966715
              1        760.347      2.2408196      659.89388      2.0621505      886.20732      2.4902136
            1.6      449.10623      1.7229899      384.82911      1.5556563      531.40922      1.9326062
            2.3      174.98796      1.0584666      147.57553     0.93518426      210.96869      1.2542907
            3.4      23.456793     0.42812729      19.294371     0.35791863      29.029329     0.52270477
            4.6      23.456793     0.42812729      19.294371     0.35791863      29.029329     0.52270477
