#     total-CMS        central        num_err    min (scale)        num_err    max (scale)        num_err
              0       17134.84      34.851688      14792.083      31.453113      20345.705       40.57969
              1       17134.84      34.851688      14792.083      31.453113      20345.705       40.57969
