#           m_Z        central        num_err    min (scale)        num_err    max (scale)        num_err
             50      30.666773      0.4838852      26.085235     0.42903779       37.19073     0.58716349
             60      90.763564      0.8432002      77.887753     0.75087133      108.97284         1.0185
             70      2117.0238      4.4994744       1823.109      4.0799524       2526.173      5.1771504
             80      3446.3403      5.5394407      2970.0533       5.056162      4106.2518      6.2973821
             90      101.64004      1.1656941      87.978556      1.0689468      120.31724       1.298981
            100      31.985861     0.58475545      27.698123     0.53266478      37.881059     0.65428274
            110      15.688217     0.40347371      13.598736     0.36137851      18.548783     0.46144585
            120      9.2088711     0.27589474      8.0099575     0.24905477      10.781037     0.31943895
            130      5.5603208     0.27156556       4.817672     0.24228243      6.5930487     0.32328751
            140      3.5590529     0.18033379      3.0823145     0.16242015      4.2079288     0.20349049
            150      3.5590529     0.18033379      3.0823145     0.16242015      4.2079288     0.20349049
