#    pt_em-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
              0       22.11527      1.1798466      19.094257      1.0941444       26.05737      1.3393421
              1      79.555648      5.5305731      68.486108       5.033566      94.193188      6.0718116
              2      126.28497      5.2329768      108.45574      4.9589899      151.16019      5.3375069
              3      160.17528      3.1232555      137.33417      2.8376206      191.66416      3.7531126
              4      202.94318       3.293487      172.73463      2.9098156      245.84515      3.9783367
              5      255.08397      5.6837105      218.29148      5.2222968      306.50447       6.232639
              6      315.74192      7.8620254      271.91823      7.3203811      375.78158      8.4271227
              7      358.11882      6.5609222      307.22515      6.0120031      428.32869       7.262481
              8      409.37399      7.8689401      351.93368      7.2683959      487.72586      8.5511412
              9      467.69556      9.0749769      402.05835      8.4205811      556.91101      9.6608752
             10      525.50701      9.7972937       451.4328      8.9318285      627.46514      10.985537
             11      557.20749      8.9670944      478.33713      8.4273428      665.80413      9.4131562
             12      616.79439       8.317783      528.15324       7.490144      740.93961      9.5433342
             13      671.45092      8.9335166      576.72513      8.1658889      802.66088      10.127916
             14      736.79982      10.225001      631.83454      9.3710104      882.00052      11.290206
             15      808.34605      11.657183      694.07257      10.738707      964.90819      12.593137
             16      839.84475      9.4553619      720.40971      8.5111671      1006.7819      10.887034
             17      919.44454      10.876469      788.80112      9.7891272      1100.4958      12.442817
             18      958.72369      10.546118      822.01183      9.4659414       1148.311      12.187361
             19      1020.6617       12.09709      876.99274      10.980414      1219.4022      14.038032
             20      1100.4883      13.766291      945.21532      12.299582      1316.8731      15.837904
             21      1165.7403      13.174699      1002.2305       11.78967      1394.1757      15.308922
             22      1209.6638      13.419895      1041.3517      12.213422      1444.1938      15.222109
             23      1270.5692       13.50088      1094.6474      12.101071       1512.211      15.470753
             24      1332.3917      14.738645      1149.8492      13.279873       1585.294      16.897661
             25      1374.2641      14.112252      1185.8636      12.878449      1637.2124      16.076153
             26      1410.6888      12.593395      1214.5374      11.213549      1683.7002      14.845235
             27      1444.4619      12.616778      1245.5626      11.451719      1720.1257      14.440084
             28      1501.7004      12.627853      1296.0696      11.435584      1792.2017      14.620216
             29      1551.2357      13.992077      1338.6539      12.580419      1850.6733      16.185812
