# pt_bb-mbbZ250        central        num_err    min (scale)        num_err    max (scale)        num_err
            350   0.0064217172   0.0015855747   0.0051435695   0.0011158627   0.0079983974   0.0024877208
            355   0.0044257554   0.0011966638   0.0037815726  0.00097849326   0.0049965475   0.0015842872
            360   0.0064084962   0.0017027169   0.0055930652   0.0013248246   0.0069233411   0.0023182962
            365   0.0059726615   0.0014457899   0.0047344483   0.0011125896   0.0077087759   0.0020481498
            370   0.0047454692   0.0011977543   0.0041268947  0.00098614565   0.0051480191   0.0017535614
            375   0.0083188236   0.0033550495   0.0070494569   0.0030974076   0.0098246042     0.00372033
            380   0.0039961846   0.0012235155   0.0018367123   0.0030373598   0.0045505883   0.0013437572
            385   0.0030918538   0.0012651386   0.0023674849  0.00083908369   0.0041350844   0.0020407795
            390   0.0022501622   0.0010302979   0.0019290938   0.0016103503   0.0022833004  0.00098696383
            395   0.0035091957    0.001002203   0.0028009412  0.00077801025   0.0043826918   0.0014192887
            400   0.0039116122   0.0011177275   0.0032636821  0.00087454279   0.0046084795    0.001604713
            405   0.0012488077  0.00066077387   0.0011442098  0.00052280622   0.0012745183  0.00067578585
            410  0.00049952307  0.00070639698  0.00026791736   0.0011537669  0.00057095708  0.00047294194
            415   0.0015006105  0.00070712124   0.0011773609  0.00051910181   0.0019195485   0.0010483665
            420   0.0022478538  0.00082832388   0.0017345946  0.00059123474   0.0029301876   0.0012508837
            425   0.0024976154  0.00086515607   0.0019223148  0.00065155783   0.0032984483   0.0012153766
            430   0.0023542703   0.0011093663   0.0018430334  0.00089092671   0.0030992559   0.0014828558
            435   0.0012488077  0.00066077387   0.0008759364  0.00045048158   0.0018542513   0.0010142336
            440   0.0024703276   0.0008496944   0.0017864293  0.00061217146   0.0035172592   0.0012410883
            445  0.00055760256  0.00063767511  0.00021698566   0.0012117152  0.00064074407  0.00058054378
            450   0.0013537997   0.0007071669   0.0011366995   0.0005422795   0.0015494881   0.0009814563
            455   0.0010488585  0.00072548127  0.00013247068   0.0019621219   0.0013292464  0.00064681528
            460  0.00099904614  0.00061175773  0.00074216853  0.00041911779   0.0013626836  0.00094081162
            465  0.00024976154  0.00043257804  6.1462674e-05  0.00069208574  0.00030716693  0.00033483602
            470  0.00084391733  0.00069403608  0.00063288391   0.0011395565  0.00087911606  0.00064738275
            475  0.00037970747  0.00037968849  0.00032726232  0.00032724598  0.00044743402  0.00044741167
            480  0.00049965024  0.00035328842  0.00032078856  0.00022682145  0.00081093797  0.00057339636
            485  0.00024976154  0.00043257804  0.00022027344  0.00027997229  0.00026545628  0.00048123492
            490  0.00049952307  0.00049949809  0.00035865819  0.00040988082  0.00072148809  0.00063499665
            495  0.00074928461  0.00043257804  0.00056407631  0.00032690668   0.0010118982  0.00058854687
            500  0.00074928461  0.00043257804  0.00051883623  0.00030093902   0.0011299523  0.00065654701
            505              0              0              0              0              0              0
            510              0              0              0              0              0              0
            515              0  0.00035319849 -0.00015540857  0.00050710215  6.3586649e-05  0.00026242324
            520  0.00024976154  0.00024974905   0.0001942957  0.00019428599  0.00032461685  0.00032460064
            525              0  0.00035319849  -0.0003329221   0.0007625611   0.0001256318  0.00019311405
            530  0.00024976154  0.00043257804  0.00022110651  0.00027869061  0.00025818761  0.00064434254
            535  0.00024976154  0.00024974905  0.00019926232  0.00019925236  0.00031127505  0.00031125949
            540  0.00049952307  0.00049949809  0.00046361845  0.00037333633  0.00050263273  0.00047881297
            545              0              0              0              0              0              0
            550  0.00049952307  0.00035319849  0.00032588871  0.00023043173  0.00080021622  0.00056582668
            555  0.00049952307  0.00035319849   0.0003301558  0.00023373696  0.00078992687  0.00055935438
            560              0              0              0              0              0              0
            565  0.00049952307  0.00035319849  0.00034134817  0.00024159487  0.00076223211  0.00053961952
            570              0              0              0              0              0              0
            575  0.00024976154  0.00043257804  0.00019116694  0.00028389489  0.00033516054  0.00069922353
            580  0.00049952307  0.00035319849  0.00039559301  0.00028186656  0.00063498251  0.00045612654
            585              0              0              0              0              0              0
            590              0              0              0              0              0              0
            595  0.00024976154  0.00024974905  0.00018660731  0.00018659798  0.00034541176   0.0003453945
            600              0              0              0              0              0              0
            605  0.00024976154  0.00024974905  0.00018740223  0.00018739286  0.00033632432   0.0003363075
            610 -0.00049952307  0.00035319849  -0.0010534308  0.00075191971 -0.00023261049  0.00016893437
            615  0.00024976154  0.00024974905  0.00016372655  0.00016371837   0.0003976725  0.00039765262
            620 -0.00024976154  0.00024974905 -0.00043664232  0.00043662048 -0.00014740859  0.00014740122
            625  0.00024976154  0.00024974905  0.00021117329  0.00021116274   0.0002523434  0.00025233078
            630  0.00024976154  0.00024974905  0.00015858823  0.00015858031  0.00041145949  0.00041143892
            635              0              0              0              0              0              0
            640  0.00024976154  0.00024974905  0.00018007631   0.0001800673  0.00035693482  0.00035691695
            645              0              0              0              0              0              0
            650              0              0              0              0              0              0
            655 -0.00024976154  0.00024974905 -0.00045765981  0.00045763692 -0.00014094118  0.00014093413
            660  0.00024976154  0.00024974905  0.00018169794  0.00018168885  0.00035081081  0.00035079329
            665  0.00025789508  0.00025788218  0.00017374881  0.00017374012  0.00039718919  0.00039716932
            670              0              0              0              0              0              0
            675              0              0              0              0              0              0
            680              0              0              0              0              0              0
            685              0              0              0              0              0              0
            690 -0.00024976154  0.00024974905 -0.00044521463  0.00044519237 -0.00014672178  0.00014671445
            695              0  0.00035319849 -0.00039402225  0.00062756981  0.00014703339  0.00025036579
            700  0.00024976154  0.00024974905   0.0001929221  0.00019291245  0.00032033068  0.00032031469
            705              0              0              0              0              0              0
            710              0              0              0              0              0              0
            715              0              0              0              0              0              0
            720              0              0              0              0              0              0
            725              0              0              0              0              0              0
            730              0              0              0              0              0              0
            735  0.00024976154  0.00024974905  0.00018999683  0.00018998733  0.00032593959  0.00032592331
            740              0              0              0              0              0              0
            745  0.00024976154  0.00024974905  0.00017937043  0.00017936146  0.00035891892  0.00035890095
            750              0              0              0              0              0              0
            755              0              0              0              0              0              0
            760              0              0              0              0              0              0
            765              0              0              0              0              0              0
            770              0              0              0              0              0              0
            775              0              0              0              0              0              0
            780              0              0              0              0              0              0
            785              0              0              0              0              0              0
            790 -0.00024976154  0.00024974905 -0.00051612722   0.0005161014 -0.00012064229  0.00012063626
            795              0              0              0              0              0              0
            800              0              0              0              0              0              0
            805              0              0              0              0              0              0
            810              0              0              0              0              0              0
            815              0              0              0              0              0              0
            820              0              0              0              0              0              0
            825              0              0              0              0              0              0
            830              0              0              0              0              0              0
            835              0              0              0              0              0              0
            840              0              0              0              0              0              0
            845              0              0              0              0              0              0
            850              0              0              0              0              0              0
            855              0              0              0              0              0              0
            860              0              0              0              0              0              0
            865              0              0              0              0              0              0
            870              0              0              0              0              0              0
            875  0.00024976154  0.00024974905  0.00019933864  0.00019932867  0.00031591734  0.00031590154
            880              0              0              0              0              0              0
            885              0              0              0              0              0              0
            890              0              0              0              0              0              0
            895              0              0              0              0              0              0
            900              0              0              0              0              0              0
            905  0.00024976154  0.00024974905  0.00015329093  0.00015328327  0.00042751666  0.00042749529
            910              0              0              0              0              0              0
            915              0              0              0              0              0              0
            920              0              0              0              0              0              0
            925              0              0              0              0              0              0
            930              0              0              0              0              0              0
            935              0              0              0              0              0              0
            940              0              0              0              0              0              0
            945              0              0              0              0              0              0
            950              0              0              0              0              0              0
            955              0              0              0              0              0              0
            960              0              0              0              0              0              0
            965              0              0              0              0              0              0
            970              0              0              0              0              0              0
            975              0              0              0              0              0              0
            980              0              0              0              0              0              0
            985              0              0              0              0              0              0
            990              0              0              0              0              0              0
            995              0              0              0              0              0              0
           1000              0              0              0              0              0              0
