#         pt_em        central        num_err    min (scale)        num_err    max (scale)        num_err
            390    0.078744367   0.0077487818    0.066238649   0.0070074916    0.094361412    0.008725365
            395     0.08459237    0.024172768    0.071713501    0.021463929    0.099371288    0.026255378
            400    0.058793305   0.0055006104     0.04857972   0.0047582509    0.072254169   0.0066638329
            405    0.051814583   0.0050311215    0.042627257   0.0043024651    0.063084434   0.0061845898
            410    0.047956554   0.0049196562    0.040207285    0.004030885    0.056897393   0.0065725725
            415    0.048134621   0.0079409957    0.039537488   0.0070293913    0.058854884   0.0088892898
            420    0.057534208    0.008407475    0.047630525   0.0074106645      0.0697651   0.0096196237
            425    0.046793037   0.0065049083    0.038851302   0.0059200036    0.056995663   0.0072631793
            430    0.048340917    0.010864298     0.04324634    0.010077716    0.052774641     0.01173774
            435    0.034181762   0.0040685717    0.028804827    0.003467073    0.040213757   0.0049098809
            440    0.047625336   0.0058469616    0.040147307   0.0054284347    0.057751619   0.0066105984
            445    0.039462799   0.0049714825    0.032004286   0.0041872494     0.04950152   0.0061440058
            450    0.058064707     0.02067392     0.05109008    0.019192139    0.065284255    0.021804832
            455    0.028959587   0.0050203393    0.024484344   0.0044954176       0.034151   0.0056809276
            460    0.037881667   0.0063179158     0.03106042   0.0055582896    0.046916579   0.0071801472
            465    0.042160026   0.0094360692    0.035172273    0.007596466    0.051051006    0.012240868
            470    0.031581562   0.0048829843    0.026877271   0.0042728458    0.037129297   0.0058027161
            475    0.020109997   0.0032512151    0.016486289   0.0027833471    0.024702207   0.0038823967
            480    0.021583969   0.0029838443    0.017372738     0.00247604    0.027198798   0.0037074818
            485    0.054418061     0.03546537    0.040062207    0.024119627     0.07556096    0.053211711
            490    0.022948045   0.0042476583    0.018262893   0.0032752978    0.029500281   0.0059494197
            495    0.022735899   0.0049311046    0.019164025   0.0044079265    0.026924288   0.0054790513
            500    0.022735899   0.0049311046    0.019164025   0.0044079265    0.026924288   0.0054790513
