#        eta_bx        central        num_err    min (scale)        num_err    max (scale)        num_err
             -5      1157.5127      43.278656      1000.0634       38.37492      1400.3636      50.604429
           -4.9      1238.8872      30.569059      1070.7284      27.278336      1483.7599      36.315061
           -4.8      1443.7861      34.117213      1241.8682      29.728602      1745.0639      41.837479
           -4.7      1714.7185      45.859335      1484.5132      39.533315      2043.6843        60.4929
           -4.6      1836.9467      43.560641      1590.3272      38.094826      2198.2139      53.317643
           -4.5      2027.0974      42.092493      1750.5292      37.008282      2451.0304      52.244849
           -4.4      2287.3037      51.735408      1978.2217       46.25098      2736.1364      61.463064
           -4.3      2477.2247       48.75393      2145.4989      42.429232      2966.4884      62.950522
           -4.2      2647.9122      46.697626      2294.8195      40.692039      3167.7772      58.469303
           -4.1      2948.1018      53.589829       2552.464      47.886416      3536.0123      65.055282
             -4      3151.4042      61.541937      2734.6483      54.764761      3738.5563      71.718719
           -3.9      3398.8955      55.035103      2947.0876      48.549074      4057.8711      68.079057
           -3.8      3796.9653      75.580332       3297.555      67.602927      4502.3477      87.184834
           -3.7      3868.2975      69.065573      3356.8123      64.087477      4586.1788      75.280898
           -3.6      4220.6885      73.520711      3663.6469      66.423346      5024.1413      83.908309
           -3.5      4372.8422      64.966668      3790.0082      57.654571      5212.9276      78.076189
           -3.4      4580.5439      57.229453      3974.3021      51.725726      5438.0435      72.415527
           -3.3      4926.8097      72.842049      4281.7377      65.753611      5837.0743      85.550527
           -3.2      5127.1063      69.413428       4448.506       61.97831      6077.2819      82.373404
           -3.1      5360.1591      72.089116      4644.3404      64.179935      6358.6685      85.185227
             -3       5740.778      84.780734      4973.0404      76.458789      6825.2658      97.842152
           -2.9      5820.1874      79.825921       5032.958      70.499563      6922.3264      94.768417
           -2.8      6141.3584      78.828963      5307.0156      70.562137        7316.86      91.713801
           -2.7      6296.9467       82.37137      5447.1265      74.381844      7478.9961      94.333638
           -2.6      6604.0239      85.402465      5720.5963      78.010631      7839.7388      97.924096
           -2.5      6637.0721      77.811875      5727.2443      69.559063      7902.9229      91.249156
           -2.4      6862.1328      89.711202      5926.8407      80.189036      8163.4675      105.30943
           -2.3      6932.6206      86.585635       5969.566      76.364375      8276.3047      103.23793
           -2.2      7350.7386      105.44043      6344.7255      95.658322      8730.7168      117.82272
           -2.1      7313.6024      91.299958      6309.6317      82.338199      8697.3373      105.58527
             -2      7513.3085       95.50489       6489.254      87.886867       8907.328      105.34951
           -1.9      7623.3979      87.244311      6570.9411      78.310768       9070.604      103.27668
           -1.8      7777.1855      89.782548      6693.9004      81.354443      9283.8537      101.95983
           -1.7      7744.2382      76.878103      6654.6285      69.062014      9252.9851       90.27858
           -1.6      8055.6424         105.62        6933.86      97.418754      9559.6323      115.98582
           -1.5      8003.2899       88.03337      6880.1585      80.375029      9537.4322      99.077276
           -1.4       8011.684      84.791972      6875.0846      77.362252      9582.4057      96.766703
           -1.3      8116.9278      93.894958      6970.7482       85.24385      9680.7625      106.36999
           -1.2      7979.6589      86.470081      6855.3916      77.682996      9505.9369      99.799796
           -1.1       8060.175       96.01877      6918.6256      85.798599      9613.4147      111.86784
             -1      8107.2431      88.729927      6968.8175      80.859974      9641.4317      100.16016
           -0.9      8199.8074       86.01733      7022.1044      77.460087      9809.7005      98.651579
           -0.8      8063.2223      113.51557      6915.6327      102.87935      9612.0748      127.65718
           -0.7      8215.0558       102.6663       7049.244      93.610612       9784.461      113.68112
           -0.6      8097.1101      89.867261        6942.37      81.564815      9675.1913      102.31495
           -0.5      8180.8275      100.70661       7024.095      92.272893      9741.9789       112.2723
           -0.4      8092.5404      100.03855      6936.5885      90.626604      9644.6413      111.58057
           -0.3       7966.169      89.637244      6834.2324      81.252022        9497.66      102.73936
           -0.2      7838.2508      80.742837      6699.7538      72.101991      9383.0916      93.674574
           -0.1      7949.5662      92.964733      6811.5909       83.96986      9502.2456      106.27911
              0      8000.8024      91.027182      6853.0348      81.504954      9568.4696      104.91431
            0.1      8051.6008      87.581385      6895.4607      79.972569      9627.5598      100.58733
            0.2      8055.6628      91.863678      6903.2959       83.74286      9629.9276      103.71207
            0.3      8080.2082      84.027427      6926.3546      74.926516      9638.4289      100.01626
            0.4      8298.8197       99.21685      7123.5987      90.382196      9909.4646      112.10405
            0.5      7972.6679       81.11271      6828.1196      73.391955      9536.5799      93.050727
            0.6      8204.5269       98.40827      7042.6558      90.301933      9777.9197      108.22924
            0.7      8154.9807       93.31797      7001.0323      85.127131      9741.8983      106.60365
            0.8      8112.5016      86.487449      6946.4111      77.299528      9720.1787      101.27429
            0.9      8028.5255      82.928574      6884.9534      75.104955      9606.6374      95.858449
              1      8152.0333      83.951332      6992.2465      75.959888       9730.636      96.501209
            1.1       8104.977      101.84634      6966.5068      96.687357       9664.225      107.72019
            1.2      7973.3175      90.169369      6853.8643      82.001962       9475.169      101.91807
            1.3      7915.5973      89.638712       6799.047      80.617161      9431.2311      102.73476
            1.4       8031.818      93.439194      6903.9899      84.430138       9573.893      106.62826
            1.5      7945.9147      100.54228      6825.9051      90.834439      9493.3642      115.13574
            1.6      7883.1718      102.70206      6784.4757      93.377546       9403.241      114.87819
            1.7      7666.5349      86.116697      6612.1153      79.473107      9119.1854       97.04031
            1.8      7617.3822      90.405759      6561.2302      80.912833      9050.3004       104.7965
            1.9      7223.0986      81.191091      6215.6091      73.603237      8604.6355      92.641704
              2       7356.695      80.964032       6341.881      72.826088      8767.1975      93.636567
            2.1       7126.372      79.647896      6145.5913       71.74467      8467.0955      90.970938
            2.2      7097.3038       100.0379      6123.5553      90.765813      8432.0091      113.54968
            2.3      6734.7471      79.678626      5811.8962      71.510079      8025.0306      93.737668
            2.4      6730.0122      83.188639      5822.3561      74.635741      8006.2472      96.841096
            2.5      6481.3989      81.509595      5604.7861      74.422503      7705.2784      92.038185
            2.6      6280.8465      94.435064      5426.1189      86.615584      7480.0795      104.27418
            2.7      6188.5528      88.949265       5367.079      82.036198      7300.7748      97.548074
            2.8      5842.5572      74.941967      5044.9058      67.435007      6954.4042      86.030766
            2.9      5693.1988      80.338996      4930.5448      71.880041      6763.7803       92.85902
              3      5397.1253      74.808427      4680.6093      68.431248      6395.6019      84.521132
            3.1      5171.9148      74.887416      4481.5095      67.990371      6138.0918      86.522731
            3.2      5110.7937      86.813498      4424.4167      77.444113      6088.2422      101.86084
            3.3        4744.25       65.21212      4107.6891      58.324779      5639.0595      75.722852
            3.4       4461.317      66.800987      3868.1001      60.294819      5288.6946       76.68295
            3.5      4056.9547      61.670161      3511.0249      55.196816      4828.2639      72.809328
            3.6      3815.8363      56.933378      3306.2337      51.129089      4550.5157      66.410868
            3.7      3692.3675      62.071101      3199.1846       55.24528       4406.866      74.636616
            3.8      3360.4183      51.246155      2913.1606      45.581755      4009.0629      62.431396
            3.9      3126.3209      55.868961      2703.3204      49.693502      3723.7629       65.30263
              4      2918.8346      59.162715      2521.3565      51.383707      3500.2831      71.096135
            4.1      2684.2528       60.11731      2333.1967       54.89876      3194.4837      68.182234
            4.2      2411.5801      46.916438      2083.8291      41.290214      2893.8353        57.3988
            4.3      2176.2522      43.522199       1890.181      38.599239       2588.495      52.070201
            4.4      2027.1276      51.894411      1751.9444      45.080239      2430.7567      62.749336
            4.5      1762.0243      37.743134      1520.9725      33.266632      2114.4243      45.523741
            4.6      1747.6937      52.196416      1514.6028      47.116993      2093.2036      61.139607
            4.7      1485.6025      52.646778      1280.1726      45.069424      1804.3591      64.146961
            4.8      1302.1949      32.241708      1123.4089      28.265604      1560.3635      39.156821
            4.9      1143.2096      46.480902      983.11548      40.180877      1380.5254      55.471053
              5      1143.2096      46.480902      983.11548      40.180877      1380.5254      55.471053
