#   pt_bb-ptj20        central        num_err    min (scale)        num_err    max (scale)        num_err
            420     0.14658514    0.028257373     0.11531598    0.020894682     0.18844112    0.041982369
            425     0.16743374    0.058514281     0.14222548     0.05197238     0.19586436    0.066988255
            430     0.16551241    0.032548189      0.1417371    0.027008525     0.18830894    0.050972536
            435      0.2277219    0.076032466     0.18793665    0.072899795      0.2824676    0.078648761
            440     0.13889374    0.026315574     0.10821162    0.020566092     0.18166089    0.035166362
            445     0.15903151    0.030084556     0.12850033      0.0244044     0.19993676    0.039153658
            450     0.13462984    0.024622893     0.10398402    0.019169631     0.17737575    0.032859075
            455      0.1107533    0.023823328    0.088851619    0.018540772     0.13836905    0.032189775
            460     0.13189296    0.027450664     0.11117318    0.022440186     0.15725587    0.036213203
            465     0.13129363     0.03456292     0.11602565    0.031812737     0.14449263    0.038260965
            470    0.073382123    0.021443719    0.062357698    0.016909613    0.085141006    0.028535457
            475     0.14858045    0.041449447     0.12405911     0.03628035     0.17850704    0.048078136
            480     0.12690347    0.025094866     0.10247754    0.020684236     0.15711401    0.031812697
            485     0.19757609    0.053308761      0.1564771    0.045142992     0.25720771    0.066461216
            490     0.13053296    0.027532112     0.10527564    0.023203939     0.16419877    0.033903072
            495     0.10156726    0.030856769     0.08844257    0.025844624     0.11400022    0.039435769
            500     0.11997978    0.035684086    0.094304581    0.030499965     0.15687352    0.043416114
            505    0.082984805    0.029131256    0.071375196     0.02541626    0.095169943    0.033985532
            510    0.063374972    0.028050801    0.052967598    0.023736124    0.075419664    0.033946852
            515    0.091281007    0.034868381    0.075060223    0.029736972     0.11318659    0.042121191
            520    0.018640112    0.016739709    0.012896201     0.02462565    0.019415643    0.012370399
            525    0.067355085    0.020727737    0.056308447    0.015987692     0.07830201    0.029486104
            530    0.057893409    0.019371854    0.049193989    0.015081569    0.065953407    0.026587143
            535    0.023748716    0.012374035     0.02009352    0.010017523    0.027878771    0.016093584
            540    0.073788605    0.024918394    0.063489274    0.021416549    0.085386703    0.029730353
            545    0.044014191      0.0175274    0.035649163    0.012714133    0.054265698    0.025551105
