#    m_bbZ-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
            100      759.52597       3.982147      656.66081       3.621174      911.80075      4.6771501
            105      786.44139      4.4468264      680.97329      4.0420607       939.7719      5.1588914
            110      735.60759      4.0668675      637.19496      3.6980036      875.62425      4.6859866
            115      665.24258      3.5858699      576.24307      3.2772309      790.67562       4.070107
            120      598.83118      3.3325713      519.22982      3.0265201      709.77226      3.8906458
            125      544.53685      3.5913526      472.37149      3.2891804      643.50425      4.0165587
            130      482.56938      3.0854811      418.18628      2.8102081      569.88558      3.5143851
            135      433.60231      3.1237107       375.2953       2.838572      513.11039      3.5458496
            140      390.60693      2.9665735      338.26479      2.7393594      461.11006      3.2748326
            145      346.42849      2.7409634      299.54013      2.4901975      410.20671      3.0925876
            150      311.89048      2.4029963      269.23739      2.1707016      369.49521      2.7548145
            155      288.98138      2.4839627      249.57773      2.2838047      342.04264      2.7557195
            160      261.73823      2.3067143      225.97882      2.0933627      309.95913      2.6163752
            165      237.81923      2.1947333      205.40981      2.0201315       281.1213      2.4308955
            170      215.57072      1.9048181      185.81903      1.7189345      255.31064       2.177488
            175      201.43738      1.8114623      173.22934      1.6388182      239.11339      2.0512325
            180      183.00963      1.9391956      157.57764      1.7595947      216.97653      2.2109827
            185      174.26197      1.7432494      149.92751      1.5790702      206.70296      1.9749522
            190       159.0511      1.7220565      136.53398      1.5599896      189.11891       1.958104
            195      143.55508      1.6739651      123.16683      1.4843793      170.55872       1.934203
            200      135.06159      1.4961796       115.7203      1.3446538      160.84078      1.7081518
            205      129.79814      1.6569307      111.38209      1.5119655       154.1663      1.8395735
            210      119.43555      1.4710032      102.10629      1.3175449      142.74898      1.6801451
            215      114.94981      1.8130308      98.764666      1.6419883       136.5886      2.0477601
            220      101.19456      1.1901614      86.362855      1.0540322      120.96766      1.3793461
            225      98.049797      1.1672572      83.794227      1.0392354      117.12715      1.3530891
            230      93.131368      1.0853558       79.25037     0.95722639       111.9226       1.273743
            235      87.964317      1.2485803      75.227355      1.1140255      104.85887      1.4524226
            240      83.095865      1.3432463      70.810487      1.1987167      99.579976      1.5235895
            245      78.045253      1.1384865      66.753078      1.0411357      93.083826      1.2857728
            250      78.045253      1.1384865      66.753078      1.0411357      93.083826      1.2857728
