#     dphi_b-bx        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      33710.123      23.779017      29307.104      21.910829      39300.259      26.613749
     0.31415927      26594.556      21.816053      22897.344      19.904157       31572.65      24.634743
     0.62831853      21512.495      20.036425       18465.78      18.209477      25728.239      22.822476
      0.9424778      18289.619       18.48333      15686.633      16.727899      21951.538       21.25251
      1.2566371      16279.165      18.035414      13968.497      16.269221      19573.848      20.835785
      1.5707963      14997.938      17.161741      12879.297       15.44781      18046.746      19.944472
      1.8849556       14325.93       17.14597      12319.713      15.418639      17235.729      19.941206
      2.1991149      13975.378      16.747858       12034.83      15.070705      16801.629      19.513647
      2.5132741      13942.727      17.042808      12022.949      15.351816      16751.816      19.811945
      2.8274334      14029.845      17.183082      12106.672      15.438271      16850.998      20.155466
      3.1415927      14029.845      17.183082      12106.672      15.438271      16850.998      20.155466
