qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.5            2              0.5                 ..a00                                                                         0. +-              0.
0.5            2              0.5                 NLO.QT.32                                                            19888.37155 +-         3.88124

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

0.51           0.5            2                   NLO.QCD.QT                                                           28925.90164 +-         7.43348
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.51           0.5            2                   ..a00                                                                         0. +-              0.
0.51           0.5            2                   NLO.QT.32                                                            28925.90164 +-         7.43348

0.51           1              1                   NLO.QCD.QT                                                           24105.54295 +-         5.28345
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.51           1              1                   ..a00                                                                         0. +-              0.
0.51           1              1                   NLO.QT.32                                                            24105.54295 +-         5.28345

0.51           2              0.5                 NLO.QCD.QT                                                           19890.15822 +-         3.87078
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.51           2              0.5                 ..a00                                                                         0. +-              0.
0.51           2              0.5                 NLO.QT.32                                                            19890.15822 +-         3.87078

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

0.52           0.5            2                   NLO.QCD.QT                                                           28930.24925 +-         7.40955
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.52           0.5            2                   ..a00                                                                         0. +-              0.
0.52           0.5            2                   NLO.QT.32                                                            28930.24925 +-         7.40955

0.52           1              1                   NLO.QCD.QT                                                           24108.16750 +-         5.26795
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.52           1              1                   ..a00                                                                         0. +-              0.
0.52           1              1                   NLO.QT.32                                                            24108.16750 +-         5.26795

0.52           2              0.5                 NLO.QCD.QT                                                           19891.70136 +-         3.86056
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.52           2              0.5                 ..a00                                                                         0. +-              0.
0.52           2              0.5                 NLO.QT.32                                                            19891.70136 +-         3.86056

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

0.53           0.5            2                   NLO.QCD.QT                                                           28934.17487 +-         7.38613
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.53           0.5            2                   ..a00                                                                         0. +-              0.
0.53           0.5            2                   NLO.QT.32                                                            28934.17487 +-         7.38613

0.53           1              1                   NLO.QCD.QT                                                           24110.53402 +-         5.25279
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.53           1              1                   ..a00                                                                         0. +-              0.
0.53           1              1                   NLO.QT.32                                                            24110.53402 +-         5.25279

0.53           2              0.5                 NLO.QCD.QT                                                           19893.09124 +-         3.85057
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.53           2              0.5                 ..a00                                                                         0. +-              0.
0.53           2              0.5                 NLO.QT.32                                                            19893.09124 +-         3.85057

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

0.54           0.5            2                   NLO.QCD.QT                                                           28937.66312 +-         7.36318
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.54           0.5            2                   ..a00                                                                         0. +-              0.
0.54           0.5            2                   NLO.QT.32                                                            28937.66312 +-         7.36318

0.54           1              1                   NLO.QCD.QT                                                           24112.61201 +-         5.23794
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.54           1              1                   ..a00                                                                         0. +-              0.
0.54           1              1                   NLO.QT.32                                                            24112.61201 +-         5.23794

0.54           2              0.5                 NLO.QCD.QT                                                           19894.28870 +-         3.84081
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.54           2              0.5                 ..a00                                                                         0. +-              0.
0.54           2              0.5                 NLO.QT.32                                                            19894.28870 +-         3.84081

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

0.55           0.5            2                   NLO.QCD.QT                                                           28941.23030 +-         7.34075
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.55           0.5            2                   ..a00                                                                         0. +-              0.
0.55           0.5            2                   NLO.QT.32                                                            28941.23030 +-         7.34075

0.55           1              1                   NLO.QCD.QT                                                           24114.78027 +-         5.22344
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.55           1              1                   ..a00                                                                         0. +-              0.
0.55           1              1                   NLO.QT.32                                                            24114.78027 +-         5.22344

0.55           2              0.5                 NLO.QCD.QT                                                           19895.57514 +-         3.83127
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.55           2              0.5                 ..a00                                                                         0. +-              0.
0.55           2              0.5                 NLO.QT.32                                                            19895.57514 +-         3.83127

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

0.56           0.5            2                   NLO.QCD.QT                                                           28943.98073 +-         7.31868
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.56           0.5            2                   ..a00                                                                         0. +-              0.
0.56           0.5            2                   NLO.QT.32                                                            28943.98073 +-         7.31868

0.56           1              1                   NLO.QCD.QT                                                           24116.35724 +-         5.20916
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.56           1              1                   ..a00                                                                         0. +-              0.
0.56           1              1                   NLO.QT.32                                                            24116.35724 +-         5.20916

0.56           2              0.5                 NLO.QCD.QT                                                           19896.42460 +-         3.82187
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.56           2              0.5                 ..a00                                                                         0. +-              0.
0.56           2              0.5                 NLO.QT.32                                                            19896.42460 +-         3.82187

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

0.57           0.5            2                   NLO.QCD.QT                                                           28946.72407 +-         7.29677
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.57           0.5            2                   ..a00                                                                         0. +-              0.
0.57           0.5            2                   NLO.QT.32                                                            28946.72407 +-         7.29677

0.57           1              1                   NLO.QCD.QT                                                           24117.88822 +-         5.19484
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.57           1              1                   ..a00                                                                         0. +-              0.
0.57           1              1                   NLO.QT.32                                                            24117.88822 +-         5.19484

0.57           2              0.5                 NLO.QCD.QT                                                           19897.21007 +-         3.81230
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.57           2              0.5                 ..a00                                                                         0. +-              0.
0.57           2              0.5                 NLO.QT.32                                                            19897.21007 +-         3.81230

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

0.58           0.5            2                   NLO.QCD.QT                                                           28950.66438 +-         7.27560
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.58           0.5            2                   ..a00                                                                         0. +-              0.
0.58           0.5            2                   NLO.QT.32                                                            28950.66438 +-         7.27560

0.58           1              1                   NLO.QCD.QT                                                           24120.27038 +-         5.18115
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.58           1              1                   ..a00                                                                         0. +-              0.
0.58           1              1                   NLO.QT.32                                                            24120.27038 +-         5.18115

0.58           2              0.5                 NLO.QCD.QT                                                           19898.61515 +-         3.80329
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.58           2              0.5                 ..a00                                                                         0. +-              0.
0.58           2              0.5                 NLO.QT.32                                                            19898.61515 +-         3.80329

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

0.59           0.5            2                   NLO.QCD.QT                                                           28953.80913 +-         7.25476
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.59           0.5            2                   ..a00                                                                         0. +-              0.
0.59           0.5            2                   NLO.QT.32                                                            28953.80913 +-         7.25476

0.59           1              1                   NLO.QCD.QT                                                           24122.08413 +-         5.16766
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.59           1              1                   ..a00                                                                         0. +-              0.
0.59           1              1                   NLO.QT.32                                                            24122.08413 +-         5.16766

0.59           2              0.5                 NLO.QCD.QT                                                           19899.60320 +-         3.79440
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.59           2              0.5                 ..a00                                                                         0. +-              0.
0.59           2              0.5                 NLO.QT.32                                                            19899.60320 +-         3.79440

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

0.6            0.5            2                   NLO.QCD.QT                                                           28956.91153 +-         7.23436
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.6            0.5            2                   ..a00                                                                         0. +-              0.
0.6            0.5            2                   NLO.QT.32                                                            28956.91153 +-         7.23436

0.6            1              1                   NLO.QCD.QT                                                           24123.88193 +-         5.15447
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.6            1              1                   ..a00                                                                         0. +-              0.
0.6            1              1                   NLO.QT.32                                                            24123.88193 +-         5.15447

0.6            2              0.5                 NLO.QCD.QT                                                           19900.59026 +-         3.78574
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.6            2              0.5                 ..a00                                                                         0. +-              0.
0.6            2              0.5                 NLO.QT.32                                                            19900.59026 +-         3.78574

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

0.61           0.5            2                   NLO.QCD.QT                                                           28959.20676 +-         7.21425
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.61           0.5            2                   ..a00                                                                         0. +-              0.
0.61           0.5            2                   NLO.QT.32                                                            28959.20676 +-         7.21425

0.61           1              1                   NLO.QCD.QT                                                           24125.09733 +-         5.14146
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.61           1              1                   ..a00                                                                         0. +-              0.
0.61           1              1                   NLO.QT.32                                                            24125.09733 +-         5.14146

0.61           2              0.5                 NLO.QCD.QT                                                           19901.14439 +-         3.77716
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.61           2              0.5                 ..a00                                                                         0. +-              0.
0.61           2              0.5                 NLO.QT.32                                                            19901.14439 +-         3.77716

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

0.62           0.5            2                   NLO.QCD.QT                                                           28962.79751 +-         7.19458
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.62           0.5            2                   ..a00                                                                         0. +-              0.
0.62           0.5            2                   NLO.QT.32                                                            28962.79751 +-         7.19458

0.62           1              1                   NLO.QCD.QT                                                           24127.23049 +-         5.12874
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.62           1              1                   ..a00                                                                         0. +-              0.
0.62           1              1                   NLO.QT.32                                                            24127.23049 +-         5.12874

0.62           2              0.5                 NLO.QCD.QT                                                           19902.36587 +-         3.76879
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.62           2              0.5                 ..a00                                                                         0. +-              0.
0.62           2              0.5                 NLO.QT.32                                                            19902.36587 +-         3.76879

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

0.63           0.5            2                   NLO.QCD.QT                                                           28965.83737 +-         7.17527
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.63           0.5            2                   ..a00                                                                         0. +-              0.
0.63           0.5            2                   NLO.QT.32                                                            28965.83737 +-         7.17527

0.63           1              1                   NLO.QCD.QT                                                           24129.02910 +-         5.11627
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.63           1              1                   ..a00                                                                         0. +-              0.
0.63           1              1                   NLO.QT.32                                                            24129.02910 +-         5.11627

0.63           2              0.5                 NLO.QCD.QT                                                           19903.38711 +-         3.76060
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.63           2              0.5                 ..a00                                                                         0. +-              0.
0.63           2              0.5                 NLO.QT.32                                                            19903.38711 +-         3.76060

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

0.64           0.5            2                   NLO.QCD.QT                                                           28968.42998 +-         7.15625
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.64           0.5            2                   ..a00                                                                         0. +-              0.
0.64           0.5            2                   NLO.QT.32                                                            28968.42998 +-         7.15625

0.64           1              1                   NLO.QCD.QT                                                           24130.47836 +-         5.10396
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.64           1              1                   ..a00                                                                         0. +-              0.
0.64           1              1                   NLO.QT.32                                                            24130.47836 +-         5.10396

0.64           2              0.5                 NLO.QCD.QT                                                           19904.12968 +-         3.75249
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.64           2              0.5                 ..a00                                                                         0. +-              0.
0.64           2              0.5                 NLO.QT.32                                                            19904.12968 +-         3.75249

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

0.65           0.5            2                   NLO.QCD.QT                                                           28970.72264 +-         7.13749
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.65           0.5            2                   ..a00                                                                         0. +-              0.
0.65           0.5            2                   NLO.QT.32                                                            28970.72264 +-         7.13749

0.65           1              1                   NLO.QCD.QT                                                           24131.68122 +-         5.09180
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.65           1              1                   ..a00                                                                         0. +-              0.
0.65           1              1                   NLO.QT.32                                                            24131.68122 +-         5.09180

0.65           2              0.5                 NLO.QCD.QT                                                           19904.66873 +-         3.74446
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.65           2              0.5                 ..a00                                                                         0. +-              0.
0.65           2              0.5                 NLO.QT.32                                                            19904.66873 +-         3.74446

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

0.66           0.5            2                   NLO.QCD.QT                                                           28973.94713 +-         7.11912
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.66           0.5            2                   ..a00                                                                         0. +-              0.
0.66           0.5            2                   NLO.QT.32                                                            28973.94713 +-         7.11912

0.66           1              1                   NLO.QCD.QT                                                           24133.55097 +-         5.07992
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.66           1              1                   ..a00                                                                         0. +-              0.
0.66           1              1                   NLO.QT.32                                                            24133.55097 +-         5.07992

0.66           2              0.5                 NLO.QCD.QT                                                           19905.69602 +-         3.73664
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.66           2              0.5                 ..a00                                                                         0. +-              0.
0.66           2              0.5                 NLO.QT.32                                                            19905.69602 +-         3.73664

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

0.67           0.5            2                   NLO.QCD.QT                                                           28976.10382 +-         7.10099
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.67           0.5            2                   ..a00                                                                         0. +-              0.
0.67           0.5            2                   NLO.QT.32                                                            28976.10382 +-         7.10099

0.67           1              1                   NLO.QCD.QT                                                           24134.68535 +-         5.06820
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.67           1              1                   ..a00                                                                         0. +-              0.
0.67           1              1                   NLO.QT.32                                                            24134.68535 +-         5.06820

0.67           2              0.5                 NLO.QCD.QT                                                           19906.20619 +-         3.72893
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.67           2              0.5                 ..a00                                                                         0. +-              0.
0.67           2              0.5                 NLO.QT.32                                                            19906.20619 +-         3.72893

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

0.68           0.5            2                   NLO.QCD.QT                                                           28978.58039 +-         7.08316
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.68           0.5            2                   ..a00                                                                         0. +-              0.
0.68           0.5            2                   NLO.QT.32                                                            28978.58039 +-         7.08316

0.68           1              1                   NLO.QCD.QT                                                           24136.04102 +-         5.05666
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.68           1              1                   ..a00                                                                         0. +-              0.
0.68           1              1                   NLO.QT.32                                                            24136.04102 +-         5.05666

0.68           2              0.5                 NLO.QCD.QT                                                           19906.87168 +-         3.72133
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.68           2              0.5                 ..a00                                                                         0. +-              0.
0.68           2              0.5                 NLO.QT.32                                                            19906.87168 +-         3.72133

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

0.69           0.5            2                   NLO.QCD.QT                                                           28981.65835 +-         7.06571
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.69           0.5            2                   ..a00                                                                         0. +-              0.
0.69           0.5            2                   NLO.QT.32                                                            28981.65835 +-         7.06571

0.69           1              1                   NLO.QCD.QT                                                           24137.80239 +-         5.04538
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.69           1              1                   ..a00                                                                         0. +-              0.
0.69           1              1                   NLO.QT.32                                                            24137.80239 +-         5.04538

0.69           2              0.5                 NLO.QCD.QT                                                           19907.81464 +-         3.71390
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.69           2              0.5                 ..a00                                                                         0. +-              0.
0.69           2              0.5                 NLO.QT.32                                                            19907.81464 +-         3.71390

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

0.7            0.5            2                   NLO.QCD.QT                                                           28984.92713 +-         7.04849
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.7            0.5            2                   ..a00                                                                         0. +-              0.
0.7            0.5            2                   NLO.QT.32                                                            28984.92713 +-         7.04849

0.7            1              1                   NLO.QCD.QT                                                           24139.69156 +-         5.03424
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.7            1              1                   ..a00                                                                         0. +-              0.
0.7            1              1                   NLO.QT.32                                                            24139.69156 +-         5.03424

0.7            2              0.5                 NLO.QCD.QT                                                           19908.84706 +-         3.70656
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.7            2              0.5                 ..a00                                                                         0. +-              0.
0.7            2              0.5                 NLO.QT.32                                                            19908.84706 +-         3.70656

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

0.71           0.5            2                   NLO.QCD.QT                                                           28987.31434 +-         7.03151
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.71           0.5            2                   ..a00                                                                         0. +-              0.
0.71           0.5            2                   NLO.QT.32                                                            28987.31434 +-         7.03151

0.71           1              1                   NLO.QCD.QT                                                           24140.96970 +-         5.02326
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.71           1              1                   ..a00                                                                         0. +-              0.
0.71           1              1                   NLO.QT.32                                                            24140.96970 +-         5.02326

0.71           2              0.5                 NLO.QCD.QT                                                           19909.44805 +-         3.69934
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.71           2              0.5                 ..a00                                                                         0. +-              0.
0.71           2              0.5                 NLO.QT.32                                                            19909.44805 +-         3.69934

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

0.72           0.5            2                   NLO.QCD.QT                                                           28989.38788 +-         7.01476
