qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)
qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

0.04           0.5            2                   NLO.QCD.QT                                                           28659.67721 +-        11.09430
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.04           0.5            2                   ..a00                                                                         0. +-              0.
0.04           0.5            2                   NLO.QT.32                                                            28659.67721 +-        11.09430

0.04           1              1                   NLO.QCD.QT                                                           23932.92167 +-         7.67933
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.04           1              1                   ..a00                                                                         0. +-              0.
0.04           1              1                   NLO.QT.32                                                            23932.92167 +-         7.67933

0.04           2              0.5                 NLO.QCD.QT                                                           19777.59680 +-         5.46675
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.04           2              0.5                 ..a00                                                                         0. +-              0.
0.04           2              0.5                 NLO.QT.32                                                            19777.59680 +-         5.46675

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

0.05           0.5            2                   NLO.QCD.QT                                                           28665.35186 +-        10.71938
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.05           0.5            2                   ..a00                                                                         0. +-              0.
0.05           0.5            2                   NLO.QT.32                                                            28665.35186 +-        10.71938

0.05           1              1                   NLO.QCD.QT                                                           23936.78875 +-         7.43178
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.05           1              1                   ..a00                                                                         0. +-              0.
0.05           1              1                   NLO.QT.32                                                            23936.78875 +-         7.43178

0.05           2              0.5                 NLO.QCD.QT                                                           19780.28375 +-         5.30014
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.05           2              0.5                 ..a00                                                                         0. +-              0.
0.05           2              0.5                 NLO.QT.32                                                            19780.28375 +-         5.30014

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

0.06           0.5            2                   NLO.QCD.QT                                                           28674.39509 +-        10.42327
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.06           0.5            2                   ..a00                                                                         0. +-              0.
0.06           0.5            2                   NLO.QT.32                                                            28674.39509 +-        10.42327

0.06           1              1                   NLO.QCD.QT                                                           23942.90570 +-         7.23660
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.06           1              1                   ..a00                                                                         0. +-              0.
0.06           1              1                   NLO.QT.32                                                            23942.90570 +-         7.23660

0.06           2              0.5                 NLO.QCD.QT                                                           19784.49096 +-         5.16906
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.06           2              0.5                 ..a00                                                                         0. +-              0.
0.06           2              0.5                 NLO.QT.32                                                            19784.49096 +-         5.16906

=====================================================================================================================================================

qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

0.07           0.5            2                   NLO.QCD.QT                                                           28681.97319 +-        10.17910
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.07           0.5            2                   ..a00                                                                         0. +-              0.
0.07           0.5            2                   NLO.QT.32                                                            28681.97319 +-        10.17910

0.07           1              1                   NLO.QCD.QT                                                           23947.96577 +-         7.07584
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.07           1              1                   ..a00                                                                         0. +-              0.
0.07           1              1                   NLO.QT.32                                                            23947.96577 +-         7.07584

0.07           2              0.5                 NLO.QCD.QT                                                           19787.92373 +-         5.06123
-----------------------------------------------------------------------------------------------------------------------------------------------------
0.07           2              0.5                 ..a00                                                                         0. +-              0.
