qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

independent    0.5            2                   dNLO.QCD                                                             28625.32088 +-         2.81390
-----------------------------------------------------------------------------------------------------------------------------------------------------
independent    0.5            2                   NLO.CS.32                                                            28625.32088 +-         2.81390

independent    1              1                   dNLO.QCD                                                             23911.57029 +-         2.09849
-----------------------------------------------------------------------------------------------------------------------------------------------------
independent    1              1                   NLO.CS.32                                                            23911.57029 +-         2.09849

independent    2              0.5                 dNLO.QCD                                                             19764.15465 +-         1.62601
-----------------------------------------------------------------------------------------------------------------------------------------------------
independent    2              0.5                 NLO.CS.32                                                            19764.15465 +-         1.62601

=====================================================================================================================================================

