qTcut          mu_R/mWbb      mu_F/mWbb      CHS  order/list                                                                  dXS +- err (order/list)

independent    0.5            2                   NLO.QCD                                                              49317.11862 +-         2.95116
-----------------------------------------------------------------------------------------------------------------------------------------------------
independent    0.5            2                   LO.22                                                                20691.79774 +-         0.88956
independent    0.5            2                   NLO.CS.32                                                            28625.32088 +-         2.81390

independent    1              1                   NLO.QCD                                                              39470.42077 +-         2.20225
-----------------------------------------------------------------------------------------------------------------------------------------------------
independent    1              1                   LO.22                                                                15558.85047 +-         0.66800
independent    1              1                   NLO.CS.32                                                            23911.57029 +-         2.09849

independent    2              0.5                 NLO.QCD                                                              31556.06578 +-         1.70336
-----------------------------------------------------------------------------------------------------------------------------------------------------
independent    2              0.5                 LO.22                                                                11791.91113 +-         0.50747
independent    2              0.5                 NLO.CS.32                                                            19764.15465 +-         1.62601

=====================================================================================================================================================

