qTcut          mu_R/GAo2      mu_F/GAo2           list/contribution                                                    dXS +- err (list/contribution)

independent    1              0.5                 LO.22                                                                       -nan +-            -nan

independent    1              1                   LO.22                                                                       -nan +-            -nan

independent    1              2                   LO.22                                                                       -nan +-            -nan

=====================================================================================================================================================

qTcut          mu_R/GAo2      mu_F/GAo2           list/contribution                                                    dXS +- err (list/contribution)

independent    1              0.5                 LO.22                                                                       -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
independent    1              0.5                 born                                                                        -nan +-            -nan

independent    1              1                   LO.22                                                                       -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
independent    1              1                   born                                                                        -nan +-            -nan

independent    1              2                   LO.22                                                                       -nan +-            -nan
-----------------------------------------------------------------------------------------------------------------------------------------------------
independent    1              2                   born                                                                        -nan +-            -nan

=====================================================================================================================================================

