# dphi_bbZ-j1-p        central        num_err    min (scale)        num_err    max (scale)        num_err
# tj200
              0      112.33596      1.9975097      112.33596      1.9975097      112.33596      1.9975097
     0.31415927      122.86871      2.4949729      122.86871      2.4949729      122.86871      2.4949729
     0.62831853      133.99879      3.2988074      133.99879      3.2988074      133.99879      3.2988074
      0.9424778      146.55823      3.0200656      146.55823      3.0200656      146.55823      3.0200656
      1.2566371      170.72428      4.7262791      170.72428      4.7262791      170.72428      4.7262791
      1.5707963      213.55374      4.4092275      213.55374      4.4092275      213.55374      4.4092275
      1.8849556      280.71639      6.4309455      280.71639      6.4309455      280.71639      6.4309455
      2.1991149      426.82199      9.1611731      426.82199      9.1611731      426.82199      9.1611731
      2.5132741      643.99585      11.341362      643.99585      11.341362      643.99585      11.341362
      2.8274334      978.52869      16.112966      978.52869      16.112966      978.52869      16.112966
      3.1415927      978.52869      16.112966      978.52869      16.112966      978.52869      16.112966
