#    m_bbZ-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
            100      789.23135      1.9106963      789.23135      1.9106963      789.23135      1.9106963
            105      807.93075      1.9322038      807.93075      1.9322038      807.93075      1.9322038
            110      762.80311      1.8957422      762.80311      1.8957422      762.80311      1.8957422
            115      696.86337       1.819265      696.86337       1.819265      696.86337       1.819265
            120      625.38852      1.7301819      625.38852      1.7301819      625.38852      1.7301819
            125      556.62436      1.5781418      556.62436      1.5781418      556.62436      1.5781418
            130      493.40914      1.4755532      493.40914      1.4755532      493.40914      1.4755532
            135      440.96762      1.4007069      440.96762      1.4007069      440.96762      1.4007069
            140      395.82172      1.3406248      395.82172      1.3406248      395.82172      1.3406248
            145      353.86501      1.2448742      353.86501      1.2448742      353.86501      1.2448742
            150      319.53821       1.178237      319.53821       1.178237      319.53821       1.178237
            155      290.09911      1.1153378      290.09911      1.1153378      290.09911      1.1153378
            160      261.93877       1.090807      261.93877       1.090807      261.93877       1.090807
            165      238.87004      1.0456469      238.87004      1.0456469      238.87004      1.0456469
            170      218.55876     0.96244803      218.55876     0.96244803      218.55876     0.96244803
            175       199.9853     0.91264503       199.9853     0.91264503       199.9853     0.91264503
            180      183.98838     0.94717333      183.98838     0.94717333      183.98838     0.94717333
            185      170.43884     0.91250661      170.43884     0.91250661      170.43884     0.91250661
            190      157.25592     0.83196084      157.25592     0.83196084      157.25592     0.83196084
            195        145.525     0.88740189        145.525     0.88740189        145.525     0.88740189
            200      134.20885     0.75439053      134.20885     0.75439053      134.20885     0.75439053
            205      128.07699       0.843177      128.07699       0.843177      128.07699       0.843177
            210       117.3932     0.72258888       117.3932     0.72258888       117.3932     0.72258888
            215      109.61331     0.73269211      109.61331     0.73269211      109.61331     0.73269211
            220      102.64934     0.67370092      102.64934     0.67370092      102.64934     0.67370092
            225       95.85455     0.69163549       95.85455     0.69163549       95.85455     0.69163549
            230      90.602897     0.66795673      90.602897     0.66795673      90.602897     0.66795673
            235      84.600319     0.63318399      84.600319     0.63318399      84.600319     0.63318399
            240      80.003094     0.65819654      80.003094     0.65819654      80.003094     0.65819654
            245      75.436089     0.66331547      75.436089     0.66331547      75.436089     0.66331547
            250      75.436089     0.66331547      75.436089     0.66331547      75.436089     0.66331547
