# pt_bbZ-zoom-m        central        num_err    min (scale)        num_err    max (scale)        num_err
# bbZ250
              0      217.94267      1.9569091      217.94267      1.9569091      217.94267      1.9569091
              1      842.28655      3.9976464      842.28655      3.9976464      842.28655      3.9976464
              2      1340.2302      5.6888135      1340.2302      5.6888135      1340.2302      5.6888135
              3      1578.1272      6.2518443      1578.1272      6.2518443      1578.1272      6.2518443
              4      1659.1114      6.5390196      1659.1114      6.5390196      1659.1114      6.5390196
              5      1662.5439      6.7307566      1662.5439      6.7307566      1662.5439      6.7307566
              6      1601.6148      6.5384815      1601.6148      6.5384815      1601.6148      6.5384815
              7      1558.9448      6.2198565      1558.9448      6.2198565      1558.9448      6.2198565
              8      1489.8455      6.2718452      1489.8455      6.2718452      1489.8455      6.2718452
              9      1408.7802      5.7373999      1408.7802      5.7373999      1408.7802      5.7373999
             10      1344.3219      5.6182752      1344.3219      5.6182752      1344.3219      5.6182752
             11       1282.182      5.4673059       1282.182      5.4673059       1282.182      5.4673059
             12      1211.4727      5.1528117      1211.4727      5.1528117      1211.4727      5.1528117
             13       1160.438      5.3528334       1160.438      5.3528334       1160.438      5.3528334
             14      1102.9186      5.4073255      1102.9186      5.4073255      1102.9186      5.4073255
             15      1054.2236      4.7755021      1054.2236      4.7755021      1054.2236      4.7755021
             16      1001.1204      4.6790737      1001.1204      4.6790737      1001.1204      4.6790737
             17       959.3919      4.4255964       959.3919      4.4255964       959.3919      4.4255964
             18      916.90603      4.3569798      916.90603      4.3569798      916.90603      4.3569798
             19      877.50141      4.3133658      877.50141      4.3133658      877.50141      4.3133658
             20      840.60572      4.1059133      840.60572      4.1059133      840.60572      4.1059133
             21        797.611      3.8729757        797.611      3.8729757        797.611      3.8729757
             22      776.62623      4.0920775      776.62623      4.0920775      776.62623      4.0920775
             23      744.14532      3.9735494      744.14532      3.9735494      744.14532      3.9735494
             24      711.64457       3.698627      711.64457       3.698627      711.64457       3.698627
             25      682.53843      3.6342221      682.53843      3.6342221      682.53843      3.6342221
             26      661.82942      3.8151807      661.82942      3.8151807      661.82942      3.8151807
             27      629.44804      3.5783681      629.44804      3.5783681      629.44804      3.5783681
             28       613.1697      3.6594673       613.1697      3.6594673       613.1697      3.6594673
             29      589.91367      3.5054729      589.91367      3.5054729      589.91367      3.5054729
             30       566.0581      3.3134356       566.0581      3.3134356       566.0581      3.3134356
             31      551.02592      3.2056815      551.02592      3.2056815      551.02592      3.2056815
             32      530.23474       3.170941      530.23474       3.170941      530.23474       3.170941
             33      511.54193      3.3414266      511.54193      3.3414266      511.54193      3.3414266
             34      495.94032      3.2519897      495.94032      3.2519897      495.94032      3.2519897
             35      479.07873      3.0273922      479.07873      3.0273922      479.07873      3.0273922
             36      456.34783      2.7687998      456.34783      2.7687998      456.34783      2.7687998
             37      442.47519      2.8849236      442.47519      2.8849236      442.47519      2.8849236
             38      428.78903      2.8270934      428.78903      2.8270934      428.78903      2.8270934
             39      419.97648       2.899085      419.97648       2.899085      419.97648       2.899085
             40      403.25158       2.821741      403.25158       2.821741      403.25158       2.821741
             41      392.44964      2.7973876      392.44964      2.7973876      392.44964      2.7973876
             42      379.41325      2.6950913      379.41325      2.6950913      379.41325      2.6950913
             43       367.1968      2.7306297       367.1968      2.7306297       367.1968      2.7306297
             44      352.27409      2.6311702      352.27409      2.6311702      352.27409      2.6311702
             45      346.82682      2.7000964      346.82682      2.7000964      346.82682      2.7000964
             46      334.25257      2.7099217      334.25257      2.7099217      334.25257      2.7099217
             47      323.40029      2.5282542      323.40029      2.5282542      323.40029      2.5282542
             48      312.53404      2.4395951      312.53404      2.4395951      312.53404      2.4395951
             49       305.2392       2.372202       305.2392       2.372202       305.2392       2.372202
             50       305.2392       2.372202       305.2392       2.372202       305.2392       2.372202
