# dphi_Z_bjet1-        central        num_err    min (scale)        num_err    max (scale)        num_err
# CMS-1bjet
              0       631.2029      7.7896171       631.2029      7.7896171       631.2029      7.7896171
            0.6      662.57928      6.3012097      662.57928      6.3012097      662.57928      6.3012097
            1.2      843.18469      6.3414378      843.18469      6.3414378      843.18469      6.3414378
            1.8      1155.2858      7.4066027      1155.2858      7.4066027      1155.2858      7.4066027
            2.2      1715.7422       7.958392      1715.7422       7.958392      1715.7422       7.958392
            2.6      2836.9602      11.875723      2836.9602      11.875723      2836.9602      11.875723
            2.9        4533.94      15.475162        4533.94      15.475162        4533.94      15.475162
          3.142        4533.94      15.475162        4533.94      15.475162        4533.94      15.475162
