#   pt_bbZ-zoom        central        num_err    min (scale)        num_err    max (scale)        num_err
              0      225.38289      1.9777852      225.38289      1.9777852      225.38289      1.9777852
              1      866.41364      4.0361921      866.41364      4.0361921      866.41364      4.0361921
              2       1381.956       5.766262       1381.956       5.766262       1381.956       5.766262
              3      1635.7274      6.3613439      1635.7274      6.3613439      1635.7274      6.3613439
              4      1728.5704      6.6722349      1728.5704      6.6722349      1728.5704      6.6722349
              5      1743.6047      6.9204005      1743.6047      6.9204005      1743.6047      6.9204005
              6      1690.7287       6.784958      1690.7287       6.784958      1690.7287       6.784958
              7      1653.3213      6.4044151      1653.3213      6.4044151      1653.3213      6.4044151
              8       1586.406      6.4083509       1586.406      6.4083509       1586.406      6.4083509
              9      1509.5944       5.923699      1509.5944       5.923699      1509.5944       5.923699
             10       1449.421      5.7688025       1449.421      5.7688025       1449.421      5.7688025
             11      1390.6033      5.6573595      1390.6033      5.6573595      1390.6033      5.6573595
             12      1318.3506      5.4276751      1318.3506      5.4276751      1318.3506      5.4276751
             13      1271.3254      5.5726807      1271.3254      5.5726807      1271.3254      5.5726807
             14      1211.9655      5.6353897      1211.9655      5.6353897      1211.9655      5.6353897
             15      1164.8222      5.0213304      1164.8222      5.0213304      1164.8222      5.0213304
             16       1111.565      4.8978957       1111.565      4.8978957       1111.565      4.8978957
             17      1070.5064      4.6649343      1070.5064      4.6649343      1070.5064      4.6649343
             18      1027.8999      4.6065418      1027.8999      4.6065418      1027.8999      4.6065418
             19      987.62293      4.6187687      987.62293      4.6187687      987.62293      4.6187687
             20      950.04322      4.3963959      950.04322      4.3963959      950.04322      4.3963959
             21      904.67177      4.1559038      904.67177      4.1559038      904.67177      4.1559038
             22      883.07918      4.3232618      883.07918      4.3232618      883.07918      4.3232618
             23      850.89088      4.2059835      850.89088      4.2059835      850.89088      4.2059835
             24      815.12831      3.9851158      815.12831      3.9851158      815.12831      3.9851158
             25      785.68872      3.9304086      785.68872      3.9304086      785.68872      3.9304086
             26      761.58992      3.9611342      761.58992      3.9611342      761.58992      3.9611342
             27      731.61557      3.8415642      731.61557      3.8415642      731.61557      3.8415642
             28      709.74549      3.9169386      709.74549      3.9169386      709.74549      3.9169386
             29      687.82549      3.7525623      687.82549      3.7525623      687.82549      3.7525623
             30       663.1293      3.6370302       663.1293      3.6370302       663.1293      3.6370302
             31      646.98375      3.5323429      646.98375      3.5323429      646.98375      3.5323429
             32      623.52569      3.5331974      623.52569      3.5331974      623.52569      3.5331974
             33      604.11951      3.7320544      604.11951      3.7320544      604.11951      3.7320544
             34      586.23856      3.5364921      586.23856      3.5364921      586.23856      3.5364921
             35      568.18491      3.2794054      568.18491      3.2794054      568.18491      3.2794054
             36       543.1252      3.0043626       543.1252      3.0043626       543.1252      3.0043626
             37      528.31392      3.2131264      528.31392      3.2131264      528.31392      3.2131264
             38      513.48516      3.1768015      513.48516      3.1768015      513.48516      3.1768015
             39      502.07013      3.1123539      502.07013      3.1123539      502.07013      3.1123539
             40      485.53973       3.223781      485.53973       3.223781      485.53973       3.223781
             41      473.81985      3.1236412      473.81985      3.1236412      473.81985      3.1236412
             42      456.96454      2.9188003      456.96454      2.9188003      456.96454      2.9188003
             43      441.57022      2.9699031      441.57022      2.9699031      441.57022      2.9699031
             44       428.2368      2.9460734       428.2368      2.9460734       428.2368      2.9460734
             45      419.03722      2.8897208      419.03722      2.8897208      419.03722      2.8897208
             46      407.58529      2.9556217      407.58529      2.9556217      407.58529      2.9556217
             47       393.8121      2.7349468       393.8121      2.7349468       393.8121      2.7349468
             48       379.8427      2.5977795       379.8427      2.5977795       379.8427      2.5977795
             49      370.31336      2.5240722      370.31336      2.5240722      370.31336      2.5240722
             50      370.31336      2.5240722      370.31336      2.5240722      370.31336      2.5240722
