#           m_Z        central        num_err    min (scale)        num_err    max (scale)        num_err
             50      31.070687     0.23897794      31.070687     0.23897794      31.070687     0.23897794
             60      91.718313     0.41915643      91.718313     0.41915643      91.718313     0.41915643
             70       2116.683      2.1357689       2116.683      2.1357689       2116.683      2.1357689
             80      3449.2442      2.7048624      3449.2442      2.7048624      3449.2442      2.7048624
             90      101.55831      0.5154521      101.55831      0.5154521      101.55831      0.5154521
            100      32.033327     0.27905839      32.033327     0.27905839      32.033327     0.27905839
            110      15.762872     0.21980563      15.762872     0.21980563      15.762872     0.21980563
            120      9.1047444     0.19450615      9.1047444     0.19450615      9.1047444     0.19450615
            130      5.7362525     0.10764394      5.7362525     0.10764394      5.7362525     0.10764394
            140      3.8869966     0.12551161      3.8869966     0.12551161      3.8869966     0.12551161
            150      3.8869966     0.12551161      3.8869966     0.12551161      3.8869966     0.12551161
