#  n_light_jets        central        num_err    min (scale)        num_err    max (scale)        num_err
           -0.5      733.43249      3.5699088      733.43249      3.5699088      733.43249      3.5699088
            0.5       9279.614      14.140397       9279.614      14.140397       9279.614      14.140397
            1.5      48997.222       31.13409      48997.222       31.13409      48997.222       31.13409
            2.5              0              0              0              0              0              0
            3.5              0              0              0              0              0              0
            4.5              0              0              0              0              0              0
            5.5              0              0              0              0              0              0
            6.5              0              0              0              0              0              0
